,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_female,Urbanity_Rural,Size_7,age_36_45,Education_College,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,268187.065618,73.7242723736,176.917317457,33.9149377593361,63.36025959004229
1,1,sex_female,Urbanity_Urban,Size_5,age_26_35,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,188460.35148800001,61.6825210908,137.872051298,33.9149377593361,61.516391510087274
2,2,sex_male,Urbanity_Urban,Size_4,age_76_85,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,210561.848027,70.22535708310001,157.29549463799998,33.9149377593361,25.68642914853614
3,3,sex_female,Urbanity_Urban,Size_4,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,203062.522729,77.2662055772,150.001631318,33.9149377593361,31.99685173778627
4,4,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,150016.233618,58.963441743699995,107.158722369,33.9149377593361,38.38375854462232
5,5,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,131795.525284,101.463878312,100.976375485,33.9149377593361,35.59008689199786
6,6,sex_male,Urbanity_Rural,Size_7,age_66_75,Education_College,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,279791.664951,70.8646947675,182.87548368900002,33.9149377593361,17.36799410356996
7,7,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,177994.745454,68.5340833513,136.10961250100002,33.9149377593361,0.08946971593066175
8,8,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_Post_Secondary,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,258087.36810500003,80.4867547086,189.917507462,33.9149377593361,0.0
9,9,sex_male,Urbanity_Urban,Size_8,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,185503.42333,74.25198310520001,132.284040861,33.9149377593361,66.94443733041564
10,10,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_Post_Graduate,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,298279.71419699996,87.10044646520001,213.94888004599997,33.9149377593361,31.26127311777638
11,11,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,214869.96885300003,71.67594335689999,161.249636412,33.9149377593361,21.21630686800316
12,12,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,308453.210141,91.86844730719999,224.68455958099997,33.9149377593361,20.21288397684403
13,13,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,307055.45768,89.8501517426,224.658589388,33.9149377593361,20.21288397684403
14,14,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,176109.65533399998,59.0817084673,134.91257587299998,33.9149377593361,26.13487886949597
15,15,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,158864.314355,47.3361083837,118.32750212299999,33.9149377593361,39.46927386591017
16,16,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,107420.913797,43.9433886067,70.74466838640001,33.9149377593361,37.44015694816935
17,17,sex_male,Urbanity_Rural,Size_4,age_66_75,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,112648.620372,31.6556925748,76.1160612762,33.9149377593361,26.04815022821277
18,18,sex_male,Urbanity_Rural,Size_6,age_26_35,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,106721.59925,20.5321190296,70.8920624768,33.9149377593361,29.739103451912033
19,19,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,104525.412476,27.916248382800003,72.0213298515,33.9149377593361,45.22848430236406
20,20,sex_male,Urbanity_Rural,Size_6,age_66_75,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,139145.423854,40.7819104238,97.2378553958,33.9149377593361,0.0
21,21,sex_female,Urbanity_Rural,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,108862.946556,31.955631967600002,72.25658626020001,33.9149377593361,34.8360564671467
22,22,sex_male,Urbanity_Rural,Size_10,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,258401.029675,85.458837903,180.702390342,33.9149377593361,78.21589281321987
23,23,sex_female,Urbanity_Rural,Size_8,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,184397.132185,54.713509282,130.545276459,33.9149377593361,72.80273038797675
24,24,sex_male,Urbanity_Rural,Size_3,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,225216.64472399998,66.1817053908,153.109835067,33.9149377593361,20.46842778973655
25,25,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,163107.919541,65.233494575,112.83208813700001,33.9149377593361,33.89515194232746
26,26,sex_male,Urbanity_Rural,Size_1,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,58617.219086599995,23.6735732479,36.129698790300004,33.9149377593361,65.65317081654348
27,27,sex_male,Urbanity_Rural,Size_1,age_56_65,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,114083.792422,42.0832641623,75.886965238,33.9149377593361,22.281614973127194
28,28,sex_male,Urbanity_Rural,Size_1,age_26_35,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,45520.3163457,11.527113021600002,26.0908279493,33.9149377593361,52.339234868532536
29,29,sex_male,Urbanity_Rural,Size_1,age_66_75,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,122489.761348,35.4417112527,83.7597181419,33.9149377593361,19.976810556141942
30,30,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,131182.856002,40.1412399046,88.710006156,33.9149377593361,31.25281666593958
31,31,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,193840.756403,67.604329677,136.339637493,33.9149377593361,18.790794196578837
32,32,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,179732.890662,69.5234102614,135.440858954,33.9149377593361,0.3062923208942287
33,33,sex_male,Urbanity_Urban,Size_6,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,187940.50199999998,58.937190157399996,138.86845095299998,33.9149377593361,0.0
34,34,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,161931.27063299998,65.1160530633,118.422773457,33.9149377593361,61.58227517954966
35,35,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,183752.127674,57.258707107,136.348002603,33.9149377593361,17.529510363540336
36,36,sex_male,Urbanity_Urban,Size_8,age_66_75,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_yes,260155.60042800003,126.906145742,186.040046053,33.9149377593361,17.237093520825834
37,37,sex_male,Urbanity_Rural,Size_8,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,195955.447109,61.92580874430001,132.664784845,33.9149377593361,33.442047865011766
38,38,sex_male,Urbanity_Rural,Size_6,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,194673.537919,64.8584869569,131.354424863,33.9149377593361,38.26783489152266
