,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,235643.656965,120.868588852,170.6719118,42.326530612244895,25.128565498128417
1,1,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,190985.244213,110.15165597200001,143.753438971,42.326530612244895,43.052871912895775
2,2,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,AC_yes,248217.247904,134.745189164,183.986308531,42.326530612244895,13.813419082881273
3,3,sex_female,Urbanity_Urban,Size_6,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,AC_yes,296692.481862,141.123229691,207.961560514,42.326530612244895,15.474571773594551
4,4,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,254868.423067,135.75052896399998,189.32044131599997,42.326530612244895,0.0
5,5,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,134290.25762699998,96.1587839702,101.080551409,42.326530612244895,0.0
6,6,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,310384.251421,140.854260282,221.563654939,42.326530612244895,0.0
7,7,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,199050.038097,126.48150063799999,144.558975708,42.326530612244895,25.57600794149856
8,8,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,257495.31030900002,138.025647196,188.192208965,42.326530612244895,123.92575260335379
9,9,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,120016.58075699999,85.98995456549999,77.7116254634,42.326530612244895,119.881794769
10,10,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,260493.396025,135.043238423,191.009800488,42.326530612244895,123.92575260335379
11,11,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,229851.52803699998,128.80487987799998,172.296314643,42.326530612244895,47.451759850736394
12,12,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,136719.86999200002,96.9613660351,98.76389179040001,42.326530612244895,98.83388215204566
13,13,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,AC_yes,251178.64158400003,135.393009003,178.555883858,42.326530612244895,74.84885895595974
14,14,sex_female,Urbanity_Rural,Size_4,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,141420.742233,89.5811045726,93.9648358323,42.326530612244895,46.058466467424566
15,15,sex_male,Urbanity_Rural,Size_4,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,111916.880768,82.2107158231,73.4326581195,42.326530612244895,0.0
16,16,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,243136.028485,124.73708999,177.597910549,42.326530612244895,0.0
17,17,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,AC_yes,167225.159313,119.211202265,123.284848002,42.326530612244895,67.79930656707718
18,18,sex_male,Urbanity_Urban,Size_7,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,172925.53789200002,118.79151292899999,123.467181077,42.326530612244895,69.76210853983457
19,19,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,287540.134536,132.66844759100002,210.446994509,42.326530612244895,49.360655605869695
20,20,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,158374.223053,105.54362508700001,121.22527398700001,42.326530612244895,0.0
21,21,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,166333.48754200002,110.56318857,120.642762297,42.326530612244895,0.0
22,22,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,213955.488629,119.399743944,158.130263659,42.326530612244895,117.53025590006307
23,23,sex_male,Urbanity_Rural,Size_5,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,101466.495725,80.9333794213,66.3166918511,42.326530612244895,44.00947498457896
24,24,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,AC_yes,217615.341325,125.02881598100001,145.016050554,42.326530612244895,97.77960733818482
25,25,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,59766.770754499994,68.17704403970001,35.150312793000005,42.326530612244895,98.64941815436674
26,26,sex_female,Urbanity_Rural,Size_2,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,AC_yes,123602.33210999999,104.90047740700001,84.310625923,42.326530612244895,72.6481679464766
27,27,sex_female,Urbanity_Rural,Size_1,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,201245.088734,112.70018490700001,137.564556273,42.326530612244895,22.27008693031307
28,28,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,115883.40603399999,92.78092821450001,86.2060226047,42.326530612244895,95.64382359983796
29,29,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,211354.536719,124.541570284,159.842315949,42.326530612244895,0.0
30,30,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,135038.575354,95.8745565059,97.5467744467,42.326530612244895,98.83388215204566
31,31,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,161258.916607,101.60445640399999,110.69575218,42.326530612244895,83.87560135140698
32,32,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,221300.09470100002,120.855486579,161.47780336,42.326530612244895,100.7951606245745
33,33,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,281828.48666399997,145.063455809,196.285503169,42.326530612244895,53.847256554027076
34,34,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,310871.99796199996,138.752867645,228.74112162400002,42.326530612244895,25.50557511324071
35,35,sex_female,Urbanity_Urban,Size_5,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,209503.47118800002,123.493220491,151.411103247,42.326530612244895,0.0
36,36,sex_female,Urbanity_Urban,Size_2,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,275374.466639,144.470376482,193.32921798,42.326530612244895,51.521281031858045
37,37,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,AC_yes,245677.46412699998,135.794236518,181.297762234,42.326530612244895,0.0
38,38,sex_female,Urbanity_Rural,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,200329.88083399998,110.523746871,139.9196744,42.326530612244895,31.078925006489833
39,39,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,172525.72028699997,109.30499365899999,126.207817812,42.326530612244895,0.0
40,40,sex_female,Urbanity_Urban,Size_1,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_yes,AC_yes,245571.79140500003,129.314046127,171.416080043,42.326530612244895,23.582943107063734
41,41,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,AC_yes,172159.512714,111.363467004,117.61698224,42.326530612244895,91.38411063489414
42,42,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,162143.134226,98.4634063167,112.72786279399999,42.326530612244895,120.53585045459188
43,43,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,220878.53321599998,120.96908387299999,162.89339994600002,42.326530612244895,0.0
44,44,sex_male,Urbanity_Urban,Size_7,age_26_35,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,296487.617758,138.894683055,211.925296395,42.326530612244895,66.0979585711789
45,45,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,87744.3685981,89.2762674734,55.6870602834,42.326530612244895,101.83947670657444
46,46,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,259884.803676,134.990053979,182.78523171,42.326530612244895,123.92575260335379
47,47,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,145519.972793,93.9522326161,108.160082498,42.326530612244895,23.167287025599588
48,48,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,AC_yes,163005.590198,121.494932235,119.959572917,42.326530612244895,0.0
49,49,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,AC_yes,167886.715972,106.009849964,117.53895335899999,42.326530612244895,91.38411063489414
