,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_TV,e_Cooking,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,152792.697635,95.1873868195,106.028794475,45.66012396694215,65.37399602499687
1,1,sex_male,Urbanity_Rural,Size_2,age_56_65,Education_Post_Graduate,TV_yes,Cooking_yes,201684.354435,117.21062052200001,133.467156201,45.66012396694215,0.0
2,2,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_College,TV_yes,Cooking_no,235772.31476799998,128.226801802,162.971348216,45.66012396694215,14.661001833862139
3,3,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,176027.534244,108.52537542,124.663643256,45.66012396694215,117.14357964231951
4,4,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,213097.521812,124.282537678,159.576872487,45.66012396694215,130.07484037428432
5,5,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Graduate,TV_yes,Cooking_yes,275026.200618,142.581372762,199.05796764599998,45.66012396694215,0.0
6,6,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_College,TV_yes,Cooking_yes,226923.341796,121.951998387,151.819731217,45.66012396694215,11.818107631970426
7,7,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,223839.375138,128.43318045,162.98887466600002,45.66012396694215,128.21021247115522
8,8,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,TV_yes,Cooking_yes,182372.369162,118.436263521,137.31383069999998,45.66012396694215,122.71269968244255
9,9,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_College,TV_yes,Cooking_no,275326.419213,134.58190146799998,193.52562498700001,45.66012396694215,22.838553669992496
10,10,sex_female,Urbanity_Urban,Size_3,age_66_75,Education_College,TV_yes,Cooking_yes,291156.432852,145.472630975,213.69218079700002,45.66012396694215,87.80604057199592
11,11,sex_female,Urbanity_Rural,Size_4,age_56_65,Education_High_School,TV_yes,Cooking_yes,152462.567303,103.671174916,107.993964394,45.66012396694215,0.0
12,12,sex_male,Urbanity_Rural,Size_1,age_56_65,Education_High_School,TV_yes,Cooking_yes,117747.669324,95.20853691120001,76.33101116350001,45.66012396694215,0.0
13,13,sex_male,Urbanity_Rural,Size_1,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,64126.15603969999,80.6625354585,41.5903234094,45.66012396694215,10.459694291903226
14,14,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_High_School,TV_yes,Cooking_yes,146982.790455,106.867848883,106.79261999299999,45.66012396694215,8.97259524569279
15,15,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Post_Graduate,TV_yes,Cooking_yes,238136.030381,124.650348721,169.692391635,45.66012396694215,0.0
