,Electricity,Income,Water,e_Cooking,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,95.1873868195,152792.697635,106.028794475,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,0.0,21.0,1,51.37399602499687
2,128.226801802,235772.314768,162.971348216,Cooking_no,TV_yes,age_36_45,Education_College,Size_1,sex_male,Urbanity_Urban,2.0,81.0,1,6.661001833862141
3,108.52537542,176027.534244,124.663643256,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,3.0,21.0,1,91.14357964231951
4,124.282537678,213097.521812,159.576872487,Cooking_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,4.0,81.0,1,34.07484037428429
6,121.951998387,226923.341796,151.819731217,Cooking_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,6.0,51.0,1,4.818107631970424
7,128.43318045,223839.375138,162.98887466600002,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,7.0,81.0,1,37.21021247115522
8,118.436263521,182372.369162,137.31383069999998,Cooking_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,8.0,61.0,1,41.712699682442576
9,134.58190146799998,275326.419213,193.52562498700001,Cooking_no,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,9.0,81.0,1,5.838553669992496
10,145.472630975,291156.432852,213.69218079700002,Cooking_yes,TV_yes,age_66_75,Education_College,Size_3,sex_female,Urbanity_Urban,10.0,81.0,1,29.806040571995922
13,80.6625354585,64126.15603969999,41.5903234094,Cooking_yes,TV_yes,age_46_55,Education_Elementary_School,Size_1,sex_male,Urbanity_Rural,13.0,1.0,1,10.459694291903226
14,106.867848883,146982.790455,106.79261999299999,Cooking_yes,TV_yes,age_36_45,Education_High_School,Size_1,sex_male,Urbanity_Urban,14.0,31.0,1,3.972595245692789
18,135.813105842,250888.723766,175.139629584,Cooking_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,18.0,81.0,1,22.406965250361097
19,101.04322387,150009.48341,99.92518119809999,Cooking_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,19.0,21.0,1,51.23862392812596
20,79.4319693102,69597.8620477,43.5508292837,Cooking_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,20.0,1.0,1,75.15947091758855
21,133.938755743,279764.635819,199.38879933200002,Cooking_no,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,21.0,81.0,1,7.973925766863392
23,138.504905642,247754.057527,176.54552387,Cooking_yes,TV_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,23.0,81.0,1,4.70718862467576
