,Family_Size,HH_head_Sex,HH_head_Age,Education,Electricity_expenditure,Water_expenditure,Total_Family_Income,Urbanity
3,2.0,2,51,1.0,900,2190,9932.333333333334,0
9,3.5,1,41,4.0,17202,300,47233.833333333336,0
11,3.0,2,75,1.0,4212,3024,16521.333333333332,0
12,4.5,1,74,1.0,6210,4086,20254.333333333332,0
13,6.5,2,55,2.0,3900,2940,16368.0,0
18,5.0,1,62,1.0,3600,5046,31578.833333333332,0
20,1.0,1,45,2.0,1980,480,11123.666666666666,0
22,3.0,2,59,2.0,14454,4200,24583.333333333332,0
23,6.0,1,79,2.0,6600,2910,16772.666666666668,0
25,3.0,2,73,1.0,9600,3000,22534.333333333332,0
28,1.0,2,59,4.0,1200,1200,47916.666666666664,0
29,2.5,2,56,3.0,19896,4200,17291.666666666668,0
31,2.0,2,91,1.0,5400,900,16478.333333333332,0
32,2.0,1,44,2.0,13200,7500,42833.333333333336,0
33,7.0,1,49,3.0,3300,3360,22710.333333333332,0
34,5.0,1,38,1.0,3600,2220,22106.666666666668,0
35,2.0,2,64,1.0,4824,2670,25424.666666666668,0
37,3.5,1,57,2.0,13686,3510,11046.833333333334,0
38,4.0,1,39,3.0,4800,2220,27466.666666666668,0
40,4.0,2,38,3.0,4422,2220,13116.666666666666,0
50,1.0,2,77,1.0,0,300,3627.5,0
51,2.0,1,54,2.0,3600,150,8880.333333333334,0
52,5.0,1,46,2.0,0,300,10965.0,0
54,6.0,1,40,1.0,0,1800,5870.0,0
87,6.5,1,61,1.0,930,24,14722.166666666666,0
90,1.0,2,70,1.0,450,60,7275.5,0
91,6.5,1,66,1.0,1848,90,25788.166666666668,0
94,7.5,2,72,1.0,6900,60,33104.833333333336,0
95,4.5,1,49,2.0,0,60,8967.666666666666,0
96,1.0,2,77,4.0,1020,150,13571.333333333334,0
99,2.0,2,61,1.0,6210,90,20055.0,0
101,5.0,1,63,2.0,1800,180,15606.833333333334,0
102,3.5,1,43,2.0,7824,120,15603.333333333334,0
103,4.0,1,50,1.0,1350,180,7021.5,0
104,3.0,2,73,1.0,0,120,7317.166666666667,0
105,8.5,1,35,1.0,2016,120,13978.333333333334,0
106,3.0,1,26,3.0,5322,180,28245.5,0
107,2.0,2,48,1.0,0,120,5436.666666666667,0
108,3.0,2,27,1.0,0,120,5478.333333333333,0
109,12.0,1,48,1.0,0,180,14263.666666666666,0
110,7.5,1,37,2.0,3900,180,15250.666666666666,0
111,5.5,1,35,3.0,6876,180,42700.666666666664,0
112,6.0,1,62,1.0,5454,60,22868.166666666668,0
113,6.5,1,56,1.0,4950,180,16572.5,0
114,8.0,1,44,1.0,5208,180,10241.0,0
115,4.0,1,50,2.0,7200,180,18020.0,0
116,4.0,1,57,1.0,7920,180,17585.0,0
153,7.0,1,49,1.0,2604,1200,20065.0,0
156,3.0,1,60,1.0,1176,3354,13354.5,0
157,7.5,1,35,1.0,2202,1110,14633.5,0
160,1.0,2,70,1.0,1434,1110,29597.5,0
162,5.0,2,68,1.0,3990,5442,28664.166666666668,0
166,1.0,2,73,1.0,750,1110,6645.833333333333,0
200,5.0,2,81,1.0,3420,600,15722.666666666666,1
201,4.0,1,43,4.0,9720,600,37867.833333333336,1
202,5.5,1,39,2.0,3138,300,35625.333333333336,1
204,4.0,1,41,3.0,11700,750,36346.833333333336,1
242,6.5,1,57,2.0,12060,30,46325.333333333336,0
248,5.0,1,51,1.0,3900,240,30837.166666666668,0
270,7.0,1,76,2.0,5346,2172,28955.333333333332,0
271,6.0,1,70,1.0,2700,2172,26282.333333333332,0
273,9.0,1,55,2.0,4200,6744,23937.0,0
277,5.0,2,61,3.0,3000,240,32026.0,0
278,6.0,1,48,2.0,2730,2526,24780.666666666668,0
279,2.5,2,54,3.0,846,660,13332.5,0
281,3.0,1,40,2.0,3312,2172,12842.333333333334,0
282,6.0,1,41,3.0,3336,2886,26489.333333333332,0
283,1.0,1,52,2.0,636,660,13316.333333333334,0
284,3.0,1,51,2.0,4200,2172,23341.0,0
285,2.0,1,67,5.0,2400,2886,58850.666666666664,0
286,6.0,1,48,2.0,6600,2172,20569.333333333332,0
287,1.0,1,52,3.0,1800,2172,14400.0,0
288,7.0,1,72,1.0,5400,2886,14141.333333333334,0
289,5.0,1,71,2.0,13200,2586,47046.666666666664,0
290,4.5,1,57,1.0,4884,2172,26579.333333333332,0
291,4.0,1,30,2.0,5400,2172,41850.0,0
294,5.0,1,36,1.0,6600,2172,15195.333333333334,0
300,3.5,1,41,1.0,1740,1086,11061.666666666666,0
308,2.0,1,21,3.0,600,2172,19715.0,0
329,5.0,1,38,1.0,1200,156,11553.333333333334,1
330,8.0,1,54,2.0,0,2172,28023.333333333332,1
331,5.5,1,47,2.0,6300,4086,48923.0,1
332,6.5,1,55,1.0,1752,3576,33761.333333333336,1
334,3.0,1,70,1.0,1380,2172,22907.666666666668,1
335,7.0,1,58,2.0,6738,2484,27010.833333333332,1
336,7.0,1,40,2.0,1200,1986,18267.666666666668,1
338,1.0,2,80,4.0,13800,2172,41596.666666666664,1
341,5.0,1,47,3.0,5100,2346,21966.0,1
343,6.5,1,73,1.0,3600,1086,16384.5,0
344,5.0,1,50,2.0,4800,2586,23902.0,0
346,5.5,1,58,1.0,8250,120,21759.0,0
349,2.0,2,62,2.0,1200,720,9127.833333333334,0
350,7.0,2,42,3.0,5100,1440,36175.833333333336,0
352,2.0,2,42,2.0,8280,3402,23086.0,0
357,2.0,1,45,2.0,7620,2502,18584.0,0
363,7.0,1,57,2.0,1128,2172,17336.666666666668,0
369,4.0,1,58,2.0,4680,2172,25823.333333333332,0
370,5.5,1,41,2.0,2106,600,23038.333333333332,0
371,6.5,1,78,2.0,9114,3966,57449.666666666664,0
372,2.0,1,56,2.0,1158,2172,13095.833333333334,0
375,7.5,1,50,2.0,9000,8400,46958.0,0
376,2.0,1,51,2.0,1692,2172,32125.333333333332,0
377,5.5,1,75,2.0,7704,2376,44505.0,0
378,6.0,1,25,2.0,2184,2172,11609.5,0
379,9.5,1,70,1.0,7944,7356,39499.5,0
380,1.0,2,82,2.0,4716,2172,19174.0,0
381,3.0,1,62,1.0,4674,2172,16948.5,0
382,7.0,1,40,2.0,1140,2172,14892.166666666666,0
383,10.5,1,69,3.0,6996,2586,17791.833333333332,0
385,4.5,1,51,3.0,16800,4800,40900.0,0
386,3.5,1,66,3.0,14244,4086,39019.0,0
387,6.0,1,34,2.0,1836,3786,18992.0,0
388,4.0,1,39,2.0,1200,2346,14433.333333333334,1
389,3.5,1,35,5.0,1578,2370,23878.166666666668,1
390,2.0,2,53,2.0,2700,2172,9380.333333333334,1
392,7.5,1,58,2.0,4704,4086,32773.666666666664,1
394,5.0,1,36,5.0,5400,4206,31195.833333333332,1
395,3.0,2,68,1.0,960,2172,11600.0,1
396,4.0,1,32,2.0,5184,2172,22838.0,1
397,7.5,1,32,2.0,96,1740,15094.166666666666,1
398,3.0,1,32,2.0,2538,1842,11700.0,1
399,5.0,2,52,2.0,8070,2640,39129.0,1
400,9.5,1,40,2.0,900,2172,13903.833333333334,1
401,7.0,1,37,3.0,0,3042,19502.166666666668,1
402,3.0,1,57,2.0,2766,2172,18834.166666666668,1
403,2.5,1,49,4.0,34800,5700,44190.833333333336,1
404,3.0,1,44,2.0,3480,2172,12683.833333333334,1
405,7.0,1,55,2.0,3132,3300,43288.333333333336,1
406,5.5,1,38,3.0,8400,3486,35261.833333333336,1
407,5.0,1,40,3.0,3600,2286,15163.5,1
408,1.5,2,69,1.0,0,2172,6662.0,1
411,3.0,1,48,5.0,3816,2370,15295.666666666666,1
412,3.0,1,48,2.0,900,2886,20984.0,1
413,4.5,1,64,1.0,8880,4080,19578.5,1
415,12.0,1,70,1.0,4380,2196,32752.833333333332,1
419,7.0,1,46,2.0,7800,6600,26702.833333333332,1
420,6.5,1,35,3.0,600,1086,16717.0,1
423,4.0,1,36,2.0,3000,1500,31066.666666666668,1
430,3.5,1,51,2.0,5760,2172,53885.666666666664,1
431,2.0,1,62,1.0,900,300,5705.5,1
434,8.0,1,50,2.0,3810,2172,20936.333333333332,0
435,7.0,2,60,3.0,6480,3180,24623.666666666668,0
436,7.5,1,49,2.0,300,2286,21089.166666666668,0
437,11.5,1,59,2.0,0,3720,26329.666666666668,0
439,9.5,2,47,3.0,6000,7800,37641.666666666664,0
440,6.5,1,52,5.0,6600,2400,52833.333333333336,0
441,3.5,1,27,2.0,4200,1800,19105.666666666668,0
444,5.5,1,59,3.0,8400,30,21601.0,0
445,6.0,2,54,4.0,18600,5400,51968.166666666664,0
447,2.0,1,55,4.0,7200,2886,55338.333333333336,0
448,2.5,1,67,2.0,1080,300,11695.0,1
449,6.0,1,41,2.0,300,600,13666.166666666666,1
462,9.5,1,48,2.0,4080,4086,28154.333333333332,1
463,6.0,1,43,2.0,7800,2346,32525.333333333332,1
464,7.0,1,47,2.0,0,2490,21015.0,1
465,3.5,2,80,4.0,8736,5568,34270.333333333336,1
466,3.5,2,57,1.0,5106,2886,20794.666666666668,1
467,5.0,1,50,2.0,16800,3690,42364.0,1
469,3.5,2,55,2.0,1962,2172,10531.666666666666,1
471,3.0,2,66,1.0,4200,2892,16375.0,1
472,5.5,2,53,4.0,8700,4800,54561.666666666664,1
473,3.0,2,43,2.0,900,2172,11008.333333333334,1
489,1.5,1,44,1.0,0,1200,11580.5,0
490,4.0,2,59,4.0,5430,4080,31837.333333333332,0
491,9.5,1,66,4.0,4344,3684,31445.833333333332,0
494,7.0,1,49,2.0,3600,4686,23853.0,0
496,3.0,1,64,2.0,17400,2172,45374.833333333336,0
511,1.5,1,63,1.0,3240,30,25578.333333333332,0
527,8.5,1,37,2.0,840,900,16511.166666666668,0
528,7.0,1,47,1.0,858,300,24404.0,0
536,3.0,2,32,4.0,8892,240,28590.0,0
538,2.0,1,50,3.0,12600,5100,40349.0,0
541,3.0,1,64,1.0,2820,600,11097.833333333334,0
550,4.5,1,55,2.0,390,918,11163.0,0
556,4.0,1,32,2.0,0,210,10228.833333333334,0
559,8.0,1,51,1.0,3450,600,24046.166666666668,0
597,3.0,1,37,2.0,4500,1326,33212.5,1
608,3.0,1,58,2.0,3540,126,14693.0,1
631,4.0,2,84,1.0,1170,2634,16178.833333333334,0
635,4.0,1,40,2.0,996,2508,18998.666666666668,0
637,2.0,2,81,1.0,1800,30,6545.333333333333,1
638,5.0,1,47,3.0,4530,2712,19848.166666666668,1
639,4.0,1,78,1.0,10800,2508,36053.666666666664,1
642,1.0,2,29,4.0,4500,2508,24387.166666666668,1
643,3.5,2,43,4.0,7800,5400,34672.5,1
645,6.0,1,56,3.0,4674,3630,14472.166666666666,1
646,2.5,2,32,2.0,4800,2508,46495.833333333336,1
647,2.5,2,32,3.0,8640,2508,41009.166666666664,1
648,4.5,1,67,2.0,4104,3654,16426.833333333332,1
649,2.0,1,69,1.0,1314,180,20258.0,0
650,5.0,1,42,4.0,1080,210,20952.833333333332,0
651,5.5,2,58,1.0,1092,30,13758.5,0
662,10.5,1,56,2.0,2730,30,16613.166666666668,0
663,7.0,1,50,1.0,0,30,9622.166666666666,0
664,1.5,2,72,1.0,0,30,18441.166666666668,0
