group,typ,heat,cool,elec,sqm,entities,p
comm,Services,114.64612041392596,42.90022677542567,85.45365281064835,3600.0,7610,0.383471907281
comm,Food services,820.44,125.18857142857142,298.84761904761905,525.0,3020,0.152179390275
comm,Lodging,79.16108108108108,23.435315315315318,74.83711711711713,11100.0,259,0.0130511463845
comm,Office building,55.29166666666666,31.98008333333333,92.72916666666669,12000.0,8099,0.40811287478
comm,Warehous/Storage,101.09956989247313,1.8606451612903223,41.33010752688172,4650.0,130,0.00655076845553
indu,Chemical - Pharmaceutical/Medical,183.49297052154202,9.645260770975057,198.68780045351474,105.0,40,0.00201562106324
indu,Fabricated metal products,33.16070175438597,1.5285213032581453,228.6695739348371,105.0,95,0.0047871000252
indu,Food,483.1291871249318,275.699072558647,255.6291325695581,39.0,362,0.0182413706223
indu,Furniture,39.59749373433584,2.899448621553885,172.69644110275692,105.0,45,0.00226757369615
indu,Machinery,27.536796536796537,24.687099567099565,230.9044155844156,105.0,78,0.00393046107332
indu,Plastic/Rubber products,31.946666666666665,1396.809142857143,516.1798095238095,105.0,18,0.000907029478458
indu,Textiles - Apparel,82.17037037037036,16.185185185185187,243.263425925926,36.0,89,0.00448475686571
