,Age,ConstructionType,ConstructionYear,Energy,Gender,HHSize,Income,Waste,Water,w
0,70,demi-fermé,1900,49,femme,2.61,28150.0,147.0,79,71.45
1,22,"ouvert, fermes, châteaux",1977,49,femme,2.61,28150.0,147.0,79,71.45
2,28,demi-fermé,1972,49,femme,2.61,28150.0,147.0,79,71.45
3,7,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
4,33,fermé,1962,49,homme,2.61,28150.0,147.0,79,71.45
5,46,demi-fermé,1981,49,femme,2.61,28150.0,147.0,79,71.45
6,63,fermé,1900,49,homme,2.61,28150.0,147.0,79,71.45
7,55,demi-fermé,1909,49,homme,2.61,28150.0,147.0,79,71.45
8,36,demi-fermé,1927,49,femme,2.61,28150.0,147.0,79,71.45
9,75,"ouvert, fermes, châteaux",1912,49,homme,2.61,28150.0,147.0,79,71.45
10,67,"ouvert, fermes, châteaux",1973,49,homme,2.61,28150.0,147.0,79,71.45
11,53,"ouvert, fermes, châteaux",1981,49,homme,2.61,28150.0,147.0,79,71.45
12,38,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
13,48,"ouvert, fermes, châteaux",1900,49,homme,2.61,28150.0,147.0,79,71.45
14,48,"ouvert, fermes, châteaux",1968,49,homme,2.61,28150.0,147.0,79,71.45
15,47,appartements,1981,49,homme,2.61,28150.0,147.0,79,71.45
16,27,"ouvert, fermes, châteaux",1972,49,homme,2.61,28150.0,147.0,79,71.45
17,21,"ouvert, fermes, châteaux",1915,49,femme,2.61,28150.0,147.0,79,71.45
18,7,"ouvert, fermes, châteaux",1900,49,homme,2.61,28150.0,147.0,79,71.45
19,73,demi-fermé,1980,49,homme,2.61,28150.0,147.0,79,71.45
20,8,"ouvert, fermes, châteaux",1949,49,femme,2.61,28150.0,147.0,79,71.45
21,72,"ouvert, fermes, châteaux",1910,49,homme,2.61,28150.0,147.0,79,71.45
22,28,"ouvert, fermes, châteaux",1981,49,homme,2.61,28150.0,147.0,79,71.45
23,30,fermé,1977,49,homme,2.61,28150.0,147.0,79,71.45
24,25,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
25,32,demi-fermé,1900,49,homme,2.61,28150.0,147.0,79,71.45
26,42,"ouvert, fermes, châteaux",1977,49,femme,2.61,28150.0,147.0,79,71.45
27,3,"ouvert, fermes, châteaux",1976,49,homme,2.61,28150.0,147.0,79,71.45
28,31,fermé,1981,49,femme,2.61,28150.0,147.0,79,71.45
29,51,demi-fermé,1972,49,femme,2.61,28150.0,147.0,79,71.45
30,26,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
31,21,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
32,6,fermé,1966,49,femme,2.61,28150.0,147.0,79,71.45
33,6,"ouvert, fermes, châteaux",1981,49,femme,2.61,28150.0,147.0,79,71.45
34,45,"ouvert, fermes, châteaux",1958,49,femme,2.61,28150.0,147.0,79,71.45
35,73,"ouvert, fermes, châteaux",1912,49,homme,2.61,28150.0,147.0,79,71.45
36,47,demi-fermé,1967,49,femme,2.61,28150.0,147.0,79,71.45
37,35,"ouvert, fermes, châteaux",1972,49,femme,2.61,28150.0,147.0,79,71.45
38,55,fermé,1900,49,femme,2.61,28150.0,147.0,79,71.45
39,26,demi-fermé,1981,49,femme,2.61,28150.0,147.0,79,71.45
40,56,demi-fermé,1900,49,homme,2.61,28150.0,147.0,79,71.45
41,55,demi-fermé,1955,49,homme,2.61,28150.0,147.0,79,71.45
42,7,appartements,1969,49,femme,2.61,28150.0,147.0,79,71.45
43,55,fermé,1928,49,femme,2.61,28150.0,147.0,79,71.45
44,20,appartements,1900,49,femme,2.61,28150.0,147.0,79,71.45
45,46,"ouvert, fermes, châteaux",1981,49,homme,2.61,28150.0,147.0,79,71.45
