DOEID,TYPEHUQ,NWEIGHT,HDD65,CDD65,HDD30YR,CDD30YR,Climate_Region_Pub,UR,KOWNRENT,YEARMADE,NUMFLRS,NUMAPTS,WALLTYPE,ROOFTYPE,STORIES,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,AIRCOND,COOLTYPE,USEEL,ELWARM,ELECAUX,ELCOOL,ELWATER,ELFOOD,ELOTHER,HHSEX,EMPLOYHH,EDUCATION,NHSLDMEM,HHAGE,MONEYPY,TOTSQFT_EN,KWH,DOLLAREL,CUFEETNG,DOLLARNG,GALLONLP,DOLLARLP,GALLONFO,DOLLARFO,GALLONKER,BTUKER,DOLLARKER,BTUWOOD,TOTALBTU,TOTALDOL,TOTSQMT_EN
1,House,2471.68,4742.0,1080.0,4953.0,1271.0,4,U,Owned,2004,-2,-2,1,5,20,4,1,2,5,9,1,1,1,1,0,1,1,1,1,Female,1,master,4,35,62588.821644713425,4675.0,18466.0,1315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63006.0,1315.0,434.775
2,House,8599.17,2662.0,199.0,2688.0,143.0,5,U,Rented,1998,-2,-2,2,2,31,3,2,1,1,4,1,1,1,0,0,1,0,0,1,Female,1,collage,6,40,18776.646493414028,2736.0,5148.0,475.0,838.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,103460.0,1293.0,254.448
3,Apartment,8969.92,6233.0,505.0,5741.0,829.0,1,U,Rented,1965,2,8,1,-2,-2,1,1,0,1,2,1,2,1,0,0,1,0,0,1,Female,1,doctorate,1,45,46941.61623353507,528.0,2218.0,588.0,499.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58716.0,1327.0,49.104
4,House,18003.64,6034.0,672.0,5781.0,868.0,1,U,Owned,1985,-2,-2,6,5,10,3,2,1,4,7,1,1,1,0,0,1,1,1,1,Female,0,collage,1,75,21906.087575649697,1623.0,10015.0,952.0,412.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76401.0,1398.0,150.939
5,House,5999.61,5388.0,702.0,5313.0,797.0,1,U,Owned,1983,-2,-2,2,5,20,2,1,1,3,5,0,-2,1,0,0,0,0,1,1,Female,1,master,1,40,53200.498398006406,1912.0,2869.0,705.0,488.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59809.0,1558.0,177.816
6,House,4232.49,8866.0,270.0,8708.0,436.0,1,U,Owned,1920,-2,-2,4,6,20,3,1,0,3,6,1,1,1,0,0,1,0,0,1,Male,1,master,2,57,9388.323246707014,3485.0,6387.0,1050.0,903.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114350.0,1906.0,324.105
7,House,7862.34,5213.0,749.0,5355.0,796.0,4,U,Owned,1922,-2,-2,3,6,20,4,2,1,3,7,1,1,1,1,1,1,0,0,1,Male,1,master,4,54,75106.58597365611,2654.0,11821.0,2444.0,1077.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,150726.0,4304.0,246.822
8,House,6297.04,1086.0,2647.0,1070.0,2554.0,3,U,Owned,1975,-2,-2,7,6,10,3,2,0,3,6,1,1,1,1,1,1,1,1,1,Male,1,master,6,37,40682.73406906373,1952.0,22928.0,2622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78230.0,2622.0,181.536
9,House,12156.72,4826.0,1027.0,5381.0,912.0,4,U,Owned,1920,-2,-2,2,5,20,3,1,0,4,7,1,1,1,1,0,1,1,0,1,Female,2,collage,1,47,21906.087575649697,1635.0,9130.0,1240.0,210.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52677.0,1631.0,152.055
10,House,3242.22,4687.0,1205.0,4755.0,1467.0,4,U,Owned,1955,-2,-2,3,6,10,3,1,1,4,7,1,1,1,1,1,1,0,1,1,Male,1,collage,1,52,31294.410822356713,2390.0,7474.0,655.0,426.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69166.0,1388.0,222.27
11,Apartment,8812.43,830.0,1405.0,1335.0,613.0,2,U,Rented,1950,-2,-2,1,1,-2,2,1,0,1,3,0,-2,1,0,0,0,0,0,1,Male,1,collage,1,61,21906.087575649697,731.0,2750.0,373.0,365.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46796.0,761.0,67.983
12,House,15489.57,4732.0,1034.0,4668.0,1437.0,4,U,Owned,1968,-2,-2,2,6,20,3,1,1,4,7,1,1,1,0,0,1,0,0,1,Male,1,doctorate,3,48,75106.58597365611,1935.0,11807.0,2154.0,995.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142273.0,3666.0,179.955
13,House,7951.52,6.0,3890.0,8.0,3895.0,3,U,Rented,1950,-2,-2,2,5,10,3,2,0,3,6,0,-2,1,0,0,0,1,1,1,Male,1,primary,2,54,37553.292986828055,1387.0,9775.0,2112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33352.0,2112.0,128.99099999999999
