,Electricity,Water,e_sqm,real_index,sw,w,w_Age,w_ConstructionType,w_ConstructionYear,w_HHSize,w_Income,wf
0,1075.12705302,38.4487956359,73.3012695058,0.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_1945,HHSize_4,13748.4126398,1406.0350059056725
1,1148.35924534,33.805274134899996,73.5672763797,1.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_1945,HHSize_3,13710.2915314,1418.0342837910314
2,1115.23072715,38.531942781,72.0386039909,2.0,1.0,1,Age_79,ConstructionType_hous,ConstructionYear_1961,HHSize_4,13484.4871014,1514.0300061425187
3,1286.77531998,54.151775640699995,71.5983200906,3.0,1.0,1,Age_64,ConstructionType_hous,ConstructionYear_2001,HHSize_7,13494.167095200002,1516.0301894689694
4,1239.28392309,54.4042539779,72.43335473319999,4.0,11.0,1,Age_79,ConstructionType_appt,ConstructionYear_1945,HHSize_7,13452.5501129,1437.0294011876645
5,1373.37681401,56.229734068599996,74.1889863508,5.0,11.0,1,Age_79,ConstructionType_hous,ConstructionYear_1945,HHSize_7,13742.0035185,1415.034884585284
6,1139.35166701,34.681798754,72.7270919103,6.0,11.0,1,Age_54,ConstructionType_hous,ConstructionYear_1945,HHSize_3,13851.431006400002,1422.0369573608589
7,1282.46859962,44.6269598059,73.4299038882,7.0,11.0,1,Age_79,ConstructionType_appt,ConstructionYear_1900,HHSize_5,13352.9272921,1410.0275140981091
8,1321.92257821,49.5830789193,73.7477774353,8.0,11.0,1,Age_64,ConstructionType_appt,ConstructionYear_1981,HHSize_6,13394.287855,1418.0282976380954
9,1389.16312183,32.4207766107,73.0711086018,9.0,1.0,1,Age_120,ConstructionType_hous,ConstructionYear_1981,HHSize_2,13567.3682782,1510.0315762942932
10,1068.04820265,37.905590975500004,74.0477619891,10.0,1.0,1,Age_54,ConstructionType_hous,ConstructionYear_1961,HHSize_3,13581.7603789,1516.0318490284872
