,index,w_ConstructionType,w_Age,w_ConstructionYear,w_HHSize,e_sqm,w_Income,Water,Electricity,w,wf
0,0,ConstructionType_hous,Age_39,ConstructionYear_1981,HHSize_2,71.93781689632337,14032.467153694924,31.74480283567292,1404.7780299777667,1549.9625318066157,1549.963982426394
1,1,ConstructionType_hous,Age_64,ConstructionYear_1961,HHSize_1,73.70998777521406,13455.713590895852,25.663482646867962,1378.342273830738,1549.9625318066157,1549.9618085398804
2,2,ConstructionType_appt,Age_29,ConstructionYear_1945,HHSize_4,73.25555931900128,13615.685052938172,40.831384524190135,961.8796954966573,1549.9625318066157,1549.9624115012482
3,3,ConstructionType_appt,Age_120,ConstructionYear_1961,HHSize_3,72.06562451242962,13554.07828410333,38.40552891219515,647.5685185948741,1549.9625318066157,1549.9621792665919
4,4,ConstructionType_hous,Age_24,ConstructionYear_1945,HHSize_1,73.48503818825371,13641.736836949103,25.97551096304536,1205.5427251383223,1549.9625318066157,1549.962509701448
5,5,ConstructionType_hous,Age_39,ConstructionYear_1945,HHSize_1,72.29243603848944,13499.561647175968,24.921882306513645,1318.9341178495667,1549.9625318066157,1549.961973785125
6,6,ConstructionType_hous,Age_79,ConstructionYear_1981,HHSize_4,71.35083753259798,13285.517469097662,44.17935892320633,1266.674149672652,1549.9625318066157,1549.9611669824594
7,7,ConstructionType_hous,Age_64,ConstructionYear_1918,HHSize_4,73.4081649355027,13868.256720816791,42.66259170822924,1242.8404593376238,1549.9625318066157,1549.9633635076166
8,8,ConstructionType_hous,Age_64,ConstructionYear_1945,HHSize_4,72.10168543357325,13531.11720117891,41.0644280852181,1157.3509968587566,1549.9625318066157,1549.9620927217736
9,9,ConstructionType_hous,Age_120,ConstructionYear_1961,HHSize_4,73.75902262352325,13746.089348754249,41.49020481541152,1360.095531170881,1549.9625318066157,1549.9629030365954
10,10,ConstructionType_hous,Age_54,ConstructionYear_2030,HHSize_1,73.31148891181745,13647.344016726243,26.285843502053122,1153.3671241123627,1549.9625318066157,1549.9625308327784
11,11,ConstructionType_hous,Age_39,ConstructionYear_1918,HHSize_1,72.46908788462758,13537.79073669503,27.32271193927557,1040.3358856713267,1549.9625318066157,1549.962117883247
12,12,ConstructionType_hous,Age_54,ConstructionYear_2001,HHSize_4,73.36309511716014,13909.153293452357,40.51535365654429,1182.7068141138204,1549.9625318066157,1549.9635176557033
13,13,ConstructionType_hous,Age_54,ConstructionYear_1918,HHSize_6,72.48426277114417,13571.099763630311,49.53121390053477,1249.0279563176534,1549.9625318066157,1549.9622434333003
14,14,ConstructionType_hous,Age_64,ConstructionYear_1918,HHSize_4,72.72520890257677,13528.784239281946,40.05342554347382,1243.6300491440475,1549.9625318066157,1549.962083940826
