,index,e_BuildingSqm,elec,heat,cool,w,wf
0,0,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
1,1,525.0,66742.06835423224,94458.85206448693,0.0,6.3048,13.5685315801443
2,2,525.0,66742.06835423224,31486.28402149564,140893.97937187686,6.3048,13.5685315801443
3,3,39.0,0.0,117168.86293266574,65124.32824300085,6.3048,14.207635151366407
4,4,525.0,0.0,15185.242330075269,46964.659790625614,6.3048,13.5685315801443
8,8,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
9,9,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
10,10,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
11,11,525.0,0.0,0.0,21000.513918292363,6.3048,13.5685315801443
12,12,525.0,0.0,0.0,21000.513918292363,6.3048,13.5685315801443
13,13,525.0,0.0,0.0,21000.513918292363,6.3048,13.5685315801443
19,19,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
20,20,525.0,400452.4101253936,94458.85206448693,0.0,6.3048,13.5685315801443
26,26,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
27,27,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
28,28,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
29,29,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
30,30,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
31,31,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
32,32,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
33,33,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
39,39,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
43,43,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
44,44,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
51,51,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
52,52,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
53,53,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
54,54,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
55,55,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
56,56,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
57,57,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
58,58,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
59,59,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
63,63,105.0,185129.01332144573,50378.054434393016,75143.45566500098,6.3048,14.120843308360937
64,64,36.0,122937.34147707654,23749.654233356712,35424.77195635761,6.3048,14.211580235139385
65,65,525.0,200226.2050626968,94458.85206448693,46964.659790625614,6.3048,13.5685315801443
66,66,525.0,0.0,94458.85206448693,15654.886596875205,6.3048,13.5685315801443
75,75,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
76,76,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
77,77,525.0,200226.2050626968,0.0,0.0,6.3048,13.5685315801443
78,78,525.0,200226.2050626968,45555.72699022581,0.0,6.3048,13.5685315801443
79,79,525.0,200226.2050626968,0.0,0.0,6.3048,13.5685315801443
80,80,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
81,81,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
82,82,39.0,89060.43376261383,23688.978034917418,0.0,6.3048,14.207635151366407
83,83,39.0,267181.30128784146,49118.6030735332,32760.80171253608,6.3048,14.207635151366407
87,87,525.0,0.0,0.0,63001.54175487709,6.3048,13.5685315801443
88,88,525.0,0.0,0.0,63001.54175487709,6.3048,13.5685315801443
89,89,525.0,0.0,0.0,63001.54175487709,6.3048,13.5685315801443
107,107,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
114,114,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
120,120,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
121,121,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
126,126,525.0,0.0,225324.73640897265,0.0,6.3048,13.5685315801443
127,127,525.0,0.0,15185.242330075269,0.0,6.3048,13.5685315801443
128,128,525.0,467194.4784796257,31486.28402149564,0.0,6.3048,13.5685315801443
129,129,525.0,467194.4784796257,225324.73640897265,0.0,6.3048,13.5685315801443
130,130,525.0,0.0,225324.73640897265,15654.886596875205,6.3048,13.5685315801443
131,131,525.0,0.0,225324.73640897265,15654.886596875205,6.3048,13.5685315801443
132,132,525.0,0.0,27765.874332035743,15654.886596875205,6.3048,13.5685315801443
133,133,525.0,200226.2050626968,0.0,0.0,6.3048,13.5685315801443
134,134,525.0,200226.2050626968,15185.242330075269,0.0,6.3048,13.5685315801443
135,135,525.0,66742.06835423224,15185.242330075269,0.0,6.3048,13.5685315801443
136,136,525.0,66742.06835423224,15185.242330075269,0.0,6.3048,13.5685315801443
142,142,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
143,143,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
144,144,525.0,0.0,0.0,0.0,6.3048,13.5685315801443
147,147,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
148,148,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
149,149,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
150,150,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
152,152,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
153,153,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
154,154,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
155,155,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
156,156,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
157,157,3600.0,0.0,0.0,0.0,6.3048,9.52482071284393
