,index,w_ConstructionType,w_Age,w_ConstructionYear,w_HHSize,e_sqm,w_Income,Water,Electricity,w,wf
0,0,ConstructionType_hous,Age_79,ConstructionYear_1900,HHSize_4,73.6229844388,13866.9792756,42.2613833338,1197.9101957999999,1493.2380952380952,1493.2350884923624
1,1,ConstructionType_hous,Age_79,ConstructionYear_1918,HHSize_5,72.86992771119999,13446.097786100001,42.322445,1368.78471099,1493.2380952380952,1493.240925385994
2,2,ConstructionType_appt,Age_120,ConstructionYear_1945,HHSize_5,73.9774527975,13724.728049599998,44.979569120600004,1364.20539542,1493.2380952380952,1493.237061225007
3,3,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_4,72.0827174623,13599.142254299999,41.4602362405,1254.19170343,1493.2380952380952,1493.238803004018
4,4,ConstructionType_appt,Age_79,ConstructionYear_1945,HHSize_2,73.4378351912,13605.608534600002,31.4576110095,1271.3348524,1493.2380952380952,1493.238713229246
5,5,ConstructionType_hous,Age_64,ConstructionYear_1900,HHSize_1,72.6712703718,13353.8802422,24.343727348,1278.82417857,1493.2380952380952,1493.242204285614
6,6,ConstructionType_hous,Age_54,ConstructionYear_1900,HHSize_5,72.0540522119,13428.1986051,44.115622916199996,1225.69614168,1493.2380952380952,1493.2411736746287
7,7,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_1,72.6088396241,13767.976773299997,23.9204186506,1253.53080449,1493.2380952380952,1493.236461546687
8,8,ConstructionType_hous,Age_64,ConstructionYear_1945,HHSize_1,72.8756450344,13881.6204581,26.0914175817,1012.44043752,1493.2380952380952,1493.2348855019595
9,9,ConstructionType_hous,Age_24,ConstructionYear_1945,HHSize_5,72.6257133656,13571.354539599999,42.96530152770001,1515.92072718,1493.2380952380952,1493.2391883276293
10,10,ConstructionType_hous,Age_79,ConstructionYear_1900,HHSize_3,71.8361222958,13453.8722274,34.3289149623,1142.11974344,1493.2380952380952,1493.24081764573
11,11,ConstructionType_hous,Age_79,ConstructionYear_1900,HHSize_3,71.7964220853,13455.1817211,33.7861991686,1112.47825389,1493.2380952380952,1493.2407994884475
12,12,ConstructionType_hous,Age_79,ConstructionYear_1945,HHSize_3,72.2229036733,13233.5748866,34.6977898847,1242.47328965,1493.2380952380952,1493.2438727282906
13,13,ConstructionType_hous,Age_120,ConstructionYear_1961,HHSize_4,72.3890591741,13676.8818968,40.506185807399994,1065.81629881,1493.2380952380952,1493.2377248784717
14,14,ConstructionType_hous,Age_79,ConstructionYear_1961,HHSize_4,72.4908823563,13939.094355000001,40.847732384000004,1666.25953212,1493.2380952380952,1493.2340884750358
15,15,ConstructionType_hous,Age_39,ConstructionYear_1981,HHSize_6,73.88626391689999,13635.781286399999,48.6793383263,1370.25265335,1493.2380952380952,1493.238294756053
16,16,ConstructionType_hous,Age_79,ConstructionYear_1981,HHSize_6,74.4240285627,13372.4773217,50.3521837415,1460.19946809,1493.2380952380952,1493.2419462488494
17,17,ConstructionType_appt,Age_54,ConstructionYear_1945,HHSize_6,74.1242577132,13608.094056999998,50.180183614099995,1237.69012076,1493.2380952380952,1493.238678708922
18,18,ConstructionType_hous,Age_29,ConstructionYear_1945,HHSize_2,74.0830947562,13557.058399399999,30.9679794785,1253.57821403,1493.2380952380952,1493.2393864802355
19,19,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_2,72.2697545315,13779.315561700001,30.3117988304,1334.45205089,1493.2380952380952,1493.2363043238574
20,20,ConstructionType_hous,Age_54,ConstructionYear_1970,HHSize_6,73.0799475968,13702.0145826,48.529453742,1324.74520022,1493.2380952380952,1493.2373762838831
21,21,ConstructionType_hous,Age_54,ConstructionYear_1918,HHSize_5,72.3414606881,13703.084878,43.3633085961,1130.94704269,1493.2380952380952,1493.2373614955268
22,22,ConstructionType_hous,Age_79,ConstructionYear_1945,HHSize_5,73.0205305705,13533.7419424,47.5496743997,1348.64765558,1493.2380952380952,1493.2397099144068
23,23,ConstructionType_hous,Age_29,ConstructionYear_1945,HHSize_1,72.5878678952,13488.4000635,24.1510685244,1255.50267446,1493.2380952380952,1493.2403387537645
24,24,ConstructionType_hous,Age_54,ConstructionYear_1900,HHSize_6,72.3574019782,13510.1164525,49.195900534799996,1376.38475201,1493.2380952380952,1493.2400376051307
25,25,ConstructionType_hous,Age_64,ConstructionYear_1918,HHSize_6,72.6802899278,13843.790662700001,50.4649260023,1431.48810959,1493.2380952380952,1493.2354101449105
26,26,ConstructionType_hous,Age_79,ConstructionYear_1981,HHSize_1,73.2005538646,13661.404034399999,26.4093893787,1256.31471077,1493.2380952380952,1493.237939467293
27,27,ConstructionType_hous,Age_79,ConstructionYear_1945,HHSize_3,73.1722193,13661.4225343,35.387301916999995,1294.07661403,1493.2380952380952,1493.23793921248
28,28,ConstructionType_appt,Age_54,ConstructionYear_1918,HHSize_3,73.745716427,13677.714941,33.7182078039,1055.45618658,1493.2380952380952,1493.2377132257498
29,29,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_5,73.9584901291,13412.1645324,42.4273031638,1310.41609916,1493.2380952380952,1493.241395895799
30,30,ConstructionType_appt,Age_79,ConstructionYear_1961,HHSize_5,74.2599001712,13570.9875157,42.4083432462,1080.66533283,1493.2380952380952,1493.2391932971343
31,31,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_3,73.79053623680001,13531.520390000001,37.524291719299995,1210.12484396,1493.2380952380952,1493.2397406660327
32,32,ConstructionType_appt,Age_79,ConstructionYear_2001,HHSize_3,73.2967983609,13482.2029967,36.6790197241,1022.10039093,1493.2380952380952,1493.2404246435597
33,33,ConstructionType_appt,Age_79,ConstructionYear_1981,HHSize_3,74.1178901116,13810.2783161,34.8431517757,1162.36797552,1493.2380952380952,1493.2358747925123
34,34,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_4,71.1287857871,13495.874587600001,40.0628408587,1289.55649388,1493.2380952380952,1493.2402352038173
35,35,ConstructionType_appt,Age_79,ConstructionYear_1945,HHSize_4,73.396028121,13945.52143,41.20484835,1075.8408855999999,1493.2380952380952,1493.2339992772042
36,36,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_5,73.5565986659,13598.138376299998,45.7837366302,1361.49980541,1493.2380952380952,1493.2388168167233
37,37,ConstructionType_appt,Age_64,ConstructionYear_1945,HHSize_2,73.4837731772,13700.344925100002,28.9953327584,1213.75214537,1493.2380952380952,1493.2373994096026
38,38,ConstructionType_hous,Age_79,ConstructionYear_1945,HHSize_2,73.62106077060001,13727.941184799998,31.185000251199998,1220.60058262,1493.2380952380952,1493.2370166901271
39,39,ConstructionType_hous,Age_29,ConstructionYear_1900,HHSize_2,72.9595845951,13743.1281348,30.5895762582,1278.71871009,1493.2380952380952,1493.2368061250488
40,40,ConstructionType_hous,Age_79,ConstructionYear_1900,HHSize_2,73.69883101970001,13631.314252899998,30.9213642646,1175.2131634000002,1493.2380952380952,1493.2383567191578
41,41,ConstructionType_hous,Age_64,ConstructionYear_1945,HHSize_2,70.5275252183,13556.2489998,30.7291315552,1164.98023471,1493.2380952380952,1493.2393979684375
42,42,ConstructionType_hous,Age_79,ConstructionYear_1970,HHSize_4,72.79123594,13643.0325854,39.376713066,1363.69855182,1493.2380952380952,1493.2381942750276
43,43,ConstructionType_appt,Age_120,ConstructionYear_1961,HHSize_5,72.7610281123,13663.477807299998,45.4800442126,1227.77855767,1493.2380952380952,1493.2379107413744
44,44,ConstructionType_hous,Age_79,ConstructionYear_2011,HHSize_3,73.38498069319999,13736.1137214,34.1204771227,1026.21467323,1493.2380952380952,1493.2369033700777
45,45,ConstructionType_hous,Age_64,ConstructionYear_1945,HHSize_4,72.8481264766,13814.695717100001,40.9078535615,1203.28284876,1493.2380952380952,1493.2358136246087
46,46,ConstructionType_hous,Age_64,ConstructionYear_1981,HHSize_4,73.9028481366,13569.923147799998,42.0299565913,1073.84124078,1493.2380952380952,1493.2392080836407
47,47,ConstructionType_appt,Age_64,ConstructionYear_1945,HHSize_4,72.6867844347,13549.2640398,39.1287396764,1020.56795311,1493.2380952380952,1493.2394946775673
48,48,ConstructionType_hous,Age_64,ConstructionYear_1945,HHSize_4,73.43413159229999,13552.0356782,39.7294013942,1092.89715103,1493.2380952380952,1493.23945618392
49,49,ConstructionType_hous,Age_64,ConstructionYear_1945,HHSize_5,74.139981307,13424.3631907,45.0373527533,1407.21358516,1493.2380952380952,1493.2412267098907
50,50,ConstructionType_appt,Age_39,ConstructionYear_1900,HHSize_5,74.7300231296,13359.2847002,44.37677547,1153.90506533,1493.2380952380952,1493.2421291840885
51,51,ConstructionType_appt,Age_54,ConstructionYear_1970,HHSize_5,73.8002604026,13511.505892299998,42.511950006300005,1066.49692169,1493.2380952380952,1493.240018229929
52,52,ConstructionType_appt,Age_64,ConstructionYear_1961,HHSize_5,73.6791632667,13520.421035799998,41.6314530739,1072.65821268,1493.2380952380952,1493.2398946025744
53,53,ConstructionType_hous,Age_64,ConstructionYear_1900,HHSize_2,73.78447419369999,13591.491794,28.9166409795,1185.0092028,1493.2380952380952,1493.2389089757655
54,54,ConstructionType_hous,Age_54,ConstructionYear_1961,HHSize_1,72.5050995296,13523.0602462,26.8309774552,1206.88521613,1493.2380952380952,1493.2398580879303
55,55,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_4,71.2814863525,13842.7541776,39.1655486637,1167.53541999,1493.2380952380952,1493.2354246223408
56,56,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_3,73.6122733787,13487.7247576,34.835320005700005,1214.85239016,1493.2380952380952,1493.24034804263
57,57,ConstructionType_hous,Age_120,ConstructionYear_2020,HHSize_3,72.3739886448,13806.660568000001,35.7723546662,1238.46836774,1493.2380952380952,1493.2359250926422
58,58,ConstructionType_hous,Age_54,ConstructionYear_1991,HHSize_2,73.43316984229999,13753.6959391,30.9842595021,1143.09653065,1493.2380952380952,1493.2366595340077
59,59,ConstructionType_hous,Age_39,ConstructionYear_2035,HHSize_2,72.9594458269,13689.4778678,31.169931868600003,1376.99699239,1493.2380952380952,1493.2375501536917
60,60,ConstructionType_hous,Age_54,ConstructionYear_1981,HHSize_2,71.4980088862,13702.2792229,29.721589614499997,1277.58540489,1493.2380952380952,1493.2373727309266
61,61,ConstructionType_appt,Age_64,ConstructionYear_1961,HHSize_2,72.1459112532,13702.278408700002,28.8475667075,1169.6495992999999,1493.2380952380952,1493.2373726950436
62,62,ConstructionType_hous,Age_39,ConstructionYear_1945,HHSize_2,72.1096733365,13704.236840799998,30.1967272119,1290.61657911,1493.2380952380952,1493.2373455371223
63,63,ConstructionType_hous,Age_79,ConstructionYear_1970,HHSize_4,73.8716348235,13712.2192098,41.2854597484,1259.41721144,1493.2380952380952,1493.2372347060739
