,index,w_ConstructionType,w_Age,w_ConstructionYear,w_HHSize,e_sqm,w_Income,Water,Electricity,w,wf
0,0,ConstructionType_hous,Age_54,ConstructionYear_2011,HHSize_5,72.9920680968,13544.448685100002,45.576844028000004,1470.31134735,1655.2588994565217,1655.265895827322
1,1,ConstructionType_hous,Age_64,ConstructionYear_1991,HHSize_4,72.503844972,13524.732716100001,39.4199592019,1408.03026272,1655.2588994565217,1655.2671377318127
2,2,ConstructionType_hous,Age_29,ConstructionYear_1961,HHSize_5,74.2101802089,13697.1234551,46.384712525,1498.24115744,1655.2588994565217,1655.2562797405187
3,3,ConstructionType_hous,Age_79,ConstructionYear_1970,HHSize_3,72.1697941214,13579.154379299998,34.3988798368,1127.26984776,1655.2588994565217,1655.2637102886727
4,4,ConstructionType_appt,Age_39,ConstructionYear_1981,HHSize_2,72.2827224817,13845.1947347,30.0931117468,888.875926832,1655.2588994565217,1655.2469546495101
5,5,ConstructionType_appt,Age_39,ConstructionYear_2001,HHSize_3,73.2949967909,13768.677940000001,36.4568264049,1047.38620879,1655.2588994565217,1655.2517734467947
6,6,ConstructionType_hous,Age_54,ConstructionYear_1991,HHSize_2,73.490891288,13759.820924399999,33.2116346249,1189.47285577,1655.2588994565217,1655.2523312040075
7,7,ConstructionType_hous,Age_54,ConstructionYear_1981,HHSize_6,72.3739220624,13673.6164074,49.006886432799995,1743.84662274,1655.2588994565217,1655.2577608656054
8,8,ConstructionType_hous,Age_120,ConstructionYear_1918,HHSize_1,74.05640348,13763.2663661,25.566359102800003,798.84526567,1655.2588994565217,1655.2521140170938
9,9,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_4,71.8608422569,13732.9205837,39.003455695700005,1129.97899897,1655.2588994565217,1655.2540259745385
10,10,ConstructionType_hous,Age_120,ConstructionYear_1961,HHSize_4,73.81782382,13685.991517200002,42.0605636505,1174.53764433,1655.2588994565217,1655.256980977886
11,11,ConstructionType_appt,Age_79,ConstructionYear_1945,HHSize_3,73.848702101,13659.9327574,36.1467701463,1268.62378984,1655.2588994565217,1655.2586221880065
12,12,ConstructionType_hous,Age_39,ConstructionYear_1945,HHSize_2,72.9212908951,13889.4815324,29.171309216100003,1283.80742231,1655.2588994565217,1655.244165183639
13,13,ConstructionType_hous,Age_54,ConstructionYear_2001,HHSize_6,72.3974767876,13683.675947999998,49.1109892728,1383.58480594,1655.2588994565217,1655.2571272933521
14,14,ConstructionType_hous,Age_64,ConstructionYear_1970,HHSize_5,72.7636464755,13700.3580113,48.21703280569999,1064.55273367,1655.2588994565217,1655.256076509869
15,15,ConstructionType_hous,Age_79,ConstructionYear_1991,HHSize_4,72.1712811174,14033.3873322,42.6945744317,1446.74796118,1655.2588994565217,1655.2351020410144
16,16,ConstructionType_hous,Age_24,ConstructionYear_2001,HHSize_6,73.4689154483,13458.908242399999,50.0390976993,1338.21018589,1655.2588994565217,1655.271283128853
17,17,ConstructionType_hous,Age_79,ConstructionYear_2001,HHSize_6,72.68469982159999,13521.20805,50.588466283900004,1377.0691348,1655.2588994565217,1655.2673596599725
18,18,ConstructionType_hous,Age_54,ConstructionYear_2030,HHSize_7,72.4856718788,13637.2215715,54.4592913929,1550.88320649,1655.2588994565217,1655.2600530277662
19,19,ConstructionType_hous,Age_120,ConstructionYear_2035,HHSize_7,73.3510779292,13869.8807628,54.7021183768,1379.47567614,1655.2588994565217,1655.2453995260112
20,20,ConstructionType_hous,Age_64,ConstructionYear_1970,HHSize_4,72.47834032819999,13774.9395618,39.9249081056,1245.69202985,1655.2588994565217,1655.25137935174
21,21,ConstructionType_hous,Age_39,ConstructionYear_2030,HHSize_4,73.4194964206,13380.6071801,42.211727031399995,1184.33396363,1655.2588994565217,1655.2762146587681
22,22,ConstructionType_hous,Age_79,ConstructionYear_2030,HHSize_3,72.7870277517,13848.6821415,39.0458903027,1251.90307683,1655.2588994565217,1655.246734833243
23,23,ConstructionType_hous,Age_64,ConstructionYear_2011,HHSize_4,73.154528925,13515.4997295,37.956825499000004,1307.77603755,1655.2588994565217,1655.2677190197803
24,24,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_4,72.2409764274,13737.1764518,37.4742890221,1355.12759764,1655.2588994565217,1655.2537578058707
25,25,ConstructionType_hous,Age_79,ConstructionYear_1981,HHSize_2,73.9778892896,13615.621416299999,32.916973007399996,1312.21633265,1655.2588994565217,1655.2614129337358
26,26,ConstructionType_appt,Age_79,ConstructionYear_1961,HHSize_3,73.9526354307,13696.758117700001,36.0108046977,1287.20025669,1655.2588994565217,1655.2563028388024
27,27,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_3,72.4826169162,13687.241353,33.834745214899996,1183.40253372,1655.2588994565217,1655.2569027087206
28,28,ConstructionType_hous,Age_54,ConstructionYear_1945,HHSize_3,71.6631238814,13859.306278299999,34.2931296805,1032.29975669,1655.2588994565217,1655.246066086949
29,29,ConstructionType_hous,Age_79,ConstructionYear_1961,HHSize_2,73.6494881292,13607.305597,31.376616304099997,1191.61481663,1655.2588994565217,1655.261936786259
30,30,ConstructionType_hous,Age_64,ConstructionYear_1918,HHSize_2,73.4926955617,13564.9517317,29.700312068800002,1104.23647367,1655.2588994565217,1655.2646043470745
