,index,w_ConstructionType,c_w_ConstructionType,w_Age,c_w_Age,w_ConstructionYear,c_w_ConstructionYear,w_HHSize,c_w_HHSize,c_w_Income,c_e_ConstructionType,e_sqm,c_e_sqm,c_e_Income,c_e_HHSize,c_e_ConstructionYear,w_Intercept,w_Income,Water,e_Intercept,e_CDD,e_HDD,Electricity,w
0,0,1,1.0425962157356918,65.95828199886674,0.003586114598802629,2027,0.01546934780206678,2,9.992925194863199,0.0009736904886537377,2802.76732730854,73.50137878437094,16.559504235521995,0.03457387521001254,1065.4333395680237,14.337961349829989,-5.28240917773532,13691.05345528227,31.85272004320723,-29960.626895641995,833.3,3006.5,1342.7497303005914,2145.3167184801378
1,4,1,1.0147164044234556,39.745784467135174,0.0005708264650249753,1953,0.01669278182926379,5,9.987744944800824,0.0009689722517028836,2484.0835284169652,74.50483945028671,16.642969320782758,0.030625468279588914,937.6536377112427,12.190802669165711,-5.28240917773532,13776.28536793349,46.81202342470332,-29960.626895641995,833.3,3006.5,1239.333303591336,2145.3167184801378
2,5,1,1.017372898733072,38.685858411276115,0.0013581484588149938,1998,0.0166084879198271,5,10.151951780477901,0.0009621728363296158,2502.726631329263,74.08156595030991,16.531877981733274,0.0281048527110589,930.9856637917776,13.007442663239212,-5.28240917773532,13793.444107426722,47.46844231186461,-29960.626895641995,833.3,3006.5,1311.2154509567806,2145.3167184801378
3,6,1,1.222869104049646,33.21278180178369,-0.00018403228739422364,1998,0.01493186963656554,1,10.384552455706656,0.0009330924463275204,2638.5927577988496,72.48207758159714,18.223061648683764,0.02928956683083253,1061.6493358491734,8.728872680043576,-5.28240917773532,13587.51848152478,26.13506890454273,-29960.626895641995,833.3,3006.5,906.9823319787542,2145.3167184801378
4,7,0,1.0137882198232635,65.99877833576022,0.00328054264574767,1998,0.016700393398223184,3,10.225520744532156,0.0009570433700063248,2945.6806746542293,73.90161884016737,17.433626157049886,0.028935853983695668,1029.0872107724153,11.37446443326503,-5.28240917773532,13815.703106177336,37.42156364313126,-29960.626895641995,833.3,3006.5,1064.6812364651041,2145.3167184801378
5,12,1,1.1240652687020591,49.33708081942638,0.0018960003041930827,1974,0.01713526780027719,4,10.631803547361274,0.0009477701474383881,2844.1493993543327,72.66929780144591,16.998143261928373,0.0302134491202305,1045.0128782969086,10.51038131772106,-5.28240917773532,13698.965218093294,43.734240974525434,-29960.626895641995,833.3,3006.5,1129.8789004055714,2145.3167184801378
6,13,1,1.1509060481398694,83.20057941420342,-0.0014302252497161395,1923,0.016436604814368806,6,10.482640086869699,0.0009580810168758713,2807.845035544993,73.51622930268755,17.316586692376543,0.03334824557406768,1032.684999677913,16.534863662384883,-5.28240917773532,13685.383489380845,52.47291466067266,-29960.626895641995,833.3,3006.5,1575.2011213070114,2145.3167184801378
7,19,1,1.31871021752556,68.80507241365953,-0.00036825273446813443,1994,0.01705936068605454,4,10.532650080188887,0.0009644294021431117,2800.130624621764,73.33291985277562,16.277608271331054,0.03274560446931709,1024.2681793731779,11.086555165300812,-5.28240917773532,13680.988266037772,43.77354187616783,-29960.626895641995,833.3,3006.5,1171.4805309499645,2145.3167184801378
8,20,1,1.2959615337890893,59.08624841622189,-0.0009250186890630152,2001,0.016612815225142585,5,10.678444693187247,0.0009608282774754074,2644.820275740973,73.40511341418488,16.76695801846985,0.03575836689642993,1046.9895969773993,10.601391666771676,-5.28240917773532,13635.439004027288,48.768578591655654,-29960.626895641995,833.3,3006.5,1177.1211001886545,2145.3167184801378
9,21,0,1.310265607425292,48.54507800129165,0.003859247408889196,2001,0.016356681145172938,4,10.540576957167627,0.0009500105597572316,2798.847100609518,73.99578499956456,16.330042207544402,0.02997008180614257,1060.4574952392377,11.341966103003381,-5.28240917773532,13486.310237598691,42.44867996190143,-29960.626895641995,833.3,3006.5,1100.284328339032,2145.3167184801378
