,index,e_BuildingSqm,e_BuildingElec,h_BuildingSqm,h_BuildingHeat,c_BuildingSqm,c_BuildingCool,c_e_BuildingSqm,c_e_BuildingElec,elec,c_h_BuildingSqm,c_h_BuildingHeat,heat,c_c_BuildingSqm,c_c_BuildingCool,cool,w
0,0,0,1,0,3,3,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,12000.0,31.980083333299998,0.0,6.3048
1,1,1,1,0,3,3,0,525.0,298.847619048,156895.0000002,3600.0,114.646120414,180567.63965205,12000.0,31.980083333299998,0.0,6.3048
2,2,1,1,0,1,3,9,525.0,298.847619048,156895.0000002,3600.0,114.646120414,60189.21321735,12000.0,31.980083333299998,151105.8937498425,6.3048
3,3,7,0,1,1,3,8,39.0,255.62913257,0.0,525.0,820.44,223980.12,12000.0,31.980083333299998,69844.5019999272,6.3048
4,4,1,0,3,1,3,3,525.0,298.847619048,0.0,12000.0,55.2916666667,29028.125000017506,12000.0,31.980083333299998,50368.6312499475,6.3048
5,5,3,1,3,0,3,3,12000.0,92.7291666667,3338250.0000012,12000.0,55.2916666667,0.0,12000.0,31.980083333299998,3453848.9999963995,6.3048
6,6,3,0,3,0,0,3,12000.0,92.7291666667,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,4633224.4917432,6.3048
7,7,3,0,3,0,0,3,12000.0,92.7291666667,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,4633224.4917432,6.3048
8,8,0,0,0,0,0,3,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0,6.3048
9,9,0,0,0,3,0,1,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0,6.3048
10,10,0,0,0,3,0,1,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0,6.3048
11,11,1,0,3,0,0,1,525.0,298.847619048,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,22522.619057085,6.3048
12,12,1,0,3,0,0,1,525.0,298.847619048,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,22522.619057085,6.3048
13,13,1,0,3,0,0,1,525.0,298.847619048,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,22522.619057085,6.3048
