e_BuildingSqm,e_BuildingElec,h_BuildingSqm,h_BuildingHeat,c_BuildingSqm,c_BuildingCool,c_e_BuildingSqm,c_e_BuildingElec,elec__0,c_h_BuildingSqm,c_h_BuildingHeat,heat__0,c_c_BuildingSqm,c_c_BuildingCool,cool__0
3,1,3,3,0,3,12000.0,92.7291666667,1420068.8975640514,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,1,3,3,0,3,12000.0,92.7291666667,1420068.8975640514,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,7,3,3,0,3,12000.0,92.7291666667,9940482.28294836,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,7,3,1,0,3,12000.0,92.7291666667,9940482.28294836,12000.0,55.2916666667,1990500.0000012,3600.0,42.9002267754,4633224.4917431995
3,7,3,3,0,3,12000.0,92.7291666667,9940482.28294836,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,7,3,3,0,3,12000.0,92.7291666667,9940482.28294836,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,7,3,3,0,3,12000.0,92.7291666667,9940482.28294836,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,3,3,3,0,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,3,3,3,1,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,525.0,125.188571429,13520365.714332
3,3,3,1,1,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,1990500.0000012,525.0,125.188571429,13520365.714332
3,3,3,1,1,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,1990500.0000012,525.0,125.188571429,13520365.714332
3,3,3,1,3,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,1990500.0000012,12000.0,31.9800833333,3453848.9999964
3,3,3,1,0,0,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,1990500.0000012,3600.0,42.9002267754,0.0
0,3,3,1,0,1,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
0,3,0,6,0,1,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,3,1,6,0,1,3600.0,85.4536528106,0.0,525.0,820.44,0.0,3600.0,42.9002267754,0.0
0,3,1,9,0,1,3600.0,85.4536528106,0.0,525.0,820.44,0.0,3600.0,42.9002267754,0.0
0,3,0,11,0,1,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,0,3,9,0,1,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
0,0,3,3,0,1,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
0,0,3,3,0,1,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
0,1,3,3,0,1,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
0,1,3,3,0,1,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
0,0,3,3,0,1,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
0,3,0,3,0,1,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,3,0,3,0,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,0,0,3,0,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,0,0,3,0,3,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,0,3,3,3,0,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,12000.0,31.9800833333,0.0
0,0,3,0,0,0,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
1,0,3,0,0,0,525.0,298.847619048,0.0,12000.0,55.2916666667,0.0,3600.0,42.9002267754,0.0
1,0,3,3,0,1,525.0,298.847619048,0.0,12000.0,55.2916666667,87084.3750000525,3600.0,42.9002267754,22522.619057085
1,0,3,3,0,1,525.0,298.847619048,0.0,12000.0,55.2916666667,87084.3750000525,3600.0,42.9002267754,22522.619057085
1,0,3,3,0,1,525.0,298.847619048,0.0,12000.0,55.2916666667,87084.3750000525,3600.0,42.9002267754,22522.619057085
1,0,3,3,0,1,525.0,298.847619048,0.0,12000.0,55.2916666667,87084.3750000525,3600.0,42.9002267754,22522.619057085
1,0,3,3,0,1,525.0,298.847619048,0.0,12000.0,55.2916666667,87084.3750000525,3600.0,42.9002267754,22522.619057085
3,0,3,0,3,1,12000.0,92.7291666667,0.0,12000.0,55.2916666667,0.0,12000.0,31.9800833333,1151282.9999988
0,6,3,0,3,1,3600.0,85.4536528106,0.0,12000.0,55.2916666667,0.0,12000.0,31.9800833333,0.0
3,1,3,0,3,1,12000.0,92.7291666667,1420068.8975640514,12000.0,55.2916666667,0.0,12000.0,31.9800833333,1151282.9999988
3,1,1,0,3,1,12000.0,92.7291666667,1420068.8975640514,525.0,820.44,0.0,12000.0,31.9800833333,1151282.9999988
3,0,1,0,3,1,12000.0,92.7291666667,0.0,525.0,820.44,0.0,12000.0,31.9800833333,1151282.9999988
3,0,1,0,3,1,12000.0,92.7291666667,0.0,525.0,820.44,0.0,12000.0,31.9800833333,1151282.9999988
3,0,1,1,3,1,12000.0,92.7291666667,0.0,525.0,820.44,29535840.0,12000.0,31.9800833333,1151282.9999988
3,0,1,1,0,1,12000.0,92.7291666667,0.0,525.0,820.44,29535840.0,3600.0,42.9002267754,1544408.1639144002
0,1,1,1,0,1,3600.0,85.4536528106,0.0,525.0,820.44,0.0,3600.0,42.9002267754,0.0
0,1,0,1,0,1,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
3,1,2,3,0,2,12000.0,92.7291666667,1420068.8975640514,11100.0,79.1610810811,8549396.756758798,3600.0,42.9002267754,3088816.3278288003
3,1,0,3,0,1,12000.0,92.7291666667,1420068.8975640514,3600.0,114.646120414,12381781.004711999,3600.0,42.9002267754,1544408.1639144002
3,1,0,3,0,1,12000.0,92.7291666667,1420068.8975640514,3600.0,114.646120414,12381781.004711999,3600.0,42.9002267754,1544408.1639144002
3,1,0,3,0,1,12000.0,92.7291666667,1420068.8975640514,3600.0,114.646120414,12381781.004711999,3600.0,42.9002267754,1544408.1639144002
3,1,0,3,1,3,12000.0,92.7291666667,1420068.8975640514,3600.0,114.646120414,12381781.004711999,525.0,125.188571429,13520365.714332
1,1,0,3,7,3,525.0,298.847619048,66742.06835423224,3600.0,114.646120414,180567.63965204998,39.0,275.699072559,434226.039280425
1,1,0,3,11,3,525.0,298.847619048,66742.06835423224,3600.0,114.646120414,180567.63965204998,36.0,16.1851851852,25491.666666690006
1,0,0,3,0,3,525.0,298.847619048,0.0,3600.0,114.646120414,180567.63965204998,3600.0,42.9002267754,67567.857171255
0,3,0,3,0,3,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,3,0,3,0,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,3,0,0,0,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,3600.0,42.9002267754,0.0
0,3,0,0,1,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,525.0,125.188571429,0.0
0,3,0,0,1,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,525.0,125.188571429,0.0
0,3,0,0,1,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,525.0,125.188571429,0.0
0,3,0,0,1,0,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,525.0,125.188571429,0.0
0,3,0,0,1,8,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,525.0,125.188571429,0.0
0,3,0,0,1,2,3600.0,85.4536528106,0.0,3600.0,114.646120414,0.0,525.0,125.188571429,0.0
7,3,3,0,1,3,39.0,255.62913257,89060.43376261383,12000.0,55.2916666667,0.0,525.0,125.188571429,102529.440000351
7,3,3,0,1,3,39.0,255.62913257,89060.43376261383,12000.0,55.2916666667,0.0,525.0,125.188571429,102529.440000351
7,3,3,0,4,3,39.0,255.62913257,89060.43376261383,12000.0,55.2916666667,0.0,4650.0,1.86064516129,1523.8683870965099
1,3,3,0,4,3,525.0,298.847619048,200226.20506269674,12000.0,55.2916666667,0.0,4650.0,1.86064516129,2930.5161290317496
3,3,3,0,4,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,0.0,4650.0,1.86064516129,200949.67741931998
3,3,3,3,5,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,105.0,9.64526077098,1041688.16326584
3,3,3,3,8,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,105.0,2.89944862155,313140.4511274
3,3,3,3,8,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,105.0,2.89944862155,313140.4511274
3,3,3,3,9,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,105.0,24.6870995671,2666206.7532467996
3,3,3,0,0,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,0.0,3600.0,42.9002267754,4633224.4917431995
3,3,3,3,0,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,3,3,3,0,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,3,3,3,3,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,12000.0,31.9800833333,3453848.9999964
3,3,3,3,0,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,3,3,3,0,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,3,3,3,0,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
3,3,3,3,0,3,12000.0,92.7291666667,4260206.692692155,12000.0,55.2916666667,5971500.0000036005,3600.0,42.9002267754,4633224.4917431995
