,index,e_BuildingSqm,elec,heat,cool,w,wf
0,0,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
1,1,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
2,2,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
3,3,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
4,4,105.0,260838.09933619265,0.0,121622.142908259,63.048,154.63214687804756
5,5,39.0,83421.88017269323,0.0,26191.6882499727,63.048,155.55493744557864
6,6,525.0,187549.5748279765,0.0,50368.6312499475,63.048,148.7598432664862
7,7,525.0,62516.524942658834,0.0,16789.543749982502,63.048,148.7598432664862
8,8,525.0,0.0,0.0,0.0,63.048,148.7598432664862
9,9,12000.0,0.0,0.0,0.0,63.048,0.0
10,10,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
11,11,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
12,12,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
13,13,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
14,14,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
15,15,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
16,16,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
17,17,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
18,18,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
19,19,12000.0,0.0,55510079.03056037,4506788.571444,63.048,0.0
20,20,12000.0,0.0,55510079.03056037,13520365.714332001,63.048,0.0
21,21,12000.0,0.0,55510079.03056037,3453848.9999963995,63.048,0.0
22,22,12000.0,3990486.428305042,55510079.03056037,3453848.9999963995,63.048,0.0
23,23,525.0,187549.5748279765,809521.9858623386,50368.6312499475,63.048,148.7598432664862
24,24,525.0,187549.5748279765,809521.9858623386,50368.6312499475,63.048,148.7598432664862
25,25,39.0,27807.293390897743,247883.96893683073,26191.6882499727,63.048,155.55493744557864
26,26,105.0,695568.2648965137,858059.8924736448,90663.5362499055,63.048,154.63214687804756
27,27,525.0,125033.04988531767,809521.9858623386,50368.6312499475,63.048,148.7598432664862
28,28,525.0,187549.5748279765,809521.9858623386,67567.857171255,63.048,148.7598432664862
29,29,525.0,187549.5748279765,54555.872216939024,67567.857171255,63.048,148.7598432664862
30,30,525.0,0.0,54555.872216939024,67567.857171255,63.048,148.7598432664862
31,31,12000.0,0.0,3740974.0948758186,0.0,63.048,0.0
32,32,12000.0,0.0,3740974.0948758186,0.0,63.048,0.0
33,33,12000.0,0.0,7756831.949598116,0.0,63.048,0.0
34,34,12000.0,0.0,0.0,0.0,63.048,0.0
35,35,12000.0,0.0,0.0,10810857.147400802,63.048,0.0
36,36,12000.0,3990486.428305042,0.0,3088816.327828801,63.048,0.0
37,37,12000.0,3990486.428305042,0.0,3088816.327828801,63.048,0.0
38,38,12000.0,0.0,0.0,3088816.327828801,63.048,0.0
39,39,12000.0,0.0,0.0,4633224.4917432,63.048,0.0
40,40,12000.0,0.0,0.0,13520365.714332001,63.048,0.0
41,41,12000.0,0.0,7756831.949598116,13520365.714332001,63.048,0.0
42,42,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
43,43,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
44,44,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
45,45,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
46,46,525.0,62516.524942658834,113120.4659316392,0.0,63.048,148.7598432664862
47,47,525.0,62516.524942658834,37706.82197721307,151105.8937498425,63.048,148.7598432664862
48,48,39.0,0.0,140317.1442161387,69844.5019999272,63.048,155.55493744557864
49,49,525.0,0.0,18185.290738979675,50368.6312499475,63.048,148.7598432664862
50,50,12000.0,1330162.1427683474,0.0,3453848.9999963995,63.048,0.0
51,51,12000.0,0.0,0.0,4633224.4917432,63.048,0.0
52,52,12000.0,0.0,0.0,4633224.4917432,63.048,0.0
53,53,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
54,54,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
55,55,3600.0,0.0,0.0,0.0,63.048,105.76619182469749
56,56,525.0,0.0,0.0,22522.619057085,63.048,148.7598432664862
57,57,525.0,0.0,0.0,22522.619057085,63.048,148.7598432664862
58,58,525.0,0.0,0.0,22522.619057085,63.048,148.7598432664862
