,wf,Electricity,Water
0,203.7538008165934,2667.016459758782,66.93293928326156
1,2834.45215702449,2645.8998409950823,301.4906662026104
2,695.86963608056,2038.3750346650068,189.23786601326083
3,636.9771576593878,4051.703480230215,291.08109814323865
4,149.7131789113721,3489.011098924942,281.9409099128736
5,119.94412826493505,2946.6725850794874,218.3951087185627
6,523.0678962429124,2312.5277002249913,298.01585023881074
7,701.0275546790326,3086.7815785777693,293.1741847884596
9,361.11650147400417,2151.1493183522934,298.83741356566344
10,411.3547162494971,3030.5789905294077,286.73276401530137
11,10.076736893866071,2923.1028530729213,293.30084949004373
13,228.11366635547137,2719.0077504817473,298.0000057656989
14,77.67436881301495,3104.060868426146,286.3772925631104
15,280.87473852901354,2873.8882628932383,186.57880188540142
16,1261.84072101364,2917.7003197595927,340.43424641289096
17,446.2881888192836,2537.6253000056963,-29.155758205244894
18,294.9905073418331,3114.781347990121,289.98739412478415
19,378.6002650452309,2854.3446002403552,288.331174494441
20,10.224413669109772,2961.3492450898634,297.62117361590214
23,43.32739449507358,3184.0915503385468,323.9266043808155
25,48.031666139500985,3306.6874421888037,205.747485971249
26,582.9488096017604,2364.40611485233,306.01176333675295
28,234.21250813948637,2928.626724731333,289.9449279966923
29,458.64705345454274,2386.564024733385,302.68669936964216
30,276.9578365694633,2525.0440723022252,290.31674648004014
31,559.1413261314382,2682.9799998056224,294.62643981397326
32,733.0336390582995,2491.696236544029,370.7311895621669
33,309.9374257207764,3564.159079115475,289.3513306948488
34,186.43552511346087,3040.380175580713,298.5763058918181
35,313.7743833859151,2988.7135255125872,297.71222993814234
36,155.30810809468534,2921.7740784372904,293.35217379606536
40,585.9548833507436,2381.0998312247,292.60287306946543
41,887.4837626959885,2689.4291220255927,294.46189359663487
42,347.1243085520283,2322.883331980095,186.97300619698024
43,153.21348726360685,2866.2435067719216,291.66168709407424
45,453.4114662453006,4021.573838081323,309.0832596518153
48,872.0296786280594,3199.7077557627417,316.9924223745294
49,1.0630694439451196,3242.8535162156304,311.93072407634037
50,443.4830025812711,2519.633060378213,298.4905140465036
51,74.9528878240335,3330.661945000269,283.31680852969237
53,164.3947730411829,3604.6780376819397,284.9438079871112
54,172.36180322934905,3136.606428749384,297.6123423867099
55,410.3769679534132,2978.958133834907,295.07808136750566
56,296.82933052864155,3416.280121472183,297.37154175548716
58,410.91546895760405,2491.0330514583793,366.9019963896525
61,402.7741537023247,2155.0288047668287,318.8598236170732
62,51.870899461112955,2964.395435968828,322.0492193522516
63,685.3479989979652,3244.231089756486,449.10078918067217
64,211.7816767273555,2945.0385006282927,285.5159090499997
65,160.55752489893075,2790.0820999781126,283.6662844851731
66,178.24779315972125,3104.6782520708784,295.7757498481778
67,145.51538061618854,3553.8451481839343,367.42039375089263
69,386.60920578706043,2943.2955548627065,293.50236867843734
70,147.1681839767607,2966.061910137197,283.75785825662587
71,156.1438171812359,3232.412509097284,302.5661214720157
