,index,w_dutyp,w_sex,w_ban,w_connectio,e_sqm,e_hhsize,e_edu,w_age,Water,Electricity,w,wf
0,0,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,149.59323391422862,hhsize_2,edu_master,age_50a54,183.878766212242,11024.533401898296,403.4970187777844,0.0
1,1,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,150.60741038942004,hhsize_4,edu_collage,age_55a59,828.2578401529518,10937.244525954646,403.4970187777844,5779.414002952006
2,2,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,130.09938199930636,hhsize_2,edu_master,age_40a44,519.875948909028,8425.944869231309,403.4970187777844,0.0
3,3,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,123.65860631007419,hhsize_7,edu_primary,age_75a79,799.660582180175,16748.355709970227,403.4970187777844,3033.480076196014
4,4,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,121.2067183654319,hhsize_6,edu_master,age_45a49,774.5505757656282,14422.377956816523,403.4970187777844,0.0
5,5,dutyp_Apartamento,sex_Homens,ban_2,connectio_Poço,103.51625694334696,hhsize_6,edu_master,age_40a44,599.9769854422102,12180.536126726778,403.4970187777844,0.0
6,6,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,84.88240130131932,hhsize_3,edu_master,age_45a49,818.7117948263893,9559.198174671676,403.4970187777844,0.0
7,7,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,46.63242719742002,hhsize_4,edu_primary,age_45a49,805.4107284313318,12759.698761091577,403.4970187777844,634.4519785927354
8,8,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,139.7287702262691,hhsize_1,edu_master,age_35a39,876.3382610919913,7777.506752087778,403.4970187777844,0.0
9,9,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,132.85774257752078,hhsize_2,edu_master,age_35a39,820.9688009062743,8892.115167069705,403.4970187777844,0.0
10,10,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,61.327680172119024,hhsize_4,edu_master,age_45a49,787.7147999825653,12527.37649440848,403.4970187777844,0.0
11,11,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,104.05821391473252,hhsize_5,edu_primary,age_35a39,805.758702826291,12083.10692008301,403.4970187777844,475.674224196096
12,12,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,122.18757129796192,hhsize_5,edu_master,age_30a34,810.1647229608791,11464.76442501083,403.4970187777844,0.0
13,13,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,91.77613493220905,hhsize_3,edu_master,age_35a39,818.6682667489091,11239.447606527903,403.4970187777844,0.0
14,14,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,97.48636620179235,hhsize_4,edu_master,age_50a54,786.7382456469497,12831.125432418436,403.4970187777844,0.0
15,15,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,51.78684191270439,hhsize_5,edu_primary,age_50a54,512.5709442828187,11879.670645323115,403.4970187777844,876.8356748337
16,16,dutyp_Apartamento,sex_Mulheres,ban_4,connectio_Outra,127.55002264006524,hhsize_4,edu_primary,age_30a34,935.2439901358297,12060.774696091772,403.4970187777844,2263.4308492532195
17,17,dutyp_Casa,sex_Mulheres,ban_no,connectio_Poço,70.02119235280597,hhsize_2,edu_master,age_45a49,-80.0969583014201,10489.674624634781,403.4970187777844,0.0
18,18,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,149.04132872911626,hhsize_4,edu_master,age_40a44,796.6559487714477,12875.440226429153,403.4970187777844,0.0
19,19,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,82.07788649110499,hhsize_4,edu_master,age_25a29,792.1059674697877,11798.883831682064,403.4970187777844,0.0
20,20,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,148.11268565344568,hhsize_5,edu_master,age_70a74,817.6275356970219,12241.204416913235,403.4970187777844,0.0
21,21,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,137.74956491486176,hhsize_5,edu_master,age_50a54,806.5767487215413,12040.130995940592,403.4970187777844,0.0
22,22,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,92.14169177103331,hhsize_1,edu_primary,age_35a39,999.2286297315736,10265.886104284446,403.4970187777844,0.0
23,23,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,97.05307098790972,hhsize_5,edu_master,age_60a64,889.8940490987942,13161.944885253666,403.4970187777844,0.0
24,24,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,47.4347000659819,hhsize_1,edu_master,age_40a44,788.9969747507297,8795.162037627237,403.4970187777844,0.0
25,25,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,160.05618576926452,hhsize_4,edu_master,age_55a59,565.2313237217259,13668.714350321348,403.4970187777844,0.0
