,index,c_w_age,w_dutyp,c_w_dutyp,w_urban,c_w_urban,w_sex,c_w_sex,w_ban,w_connectio,e_sqm,c_e_sqm,c_e_income,e_hhsize,c_e_hhsize,c_e_sex,c_e_urban,c_e_dutyp,e_edu,w_age,w_Intercept,c_w_ban,c_w_connectio,Water,e_cdd,e_income,e_Intercept,c_e_edu,Electricity,w
0,0,0.4740086143840721,1,-20.21552699183028,1,127.86184037153944,1,5.989657170418397,5,2,149.59323391422862,15.102577851599865,0.033635246957881955,1.7234876217203356,940.465412847314,-79.22002861881177,-3477.3893595265918,2205.0245025340773,2,52.57296237588338,367.537176956256,-124.911760486,151.172192043,66.93293928326156,6394.0,736.8758016092867,3329.17321052453,-625.98194077,2667.016459758782,403.4970187777844
1,1,0.4268515355114045,0,-19.361308758754834,1,127.49847290572173,1,7.560605846908936,0,2,150.60741038942004,15.229259446174307,0.03558398132915579,3.5785904475426054,933.1684735595711,-162.0595336617599,-3577.6170632046055,2165.509506454256,1,54.626019630289385,367.537176956256,1.0,151.172192043,301.4906662026104,6394.0,734.8794188168454,3329.17321052453,-705.469135987,2645.8998409950823,403.4970187777844
2,2,0.4305837548659877,0,-14.650245520183981,1,133.59670422434777,1,-0.13353240265564634,0,0,130.09938199930636,15.63913969730406,0.04009907964641631,1.5867528682376244,946.2936228266632,-312.93806891721414,-3297.6826712259553,1902.6335933792684,2,43.83723240314685,367.537176956256,1.0,1.0,189.23786601326083,6394.0,727.6912790016834,3329.17321052453,-625.98194077,2038.3750346650068,403.4970187777844
3,3,0.3752722315924589,1,-18.242098683859002,1,116.02695086957912,1,2.3572099189708,0,2,123.65860631007419,16.4405874185539,0.04191465860982968,6.7477845060286805,1008.8678450582944,-116.13832573465055,-3534.175560884829,1803.7760806184672,0,78.97455910197354,367.537176956256,1.0,151.172192043,291.08109814323865,6394.0,741.4438257455403,3329.17321052453,1.0,4051.703480230215,403.4970187777844
4,4,0.29782218082098083,1,-22.13858762288739,1,119.34662120237152,1,-6.9274582558327555,0,2,121.2067183654319,16.662696406524972,0.039441962469812734,5.808059423544821,1026.8057316716097,-437.53906195583437,-3688.795023528196,2065.166848436051,2,48.31218198744492,367.537176956256,1.0,151.172192043,281.9409099128736,6394.0,734.1523222288988,3329.17321052453,-625.98194077,3489.011098924942,403.4970187777844
5,5,0.2981471145963631,0,-16.712845627246107,1,124.57803304256291,0,-2.2303853466733607,1,1,103.51625694334696,16.478762682397694,0.03978411742196693,5.555562910238469,1013.5961542994884,-549.2921415142183,-3656.677138418283,1949.555073126699,2,43.48707388513328,367.537176956256,67.5373352024,27.358894639899997,218.3951087185627,6394.0,731.1184794152713,3329.17321052453,-625.98194077,2946.672585079487,403.4970187777844
6,6,0.4801250687283694,0,-11.225618073763917,1,126.93201910004177,0,-2.2840042830822496,0,2,84.88240130131932,15.80733998337148,0.0446954192213533,3.542916938005229,928.0771942387506,-108.83983972104376,-3574.9185021139074,2150.7721509366097,2,45.609396614281856,367.537176956256,1.0,151.172192043,298.01585023881074,6394.0,739.2695080820257,3329.17321052453,-625.98194077,2312.5277002249913,403.4970187777844
7,7,0.4146487708291026,1,-6.798631265269253,1,122.90543158270374,0,0.6605780903533536,0,2,46.63242719742002,16.394585056300198,0.04411818247370782,4.261885364718576,986.9502531597234,-234.46421307971727,-3722.4060006222016,1755.281291305104,0,46.840527304122105,367.537176956256,1.0,151.172192043,293.1741847884596,6394.0,744.8658200545697,3329.17321052453,1.0,3086.7815785777693,403.4970187777844
8,8,0.30324718517103216,0,-8.041223307599568,1,128.0108290636243,0,4.183026264620565,1,2,139.7287702262691,15.531903061520548,0.03873991235497993,0.5272875029790999,961.0086636817348,-155.5122650256561,-3398.769383108631,2163.6300272304024,2,35.97242222564558,367.537176956256,67.5373352024,151.172192043,318.9922187837921,6394.0,724.9689488353715,3329.17321052453,-625.98194077,1881.507159308122,403.4970187777844
9,9,0.5751470539709092,0,-23.311796360944648,1,130.29051928204345,0,-1.4129143168540068,0,2,132.85774257752078,15.28622940111542,0.045036586514925016,2.069806471611706,1025.959410686361,-38.56978740475489,-3766.4636169276673,1950.7899545026446,2,36.158962196521664,367.537176956256,1.0,151.172192043,298.83741356566344,6394.0,731.3630751753442,3329.17321052453,-625.98194077,2151.1493183522934,403.4970187777844
