,index,dutyp,sex,ban,connectio,sqm,hhsize,edu,age,w
0,0,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,149.59323391422862,hhsize_2,edu_master,age_50a54,403.4970187777844
1,1,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,150.60741038942004,hhsize_4,edu_collage,age_55a59,403.4970187777844
2,2,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,130.09938199930636,hhsize_2,edu_master,age_40a44,403.4970187777844
3,3,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,123.65860631007419,hhsize_7,edu_primary,age_75a79,403.4970187777844
4,4,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,121.2067183654319,hhsize_6,edu_master,age_45a49,403.4970187777844
5,5,dutyp_Apartamento,sex_Homens,ban_2,connectio_Poço,103.51625694334696,hhsize_6,edu_master,age_40a44,403.4970187777844
6,6,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,84.88240130131932,hhsize_3,edu_master,age_45a49,403.4970187777844
7,7,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,46.63242719742002,hhsize_4,edu_primary,age_45a49,403.4970187777844
8,8,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,139.7287702262691,hhsize_1,edu_master,age_35a39,403.4970187777844
9,9,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,132.85774257752078,hhsize_2,edu_master,age_35a39,403.4970187777844
10,10,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,61.327680172119024,hhsize_4,edu_master,age_45a49,403.4970187777844
11,11,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,104.05821391473252,hhsize_5,edu_primary,age_35a39,403.4970187777844
12,12,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,122.18757129796192,hhsize_5,edu_master,age_30a34,403.4970187777844
13,13,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,91.77613493220905,hhsize_3,edu_master,age_35a39,403.4970187777844
14,14,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,97.48636620179235,hhsize_4,edu_master,age_50a54,403.4970187777844
15,15,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,51.78684191270439,hhsize_5,edu_primary,age_50a54,403.4970187777844
16,16,dutyp_Apartamento,sex_Mulheres,ban_4,connectio_Outra,127.55002264006524,hhsize_4,edu_primary,age_30a34,403.4970187777844
17,17,dutyp_Casa,sex_Mulheres,ban_no,connectio_Poço,70.02119235280597,hhsize_2,edu_master,age_45a49,403.4970187777844
18,18,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,149.04132872911626,hhsize_4,edu_master,age_40a44,403.4970187777844
19,19,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,82.07788649110499,hhsize_4,edu_master,age_25a29,403.4970187777844
20,20,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,148.11268565344568,hhsize_5,edu_master,age_70a74,403.4970187777844
21,21,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,137.74956491486176,hhsize_5,edu_master,age_50a54,403.4970187777844
22,22,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,92.14169177103331,hhsize_1,edu_primary,age_35a39,403.4970187777844
23,23,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,97.05307098790972,hhsize_5,edu_master,age_60a64,403.4970187777844
24,24,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,47.4347000659819,hhsize_1,edu_master,age_40a44,403.4970187777844
25,25,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,160.05618576926452,hhsize_4,edu_master,age_55a59,403.4970187777844
26,26,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,114.26293313772881,hhsize_3,edu_master,age_75a79,403.4970187777844
27,27,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,112.15854123040073,hhsize_5,edu_master,age_55a59,403.4970187777844
28,28,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,111.3889181651596,hhsize_4,edu_master,age_35a39,403.4970187777844
29,29,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,69.95539259312113,hhsize_2,edu_master,age_45a49,403.4970187777844
30,30,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,130.50879150425786,hhsize_2,edu_master,age_55a59,403.4970187777844
31,31,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,66.71067529666355,hhsize_4,edu_primary,age_35a39,403.4970187777844
32,32,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,46.74482206899985,hhsize_4,edu_primary,age_30a34,403.4970187777844
33,33,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,139.89600574506431,hhsize_4,edu_primary,age_35a39,403.4970187777844
34,34,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,89.59378143183608,hhsize_4,edu_master,age_35a39,403.4970187777844
35,35,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,80.94345951337097,hhsize_3,edu_primary,age_60a64,403.4970187777844
36,36,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,98.92116207961249,hhsize_4,edu_master,age_60a64,403.4970187777844
37,37,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,89.59751227913941,hhsize_5,edu_primary,age_50a54,403.4970187777844
38,38,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,135.440540708902,hhsize_5,edu_master,age_55a59,403.4970187777844
39,39,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,98.52701140952318,hhsize_1,edu_master,age_25a29,403.4970187777844
40,40,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,83.88999981641864,hhsize_2,edu_master,age_20a24,403.4970187777844
