,Lighting,TV,Cooking,Refrigeration,AC,Urban,Income,Electricity
0,1,1,1,1,0,0,16000.0,110.0
1,1,1,0,1,0,0,4000.0,80.0
2,1,1,0,1,0,0,6000.0,47.0
3,1,1,0,0,0,0,6300.0,17.0
4,1,1,0,0,0,0,5000.0,17.0
5,1,1,0,1,0,0,10000.0,98.0
6,1,1,0,0,0,0,2500.0,37.0
7,1,1,1,1,1,0,13000.0,200.0
8,1,1,1,1,1,0,14500.0,150.0
9,1,1,1,1,0,0,19000.0,59.0
10,1,1,0,1,0,0,13200.0,49.0
11,1,1,0,0,0,0,5700.0,43.0
12,1,1,0,0,0,0,5800.0,18.0
13,1,0,0,0,0,0,7000.0,10.0
14,1,1,0,0,0,0,21350.0,25.0
15,1,1,1,1,0,0,22000.0,94.0
16,1,1,0,0,0,0,7800.0,33.0
17,1,1,0,0,0,0,16800.0,74.0
18,1,1,0,0,0,0,14900.0,43.0
19,1,1,0,1,0,0,8400.0,60.0
20,1,0,0,0,0,0,10522.0,23.0
21,1,0,0,0,0,0,10000.0,12.0
22,1,0,0,0,0,0,3300.0,10.0
23,1,1,0,0,0,0,3200.0,9.0
24,1,1,0,0,0,0,7000.0,12.0
25,1,1,0,0,0,0,7500.0,10.0
26,1,1,0,0,0,0,4150.0,12.0
27,1,1,1,0,0,1,4350.0,30.0
28,1,1,1,0,0,1,12700.0,88.0
29,1,1,0,0,0,1,6000.0,46.0
31,1,1,1,1,0,1,20996.0,89.0
32,1,1,0,1,0,1,6450.0,118.0
33,1,1,0,1,0,1,30000.0,255.0
34,1,0,0,1,0,1,3600.0,28.0
35,1,1,0,1,0,1,9300.0,69.0
36,1,1,0,1,0,0,9000.0,71.0
37,1,1,0,0,0,0,11000.0,40.0
38,1,1,0,1,0,0,6500.0,77.0
39,1,1,0,0,0,0,3000.0,60.0
40,1,1,0,1,0,0,7800.0,81.0
41,1,1,0,1,0,0,21000.0,76.0
42,1,1,0,1,0,0,33000.0,50.0
43,1,1,0,0,0,0,46320.0,20.0
44,1,1,0,1,0,0,30000.0,60.0
46,1,1,1,1,0,1,18982.0,133.0
47,1,0,0,1,0,1,5100.0,94.0
49,1,1,0,0,0,1,2916.0,18.0
50,1,0,0,0,0,1,2019.0,33.0
51,1,1,1,1,0,1,6849.0,112.0
52,1,1,0,1,0,1,11916.0,61.0
53,1,1,0,1,0,1,14925.0,100.0
54,1,1,0,1,0,0,6500.0,60.0
55,1,0,0,0,0,0,3950.0,30.0
56,1,1,0,1,0,0,6900.0,87.0
57,1,1,1,1,0,0,10000.0,132.0
58,1,0,0,0,0,0,1300.0,10.0
59,1,1,0,1,0,0,5500.0,60.0
60,1,1,0,1,0,0,10500.0,140.0
61,1,1,0,0,0,0,6580.0,67.0
63,1,1,0,0,0,0,5983.0,19.0
65,1,1,0,0,0,0,4133.0,27.0
66,1,0,0,0,0,0,5850.0,28.0
67,1,0,0,0,0,0,3750.0,10.0
68,1,1,0,0,0,0,6460.0,29.0
69,1,1,0,0,0,1,1148.0,17.0
70,1,1,1,1,0,1,18500.0,120.0
71,1,1,1,0,0,1,5180.0,11.0
73,1,1,0,0,0,1,7150.0,40.0
74,1,1,1,1,0,1,22800.0,200.0
75,1,0,1,1,0,1,4650.0,84.0
76,1,1,0,1,0,1,4300.0,48.0
77,1,0,0,0,0,0,4770.0,8.0
78,1,1,1,1,1,0,60543.0,244.0
79,1,1,0,1,1,0,18500.0,500.0
80,1,1,1,1,0,0,5550.0,260.0
82,1,1,0,0,0,0,4800.0,10.0
83,1,0,0,0,0,0,4500.0,20.0
84,1,1,0,1,0,0,15900.0,44.0
85,1,1,0,0,0,0,8200.0,18.0
86,1,1,1,0,0,0,6900.0,16.0
87,1,1,1,0,0,0,6550.0,13.0
88,1,1,1,0,0,0,7950.0,17.0
89,1,1,0,0,0,0,9500.0,19.0
90,1,1,0,0,0,0,6150.0,35.0
91,1,1,0,1,0,0,8200.0,125.0
92,1,1,1,1,0,0,23300.0,190.0
93,1,1,1,1,0,1,21000.0,138.0
94,1,1,1,1,0,1,7500.0,60.0
95,1,1,0,1,0,1,12500.0,118.0
96,1,1,0,0,0,1,5000.0,30.0
