,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Rural,Size_8,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,131373.800969451,85.2119931866723,94.3694402879854,34.3150826446281,39.172464339413885
1,1,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,343355.97092112625,117.70889145840543,224.5604341825729,34.3150826446281,38.270595733977586
2,2,sex_male,Urbanity_Rural,Size_4,age_36_45,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,87327.61037977018,36.5966591515211,59.12366282007452,34.3150826446281,66.26801681416448
3,3,sex_male,Urbanity_Rural,Size_4,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,194194.99416907507,72.92343110476801,137.27864986112726,34.3150826446281,26.81782928809526
4,4,sex_female,Urbanity_Rural,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,196356.21227351442,70.39336668051813,137.89624920584964,34.3150826446281,38.98664390770876
5,5,sex_male,Urbanity_Rural,Size_1,age_36_45,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_yes,35911.9723729474,68.70423387556791,19.591041314563785,34.3150826446281,56.25651471608094
6,6,sex_male,Urbanity_Rural,Size_4,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,59299.6721043397,33.09636514247401,35.50595725951457,34.3150826446281,67.73280869856369
7,7,sex_female,Urbanity_Rural,Size_7,age_56_65,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,428255.31726766226,124.68147729281787,286.1729294812845,34.3150826446281,18.729028455324226
8,8,sex_male,Urbanity_Rural,Size_7,age_46_55,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,88934.27339267274,26.911633093821273,57.35404999251037,34.3150826446281,37.28506286008236
9,9,sex_male,Urbanity_Rural,Size_6,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,93761.7879354894,29.720389416027256,61.954639475827214,34.3150826446281,7.1163609369200245
