,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,109967.53580732146,38.651455395907945,85.56579672542732,36.99485596707819,29.535933638121065
1,1,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,194054.06071293808,101.42127400912679,143.4144359540857,36.99485596707819,70.72566941305962
2,2,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,202556.06777279265,61.168719133725006,150.5937123956652,36.99485596707819,45.21612427034452
3,3,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,120596.14823185885,91.72114990851378,94.37029443801788,36.99485596707819,45.73483224262338
4,4,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,108918.1499883692,87.39280783100462,85.90284021627672,36.99485596707819,26.63190775755508
5,5,sex_male,Urbanity_Rural,Size_5,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,65279.11067982558,30.015455290871234,43.465413686995646,36.99485596707819,42.39128507665625
6,6,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_College,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,320014.60487939947,95.4270662477589,202.67939000443872,36.99485596707819,52.639242478434745
7,7,sex_male,Urbanity_Rural,Size_3,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,334783.5661381861,112.2825342902182,218.7013689848316,36.99485596707819,30.790295548610978
8,8,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,75139.33368799559,20.192935580091305,49.5431383938937,36.99485596707819,26.572238093987234
9,9,sex_female,Urbanity_Rural,Size_2,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,54340.44444013063,24.719445794013616,35.703375094563405,36.99485596707819,47.671164899571636
10,10,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,99846.4716253142,55.40485415462365,78.69290090914956,36.99485596707819,46.23627998635118
11,11,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,213404.5120445024,73.55797254142013,158.65910129372568,36.99485596707819,36.66792422472228
12,12,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,212306.21223695934,124.17601924472264,160.13449309681818,36.99485596707819,35.91054816285151
13,13,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,141138.19466056494,55.29384273130432,111.65028429554096,36.99485596707819,31.872793824345997
14,14,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_College,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,365765.9688033289,95.69820909303124,259.09925539492764,36.99485596707819,34.79396352390113
15,15,sex_male,Urbanity_Urban,Size_3,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,83425.66824203955,42.36358221201285,64.82939735344348,36.99485596707819,57.827745282243
16,16,sex_female,Urbanity_Rural,Size_2,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,321277.54076474725,111.32139907364515,209.70711364553156,36.99485596707819,76.31251081103254
17,17,sex_female,Urbanity_Rural,Size_6,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,114754.25463824555,51.90612662368574,79.8913870115344,36.99485596707819,49.04752626681652
18,18,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,96258.7233308267,44.639288101758574,67.22148679833343,36.99485596707819,33.19203441641029
19,19,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,188512.18718246726,56.77398445786393,125.95490687465876,36.99485596707819,12.660656324424968
20,20,sex_male,Urbanity_Urban,Size_10,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,157141.5132165796,104.39936993424122,113.88856076045944,36.99485596707819,40.045158880023436
21,21,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,431804.3526864155,142.2369571693039,304.4680430482918,36.99485596707819,32.17121378163753
22,22,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,Lighting_no,TV_yes,Cooking_no,Refrigeration_yes,AC_no,386511.2023328391,129.60249162412165,268.27612383843683,36.99485596707819,13.77963757465142
23,23,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,103627.76122634644,85.23519235588051,80.05852899135999,36.99485596707819,50.64689832348184
24,24,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,438844.7151317979,129.49406417599553,306.78853861115806,36.99485596707819,19.839487828760728
25,25,sex_female,Urbanity_Urban,Size_6,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,146819.97653854097,47.45376042910226,114.41435342511149,36.99485596707819,47.783640124173154
26,26,sex_male,Urbanity_Urban,Size_7,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,243527.3956653952,83.01063825090766,180.6498390757604,36.99485596707819,67.8199956799284
27,27,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,388933.3734961788,124.55837168897943,272.9885885057174,36.99485596707819,16.98792679390144
28,28,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,102738.62120684594,46.527407655049494,78.86383407556228,36.99485596707819,12.351207947174961
29,29,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,186517.80124539507,69.99177618850507,130.04524566868574,36.99485596707819,31.91595038226067
30,30,sex_male,Urbanity_Rural,Size_5,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,338288.00189386995,142.6501831764554,229.1868845924179,36.99485596707819,50.294344207413474
31,31,sex_female,Urbanity_Rural,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,111202.99593917665,46.310741429818144,77.99721738246026,36.99485596707819,35.283329785684586
32,32,sex_male,Urbanity_Rural,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,176147.33730941548,62.170641726185615,121.60422689661692,36.99485596707819,31.45229804192935
33,33,sex_female,Urbanity_Rural,Size_3,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,345007.1565326069,107.30483503689405,232.12609927168515,36.99485596707819,31.383264926474475
34,34,sex_female,Urbanity_Rural,Size_8,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,107798.05990356092,41.94063215731603,76.58650458256156,36.99485596707819,40.32028727596249
35,35,sex_male,Urbanity_Rural,Size_4,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,346503.4822655595,140.29390074394433,231.0945689152654,36.99485596707819,7.606665460322144
36,36,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,46680.48244894803,70.40334475722544,27.722083653649864,36.99485596707819,44.76713901900566
37,37,sex_male,Urbanity_Rural,Size_3,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,48405.69704573781,29.94119836030508,29.71161415646323,36.99485596707819,57.01069955680438
38,38,sex_male,Urbanity_Urban,Size_7,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,233773.7953939253,117.12122343936764,174.40002967469584,36.99485596707819,91.07761018398443
39,39,sex_male,Urbanity_Urban,Size_3,age_26_35,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,355398.4970100812,151.7308466081241,252.0998277980065,36.99485596707819,57.53486082974244
40,40,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,127920.53859682365,45.78193156143407,96.58703510962778,36.99485596707819,31.46449593343562
