,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,39.251775814789426,66933.38994780825,40.95829972366836,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Rural,0.0,1.0,1,26.21057516747691
2,47.86603213413533,103122.23196032886,82.1625394898589,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,2.0,31.0,1,14.286659048198205
3,122.69857815117088,360725.6778777279,249.36167071616464,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_female,Urbanity_Urban,3.0,81.0,1,49.419716675106756
4,64.52332760319021,177421.1207769482,123.43704626214344,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,4.0,21.0,1,58.80362408665483
5,84.42055564114735,217122.0457642764,160.36480943798097,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,5.0,81.0,1,38.3983850741474
6,32.88786890677141,82003.18033657147,67.11769848787924,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,6.0,31.0,1,56.70215331355301
7,84.62497653814431,214325.0419277871,154.4285596395749,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,7.0,81.0,1,49.25357629559616
8,123.9193710556739,211012.9099774749,152.47633726136894,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,8.0,81.0,1,65.17736123460911
9,169.00807748809774,376542.6334479126,266.50674588290235,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_4,sex_male,Urbanity_Urban,9.0,81.0,1,16.779564990974922
10,53.66332049618747,127627.85969218994,96.92177870447479,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,10.0,31.0,1,18.824322286728933
11,58.73131454494608,119709.55782477355,90.268986424337,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Urban,11.0,31.0,1,75.55898006141206
12,42.085479700014936,91182.44894469164,62.02831601903215,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_High_School,Size_4,sex_female,Urbanity_Rural,12.0,1.0,1,20.06693398459486
13,46.07342977729309,100420.22853210453,74.39207470735275,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Elementary_School,Size_5,sex_female,Urbanity_Urban,13.0,31.0,1,36.798145858145354
14,72.10396656801126,193183.13342360329,146.75160225471018,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_19_25,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,14.0,81.0,1,42.52701116300157
15,132.59157183131686,264315.5229538284,196.45931813714643,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_76_85,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,15.0,81.0,1,17.458080582139686
16,123.03922781395978,419788.0844911419,279.7511921629517,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_26_35,Education_Post_Graduate,Size_8,sex_female,Urbanity_Rural,16.0,51.0,1,38.80144291491931
17,75.50224662064062,222331.25668755715,165.16303342145412,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_36_45,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,17.0,81.0,1,40.69499729127718
19,72.91697227920055,213431.97506082145,156.77049976766037,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,19.0,81.0,1,33.68132511807558
20,90.59529230032541,345424.3802934067,231.12309505444023,AC_no,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_56_65,Education_College,Size_4,sex_male,Urbanity_Rural,20.0,51.0,1,3.0590026359299936
21,92.96437943754505,143570.738137287,110.61996256681309,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_High_School,Size_4,sex_female,Urbanity_Urban,21.0,31.0,1,5.919476108289535
22,59.85423429459414,61734.480682700996,40.20343581091452,AC_yes,Cooking_no,Lighting_no,Refrigeration_no,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Rural,22.0,1.0,1,49.042682818859035
23,154.00150614142711,374235.39616684313,269.73847220030257,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_66_75,Education_College,Size_3,sex_male,Urbanity_Urban,23.0,81.0,1,49.5745186434174
24,150.34236097558082,361292.0936583765,248.00485783770242,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_26_35,Education_College,Size_4,sex_male,Urbanity_Urban,24.0,81.0,1,36.49917201891162
25,43.32618050865193,95288.16205409868,70.98606286857178,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,25.0,31.0,1,48.60026065303545
26,75.78350259216181,101128.73395812864,78.5092784122443,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,26.0,31.0,1,60.05530897678763
27,160.01753823672982,363921.43720760185,254.2096273029937,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,27.0,81.0,1,64.9483578172609
28,121.07686094000557,217394.19946911206,167.44114493655718,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,28.0,81.0,1,33.38243673654318
29,101.07181218021805,142675.81237740134,112.62085209067811,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_5,sex_male,Urbanity_Urban,29.0,31.0,1,14.017676321742293
30,88.30859058490135,108496.12093586387,74.19189064319606,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_5,sex_male,Urbanity_Rural,30.0,1.0,1,6.5677241128009785
32,110.68685200681892,175870.76688247788,121.73014803583405,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,32.0,21.0,1,42.897156006473324
33,31.081341421809157,51326.91257322791,32.86324039228257,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,33.0,1.0,1,59.4006434624018
34,35.90272244071518,80284.61849633447,53.62859692554464,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Rural,34.0,1.0,1,46.56443837271248
35,99.26259719692624,173315.24667031414,120.53122581597263,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,35.0,21.0,1,85.86552515158556
36,74.75563817181988,96467.25858939037,65.52324563090049,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_56_65,Education_High_School,Size_3,sex_female,Urbanity_Rural,36.0,1.0,1,41.96753452745749
37,86.23013764646095,129066.10735851804,100.30109803231207,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_56_65,Education_Elementary_School,Size_6,sex_female,Urbanity_Urban,37.0,31.0,1,8.24018933944645
38,128.83032606761662,266958.3955245301,205.29932162995757,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_66_75,Education_Post_Secondary,Size_8,sex_female,Urbanity_Urban,38.0,81.0,1,19.91305832282403
39,62.43273120405394,162394.84370944885,129.36590220084602,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_8,sex_male,Urbanity_Urban,39.0,31.0,1,29.530400197552773
40,125.20779229735884,239887.41234045735,181.642445801041,AC_yes,Cooking_no,Lighting_no,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,40.0,81.0,1,37.020021755886546
41,82.37615681608837,138242.34665504575,108.16998897300293,AC_yes,Cooking_no,Lighting_yes,Refrigeration_no,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,41.0,31.0,1,31.243102292172274
