,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,96908.44104669476,79.16283526580506,77.11913010230106,40.85847107438016,57.97013856274544
1,1,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,78905.11584994079,82.79481788819953,62.88797998899354,40.85847107438016,0.0
2,2,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_no,192971.42346440343,71.8972534059459,144.81729483731223,40.85847107438016,8.616152285236181
3,3,sex_female,Urbanity_Urban,Size_1,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,77922.01280924317,84.26551109823205,62.85881190955031,40.85847107438016,43.267199055457326
4,4,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,370714.28604410397,151.7418533881873,261.11722501968217,40.85847107438016,23.054801536031572
5,5,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,181025.05978810962,103.92267947076448,125.05729703870294,40.85847107438016,16.113246819872604
6,6,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,188606.64283518287,103.60102810404527,132.35639035649157,40.85847107438016,0.0
7,7,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_no,342511.3772440445,107.72015953481564,230.42293694399655,40.85847107438016,0.0
8,8,sex_male,Urbanity_Urban,Size_4,age_76_85,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_no,389146.02902956924,122.33069646996596,275.0712520605068,40.85847107438016,14.687967601842898
9,9,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,AC_no,85948.80092434707,44.7655059415202,67.44803649789591,40.85847107438016,128.43171610512564
10,10,sex_male,Urbanity_Rural,Size_6,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,AC_yes,116940.51589771912,93.77372473809345,81.81670014047448,40.85847107438016,0.0
11,11,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,90321.74976306016,85.02648233363712,71.83581710715673,40.85847107438016,85.1619305464094
12,12,sex_male,Urbanity_Rural,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,172435.2339698035,103.0177606688668,121.4124888432034,40.85847107438016,27.0569950464751
13,13,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,119895.61545852652,93.94087662893871,92.23030255534714,40.85847107438016,57.84225175495161
14,14,sex_male,Urbanity_Urban,Size_1,age_66_75,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_no,113308.77168140766,51.609817804742136,91.35636394278522,40.85847107438016,0.0
15,15,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_no,351276.0278607945,114.83028083410505,245.9775059364296,40.85847107438016,60.65693618360837
16,16,sex_male,Urbanity_Rural,Size_1,age_66_75,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,80672.27081467304,74.81817162580725,52.90620108710857,40.85847107438016,0.0
17,17,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,234760.5314400423,121.89381471102678,172.30995481997851,40.85847107438016,0.687921860466271
18,18,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_no,120824.39064737356,55.51334382993904,93.5932732164703,40.85847107438016,80.10385136278018
19,19,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,346652.5854042373,151.9755816023182,240.55799606168927,40.85847107438016,11.550517962172083
20,20,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_no,229179.39901959558,87.13800237961573,163.27000807251403,40.85847107438016,10.080310479760143
21,21,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,396927.18549728795,169.41889788802226,281.7121070189444,40.85847107438016,0.0
22,22,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,208532.60367923023,118.30997261404957,155.20053939642364,40.85847107438016,73.10804282385561
23,23,sex_female,Urbanity_Rural,Size_4,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,106247.34116896527,83.41647378312923,72.55836880285106,40.85847107438016,0.0
24,24,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,349333.20098845474,152.36427012641118,235.05758792731282,40.85847107438016,23.216240487572673
25,25,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,383111.8491197512,167.9792789208956,269.53387090880415,40.85847107438016,27.756835089485367
26,26,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,111848.72167470492,89.83370369248331,87.06789796272939,40.85847107438016,10.217970714128922
27,27,sex_female,Urbanity_Urban,Size_4,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_no,385962.5620362682,131.94221537736405,272.0688682548544,40.85847107438016,0.0
28,28,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,372406.0377580412,162.19214317028067,259.2903659803963,40.85847107438016,58.296932553177406
29,29,sex_male,Urbanity_Urban,Size_7,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_no,126713.65607299842,54.99373809351663,98.48122206027588,40.85847107438016,37.285416968640234
30,30,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,AC_no,430404.54146767186,143.72649534829975,305.32257182932653,40.85847107438016,34.26125888841824
31,31,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,AC_no,196199.4350826745,82.94292433095238,150.99693704353828,40.85847107438016,0.0
32,32,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,202090.650173575,110.41376360581884,151.6415996719115,40.85847107438016,103.64814028754763
33,33,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,94803.1795749096,78.40568084846639,74.05821540042061,40.85847107438016,46.17531623983267
34,34,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,106361.67105714143,86.07416810020928,83.20290072376316,40.85847107438016,5.515937160675132
35,35,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_no,220422.68358230853,80.12584375601129,166.15890495897278,40.85847107438016,0.0
36,36,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_no,161666.51782984735,59.9477640326991,109.53275581790342,40.85847107438016,84.25547893114141
37,37,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,194896.58050115747,117.22677579683254,143.79462886260663,40.85847107438016,89.32947909574378
38,38,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,356107.96277749795,155.901324838911,249.31986920310055,40.85847107438016,91.73043920999005
39,39,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,112527.579657138,90.17620234452492,87.47183700716793,40.85847107438016,10.217970714128922
40,40,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,132275.69973701847,102.03389803081436,99.98748824905893,40.85847107438016,63.42518654054527
41,41,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,237784.8756628325,126.10890474638931,181.61198694527843,40.85847107438016,16.8795309965248
42,42,sex_female,Urbanity_Urban,Size_7,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,401094.81033656525,170.55726611824102,278.953956773821,40.85847107438016,77.42144039166406
43,43,sex_female,Urbanity_Rural,Size_6,age_26_35,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_no,350548.3048060407,113.90311487784962,234.1548375931823,40.85847107438016,31.445768676128562
44,44,sex_female,Urbanity_Urban,Size_3,age_26_35,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_no,198230.9312012961,75.42162556572083,151.1817600080505,40.85847107438016,96.07972994520078
45,45,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,99778.80728672561,83.16310632853298,70.12398819458352,40.85847107438016,0.0
46,46,sex_female,Urbanity_Rural,Size_4,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,110206.37602145749,78.7819937890022,76.12201898988512,40.85847107438016,0.0
47,47,sex_male,Urbanity_Rural,Size_5,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,108120.55171615767,83.82835350068538,75.00237046238085,40.85847107438016,1.1527024912766388
48,48,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,233885.53276313376,127.03946856722564,176.56456137569202,40.85847107438016,10.613716042449765
49,49,sex_male,Urbanity_Rural,Size_9,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,218384.52900130814,114.21284324567348,153.81286576892376,40.85847107438016,92.47181547911607
50,50,sex_male,Urbanity_Rural,Size_5,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,86631.71701492548,80.68522300164281,56.506370073657806,40.85847107438016,8.201214981107341
51,51,sex_male,Urbanity_Urban,Size_3,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,AC_yes,377276.66438507533,168.52701576102527,264.6144004243853,40.85847107438016,50.84104982332908
52,52,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_no,181181.44314085913,56.5276932866969,127.79627266420036,40.85847107438016,7.103497278468688
53,53,sex_male,Urbanity_Urban,Size_6,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,AC_yes,129072.80652305637,96.65222902125996,96.73055927839474,40.85847107438016,0.0
54,54,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_no,TV_yes,Cooking_no,AC_no,114906.88285588207,53.94354324681193,92.58749409961577,40.85847107438016,40.58252374261435
55,55,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_no,233548.80270589603,82.81923768496159,177.47334276152077,40.85847107438016,0.1545162977766494
56,56,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,231724.2587576393,128.49343415185322,171.91628590425273,40.85847107438016,0.687921860466271
57,57,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,AC_yes,224879.2544400545,121.73936154431372,166.39094090855176,40.85847107438016,25.355874975239065
