,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,79.16283526580506,96908.44104669476,77.11913010230106,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,0.0,31.0,1,46.97013856274544
2,71.8972534059459,192971.42346440343,144.81729483731223,AC_no,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,2.0,81.0,1,8.616152285236183
3,84.26551109823205,77922.01280924317,62.85881190955031,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_1,sex_female,Urbanity_Urban,3.0,31.0,1,34.267199055457326
4,151.7418533881873,370714.28604410397,261.11722501968217,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,4.0,81.0,1,14.054801536031569
5,103.92267947076448,181025.05978810962,125.05729703870294,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,5.0,51.0,1,10.113246819872607
8,122.33069646996596,389146.0290295693,275.0712520605068,AC_no,Cooking_no,Lighting_yes,TV_yes,age_76_85,Education_College,Size_4,sex_male,Urbanity_Urban,8.0,81.0,1,6.6879676018428995
9,44.7655059415202,85948.80092434707,67.44803649789591,AC_no,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,9.0,31.0,1,107.43171610512564
11,85.02648233363712,90321.74976306016,71.83581710715673,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,11.0,31.0,1,63.16193054640941
12,103.0177606688668,172435.2339698035,121.4124888432034,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,12.0,21.0,1,25.0569950464751
13,93.94087662893871,119895.61545852652,92.23030255534714,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Urban,13.0,31.0,1,49.84225175495161
15,114.83028083410505,351276.0278607945,245.9775059364296,AC_no,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,15.0,81.0,1,37.65693618360837
17,121.89381471102678,234760.5314400423,172.30995481997851,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,17.0,81.0,1,0.687921860466271
18,55.51334382993904,120824.39064737356,93.5932732164703,AC_no,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,18.0,31.0,1,60.10385136278019
19,151.9755816023182,346652.5854042373,240.55799606168927,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,19.0,81.0,1,6.550517962172087
