,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,97491.98536783534,78.39551484608899,74.23935981333368,42.298947368421054,33.778451759657294
1,1,sex_female,Urbanity_Urban,Size_5,age_36_45,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,218037.08110602156,119.80580849855758,163.88903081758878,42.298947368421054,46.55098001901413
2,2,sex_male,Urbanity_Rural,Size_3,age_56_65,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,82784.5047128327,49.03138484124674,55.93145543650245,42.298947368421054,34.240741788040964
3,3,sex_female,Urbanity_Rural,Size_3,age_56_65,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,90974.4103536474,75.13581311942978,62.6724856547128,42.298947368421054,38.794898724986794
4,4,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,357830.18740543514,163.9497074936093,259.4654824323933,42.298947368421054,99.52080252776025
5,5,sex_female,Urbanity_Urban,Size_6,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,230274.7432915824,125.02859523667306,169.81713078016892,42.298947368421054,0.0
6,6,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,103015.99332963816,50.00129728737362,78.82445458582409,42.298947368421054,25.058680927266337
7,7,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,365540.7858382647,122.22712587373688,257.61636779763813,42.298947368421054,35.82261082645553
8,8,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,351817.87638120377,158.84815668795568,247.45408375751995,42.298947368421054,127.00136336016122
9,9,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Elementary_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,83856.42466908968,78.39772175335,68.51388063856521,42.298947368421054,102.98206920790419
10,10,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,350861.82395318587,107.70477882631177,254.36945461634198,42.298947368421054,97.4515579390248
11,11,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,99934.40871847256,83.57614519825837,76.83553676762386,42.298947368421054,132.5351083435711
12,12,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,159179.46433978813,61.623247854927385,106.000288259006,42.298947368421054,104.08482650849075
13,13,sex_female,Urbanity_Rural,Size_6,age_26_35,Education_Elementary_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,69381.59494130866,76.89856914828802,48.6275713329141,42.298947368421054,23.30443644353607
