,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,78.39551484608899,97491.98536783534,74.23935981333368,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,0.0,31.0,1,24.778451759657287
1,119.80580849855758,218037.0811060216,163.88903081758878,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,1.0,81.0,1,26.550980019014126
2,49.03138484124674,82784.5047128327,55.93145543650245,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Rural,2.0,1.0,1,34.240741788040964
3,75.13581311942978,90974.4103536474,62.6724856547128,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_3,sex_female,Urbanity_Rural,3.0,1.0,1,38.794898724986794
4,163.9497074936093,357830.18740543514,259.4654824323933,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,4.0,81.0,1,57.52080252776024
6,50.00129728737362,103015.99332963816,78.82445458582409,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,6.0,31.0,1,16.058680927266334
7,122.22712587373688,365540.7858382647,257.61636779763813,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,7.0,81.0,1,16.82261082645553
8,158.84815668795568,351817.87638120377,247.45408375751995,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,8.0,81.0,1,69.00136336016122
9,78.39772175335,83856.42466908968,68.51388063856521,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_2,sex_female,Urbanity_Urban,9.0,31.0,1,79.9820692079042
10,107.70477882631177,350861.82395318587,254.369454616342,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,10.0,81.0,1,58.451557939024795
11,83.57614519825837,99934.40871847256,76.83553676762386,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,11.0,31.0,1,104.5351083435711
12,61.623247854927385,159179.46433978813,106.000288259006,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,12.0,21.0,1,93.08482650849078
13,76.89856914828802,69381.59494130866,48.6275713329141,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_Elementary_School,Size_6,sex_female,Urbanity_Rural,13.0,1.0,1,23.304436443536073
14,77.9272305149197,100666.11455050859,67.78431841655069,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_6,sex_male,Urbanity_Rural,14.0,1.0,1,17.966597097114178
15,155.203012259293,373700.0275448528,261.26568248536944,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_5,sex_female,Urbanity_Urban,15.0,81.0,1,26.95143046923441
17,158.07102917284368,368116.66265719867,256.07058394928765,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,17.0,81.0,1,15.35916938206957
18,164.80150297660413,381305.8555346335,274.89295706342074,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_6,sex_female,Urbanity_Urban,18.0,81.0,1,6.54846613552872
20,35.86058841138581,76827.71879388677,49.80897189485731,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_High_School,Size_4,sex_male,Urbanity_Rural,20.0,1.0,1,49.78279409790772
21,109.18693322133049,187475.997678842,128.70146176068323,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_Post_Secondary,Size_6,sex_female,Urbanity_Rural,21.0,51.0,1,11.927631661382211
