,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_Cooking,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_4,age_26_35,Education_Elementary_School,Lighting_yes,Cooking_no,AC_yes,91333.04892697236,89.72017555576248,68.94374298446364,43.38682252922423,31.397801042392263
1,1,sex_female,Urbanity_Rural,Size_7,age_26_35,Education_High_School,Lighting_yes,Cooking_no,AC_yes,113286.25966331696,90.78260467037904,78.51960584371598,43.38682252922423,82.68361087447951
2,2,sex_female,Urbanity_Rural,Size_2,age_26_35,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,159096.76296309102,101.22553563531345,107.39715810340662,43.38682252922423,77.76392697384509
3,3,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_High_School,Lighting_yes,Cooking_no,AC_yes,80572.17476609958,81.8053261474122,53.503322370272855,43.38682252922423,65.59511164781689
4,4,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Graduate,Lighting_yes,Cooking_no,AC_yes,406754.0156732051,176.5046037404908,280.78886106839815,43.38682252922423,95.98189552196905
5,5,sex_male,Urbanity_Urban,Size_5,age_26_35,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,217011.0177806388,128.01647138198874,163.77783546405325,43.38682252922423,39.67697389370905
6,6,sex_male,Urbanity_Urban,Size_4,age_26_35,Education_College,Lighting_yes,Cooking_no,AC_no,363663.43340761017,119.98831196082253,253.19907880664374,43.38682252922423,47.09681889247489
7,7,sex_female,Urbanity_Urban,Size_2,age_26_35,Education_High_School,Lighting_yes,Cooking_no,AC_yes,111396.03495929748,84.25473244549319,85.59156838611126,43.38682252922423,86.93219835699517
8,8,sex_male,Urbanity_Rural,Size_2,age_26_35,Education_High_School,Lighting_yes,Cooking_yes,AC_yes,66897.53925069563,75.10505612877995,42.28057648856269,43.38682252922423,80.3539485966603
9,9,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Elementary_School,Lighting_yes,Cooking_no,AC_yes,89775.8623353971,84.00822707626845,71.17051521987605,43.38682252922423,27.716740537540783
10,10,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_Post_Graduate,Lighting_yes,Cooking_no,AC_yes,416956.58976734546,179.87395675472325,285.9428170494041,43.38682252922423,35.03463311580704
11,11,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,Cooking_no,AC_yes,365308.398964304,156.44374567739553,259.61324455211843,43.38682252922423,99.18393502780908
12,12,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,Cooking_no,AC_yes,94850.43402079881,86.73439400326026,74.29078509352915,43.38682252922423,82.93907071353368
13,13,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_yes,AC_yes,184041.57247660548,114.05136897526334,131.0974491376362,43.38682252922423,13.723980082720143
14,14,sex_male,Urbanity_Rural,Size_4,age_66_75,Education_High_School,Lighting_yes,Cooking_no,AC_yes,109248.69193682543,81.12676202456909,75.05091391617104,43.38682252922423,0.0
15,15,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,205020.23893437267,115.95729569594671,153.55061583765698,43.38682252922423,33.65843275480305
16,16,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Elementary_School,Lighting_yes,Cooking_no,AC_yes,91419.34799333324,87.32323744156294,71.30624333702838,43.38682252922423,61.90083823653166
17,17,sex_female,Urbanity_Urban,Size_1,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,194774.80173977345,116.43301028990767,147.53336579236728,43.38682252922423,7.178724417763987
18,18,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Lighting_yes,Cooking_no,AC_yes,128507.18383427196,93.67967343265312,98.88176315495886,43.38682252922423,24.23199673230314
19,19,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_College,Lighting_yes,Cooking_no,AC_yes,339366.3027207347,147.6125999963815,222.841128885539,43.38682252922423,25.366897446166202
20,20,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Lighting_yes,Cooking_no,AC_yes,135424.6081931321,98.57181594799349,107.27072553289685,43.38682252922423,23.293315530979932
21,21,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Elementary_School,Lighting_yes,Cooking_no,AC_yes,99732.61280377088,82.61336904625831,76.59774787936563,43.38682252922423,47.816291813219586
22,22,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,Cooking_yes,AC_yes,223959.34343243483,127.64991001634212,165.3996534466716,43.38682252922423,0.0
23,23,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,232771.7314670198,131.140807078686,173.33685632135402,43.38682252922423,0.0
24,24,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,Cooking_no,AC_yes,101373.76081705342,95.86515973333763,75.50881411589302,43.38682252922423,15.299218827115956
25,25,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,219715.5651207731,119.8509421008963,164.7262735260345,43.38682252922423,47.20041916613066
26,26,sex_male,Urbanity_Urban,Size_7,age_36_45,Education_College,Lighting_yes,Cooking_no,AC_yes,393287.0928896426,165.9248996883208,278.078401424928,43.38682252922423,104.63500945253772
27,27,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_College,Lighting_yes,Cooking_no,AC_yes,318685.75107854296,142.47599741897517,212.20365958261618,43.38682252922423,96.52922554460304
28,28,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_Elementary_School,Lighting_yes,Cooking_no,AC_yes,49093.53160381188,65.68759183258915,30.063222150442638,43.38682252922423,80.28436123032765
29,29,sex_male,Urbanity_Urban,Size_3,age_19_25,Education_Elementary_School,Lighting_yes,Cooking_no,AC_yes,77912.27922165299,90.59078748795281,61.4776618442066,43.38682252922423,162.5403514493718
30,30,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Graduate,Lighting_yes,Cooking_no,AC_yes,411065.8562055015,171.51947484524868,286.4381996833149,43.38682252922423,72.3598680342711
31,31,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,206703.5077958664,115.81920744944522,157.16048770859612,43.38682252922423,67.84253045379391
32,32,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_College,Lighting_yes,Cooking_no,AC_no,319843.7876064998,105.41857120297684,213.66447882007662,43.38682252922423,95.98337908041024
33,33,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,210445.21970525515,122.15840159922891,159.16321841638484,43.38682252922423,53.75798403048184
34,34,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,Lighting_yes,Cooking_no,AC_yes,387130.57167126064,161.11994378537702,271.3106656658371,43.38682252922423,0.0
35,35,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,Cooking_no,AC_yes,123884.0092227654,99.27753921131209,93.3239417228282,43.38682252922423,91.87184861872086
36,36,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,Cooking_no,AC_yes,205006.41625363234,118.52569228403509,156.79163554496003,43.38682252922423,33.65843275480305
