,Electricity,Income,Water,e_Cooking,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,87.52379494169537,98365.14797714713,74.14285513719842,Cooking_no,TV_yes,age_36_45,Education_High_School,Size_1,sex_male,Urbanity_Urban,0.0,31.0,1,18.216844045937442
1,82.50776359827115,103898.91570170976,81.30844657879851,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_1,sex_male,Urbanity_Urban,1.0,31.0,1,0.8759114055606324
2,155.80297326050174,359674.1589059537,254.62424290534454,Cooking_no,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,2.0,81.0,1,86.96569445074428
3,90.42563764710242,172191.49353242485,120.55360121578337,Cooking_no,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,3.0,21.0,1,120.94292631614414
4,165.10559544350534,357770.74130421353,244.803486853975,Cooking_yes,TV_yes,age_46_55,Education_College,Size_2,sex_female,Urbanity_Urban,4.0,81.0,1,47.118447151399224
5,127.54346791377964,204966.9280105601,150.92556382526197,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,5.0,81.0,1,48.04549704592392
6,114.48060509536543,199548.4942619913,147.50664012470622,Cooking_no,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,6.0,81.0,1,93.892744345269
7,82.69065037135209,84380.14967665036,66.74393308216189,Cooking_no,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_female,Urbanity_Urban,7.0,31.0,1,76.22821313831457
8,98.70595451762593,134363.78214554698,104.80713360794692,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Urban,8.0,31.0,1,19.549608490568858
10,73.13963012111728,59564.26426331452,36.17658729077274,Cooking_no,TV_yes,age_66_75,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,10.0,1.0,1,34.10414072710947
11,95.06959395905923,113091.3772421887,88.49391362957869,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_1,sex_female,Urbanity_Urban,11.0,31.0,1,1.8770061047854605
12,91.33316908102665,107962.53941295666,80.6950733023474,Cooking_no,TV_yes,age_46_55,Education_High_School,Size_1,sex_male,Urbanity_Urban,12.0,31.0,1,0.8759114055606324
14,114.63759170457577,198253.12989147785,146.7723378284906,Cooking_no,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,14.0,81.0,1,61.681505904607405
16,139.87327603915926,326543.9201548964,218.338704658416,Cooking_no,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,16.0,51.0,1,111.01478172239456
17,78.1379183567048,92216.2847617674,63.10125352735727,Cooking_no,TV_yes,age_36_45,Education_High_School,Size_4,sex_male,Urbanity_Rural,17.0,1.0,1,46.93853370337114
18,108.53420578427065,177588.73759822728,126.78185612432726,Cooking_no,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_female,Urbanity_Rural,18.0,21.0,1,5.8653265923079685
19,129.43183264787913,223396.8483319936,166.0945791008872,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,19.0,81.0,1,21.94540313174459
20,152.34387499057362,325806.2664749164,216.6867650213849,Cooking_no,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Rural,20.0,51.0,1,8.937181998558387
21,89.31840026551416,90248.35227147883,68.72138791153453,Cooking_no,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,21.0,31.0,1,97.09742423937452
25,121.87382248403046,208948.62295830867,160.91335857826653,Cooking_no,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,25.0,81.0,1,5.816239320657655
26,162.2576331681859,355658.202180703,252.4448920742781,Cooking_yes,TV_yes,age_36_45,Education_College,Size_2,sex_female,Urbanity_Urban,26.0,81.0,1,65.45937979177602
