,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,372842.9923516343,157.34890235521527,272.28607462124967,45.64818763326226,13.52015006157639
1,1,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,360660.4654417663,163.8970941533589,249.79509072434877,45.64818763326226,127.9984056895147
2,2,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,215143.29700565047,123.61913542316644,159.93956735725217,45.64818763326226,49.40628518444649
3,3,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_College,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,361262.27558350354,157.23757438048276,255.23590042893173,45.64818763326226,53.10320643748126
4,4,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_College,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,369515.7064423496,162.04761864169882,260.6079388351374,45.64818763326226,51.314427070188025
5,5,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_College,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,343882.96552884905,149.567078509923,231.9467814344761,45.64818763326226,0.0
6,6,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_High_School,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,128731.57768644234,92.55126342533428,101.03762926237478,45.64818763326226,15.213640962382957
7,7,sex_male,Urbanity_Urban,Size_7,age_46_55,Education_Elementary_School,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,123336.42158940775,100.7098435934989,94.61072873058954,45.64818763326226,89.85668760730273
8,8,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_Post_Secondary,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,231403.79660451398,129.5656868729088,173.19549276302018,45.64818763326226,26.16868923482985
9,9,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,107488.71376301312,91.57756568217778,83.30545768803394,45.64818763326226,9.729501143287436
