,Electricity,Income,Water,e_AC,e_Cooking,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,157.34890235521527,372842.9923516343,272.28607462124967,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,0.0,81.0,1,6.520150061576389
1,163.8970941533589,360660.4654417663,249.79509072434882,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,1.0,81.0,1,90.9984056895147
2,123.61913542316644,215143.29700565047,159.93956735725217,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,2.0,81.0,1,31.40628518444649
3,157.23757438048276,361262.27558350354,255.23590042893173,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_female,Urbanity_Urban,3.0,81.0,1,45.10320643748126
4,162.04761864169882,369515.7064423496,260.6079388351374,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,4.0,81.0,1,32.314427070188025
6,92.55126342533428,128731.57768644234,101.03762926237478,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,6.0,31.0,1,13.213640962382955
7,100.7098435934989,123336.42158940775,94.61072873058954,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_7,sex_male,Urbanity_Urban,7.0,31.0,1,76.85668760730275
8,129.5656868729088,231403.79660451398,173.19549276302018,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,8.0,81.0,1,17.16868923482985
9,91.57756568217778,107488.71376301312,83.30545768803394,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,9.0,31.0,1,8.729501143287436
10,105.58906196174135,177158.14098508173,121.29166375417688,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,10.0,21.0,1,42.79513124746129
11,105.45753211214036,186752.6426711916,132.90989995049912,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,11.0,51.0,1,46.15554113242725
12,76.98868510535902,95018.00803542127,63.515622163434,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_7,sex_male,Urbanity_Rural,12.0,1.0,1,93.38578591975435
13,96.66864709069836,171166.33879704613,120.63108930021532,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,13.0,21.0,1,129.59970949311602
14,123.70948558508712,192245.6494116195,147.9392767215437,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_1,sex_female,Urbanity_Urban,14.0,81.0,1,19.569627739924304
16,161.85667481606276,366626.274801498,259.4191015957906,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,16.0,81.0,1,65.34438093033991
17,105.73693063500471,171196.82599444894,120.31740827462171,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Rural,17.0,21.0,1,53.704510241082545
18,127.46402135089458,239324.53720914305,178.57815340678368,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,18.0,81.0,1,57.739194639850126
20,122.85366414652826,187895.77347206863,139.35762037347703,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,20.0,81.0,1,21.549975116815524
21,172.5373471851624,379398.34092198656,264.412833443808,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_5,sex_female,Urbanity_Urban,21.0,81.0,1,19.21945421557028
22,164.74100066827387,356412.05253855186,241.88333882028493,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,22.0,81.0,1,42.08355381437247
24,162.85018557265067,369495.2782940846,265.5383302077252,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,24.0,81.0,1,38.314427070188025
25,163.65319315509873,357932.73453724396,248.44313642725285,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_female,Urbanity_Urban,25.0,81.0,1,57.77688381976486
26,94.56705926890444,99967.67525854547,78.05027331013706,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,26.0,31.0,1,47.60038587038736
27,148.71439422020126,332001.4260897819,224.87790344824947,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Rural,27.0,51.0,1,43.84352538263964
28,168.3786834564251,380182.6668770117,267.226492985553,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,28.0,81.0,1,13.62238455177497
