,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,122.85505052299999,199004.605904,151.97505061200002,AC_yes,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,0.0,1.0,1,10.445411789769235
1,112.375646268,186753.999038,137.568032057,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,1.0,1.0,1,22.957150201152814
2,112.816900671,207510.533699,136.254713225,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Graduate,Size_4,sex_male,Urbanity_Rural,2.0,1.0,1,20.467927383183607
3,131.647769484,246619.461035,183.355289825,AC_yes,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,3.0,1.0,1,18.956231603595175
5,129.018809092,254010.232855,178.045412749,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,5.0,1.0,1,50.44668706475835
6,106.756645035,184289.088711,136.94912731899998,AC_yes,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,6.0,1.0,1,69.8216145057479
7,125.588229846,238458.01545700003,165.198742174,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,7.0,1.0,1,43.22672066030721
8,111.764306616,208168.197303,133.79042763200002,AC_yes,Cooking_no,Lighting_yes,age_66_75,Education_Post_Graduate,Size_2,sex_male,Urbanity_Rural,8.0,1.0,1,23.42304384523996
9,85.4643032143,124295.354132,86.23099634809998,AC_yes,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_2,sex_male,Urbanity_Rural,9.0,1.0,1,9.830898581365654
11,101.722689269,151128.03863,103.065584394,AC_yes,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,11.0,1.0,1,65.54249662264877
