,Electricity,Income,Water,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
3,101.04579007864841,164446.9776657181,116.2069739914617,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,3.0,21.0,1,125.94701714254586
4,160.30339664123287,363100.99827432376,262.3136783906908,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,4.0,81.0,1,20.08953608338313
5,90.0118133146942,97420.73389780047,64.0996868707689,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Rural,5.0,1.0,1,6.4354894871531965
6,91.0813542750995,97164.1119210536,65.00716892243405,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Rural,6.0,1.0,1,6.4354894871531965
7,81.79904249517318,90682.00451465373,69.14901219496221,Cooking_yes,Lighting_yes,TV_yes,age_26_35,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,7.0,31.0,1,29.375760849374146
8,118.39714667322352,196257.11021914336,154.0528712924189,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,8.0,81.0,1,82.96325979977459
9,107.76984402138037,200126.54950454488,148.40996253496132,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,9.0,81.0,1,83.96325979977459
10,165.26944806496098,377751.6183940527,261.0865887427798,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_female,Urbanity_Urban,10.0,81.0,1,7.453080827156153
11,169.167093287531,373083.2354426977,256.82113216031445,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_female,Urbanity_Urban,11.0,81.0,1,9.453080827156153
12,112.85407319611721,207407.6517394254,156.20082099373013,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,12.0,81.0,1,12.944557223295089
13,162.303812901412,353546.37413840217,244.73061789526864,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,13.0,81.0,1,31.319139008695743
14,160.85410171683532,375311.42986745626,266.047408302856,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_female,Urbanity_Urban,14.0,81.0,1,9.453080827156153
15,178.13425168329198,373029.55175620725,271.16407122195284,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_female,Urbanity_Urban,15.0,81.0,1,4.779695405816949
16,171.39311128277149,382865.447516688,264.7872687142896,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_7,sex_male,Urbanity_Urban,16.0,81.0,1,27.37772815797718
18,111.88705480995165,196683.83644622352,145.99989496319557,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,18.0,81.0,1,90.49043537086948
19,109.95844099108344,204913.9549725739,145.5834490248351,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,19.0,81.0,1,27.47173279438981
24,176.44627404753732,391584.3884412049,279.09235916478616,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_7,sex_female,Urbanity_Urban,24.0,81.0,1,22.592795435619927
26,164.00899780100602,363499.57385054854,250.80462003622705,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,26.0,81.0,1,10.888975090949042
27,166.66207431620143,354018.2970632485,254.46029469981568,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,27.0,81.0,1,19.118578016261807
28,99.22875968732731,101887.42626272928,79.71336090145938,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,28.0,31.0,1,8.395896264784458
29,138.62167087722636,238330.52825674298,182.60220227601863,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,29.0,81.0,1,14.0687072166489
30,109.28101527176592,162913.22313551896,126.28099085426314,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_8,sex_female,Urbanity_Urban,30.0,31.0,1,7.503696092422059
31,171.11431627863644,420769.8640836767,299.40032103087367,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_10,sex_female,Urbanity_Urban,31.0,81.0,1,274.23429698159583
33,168.75920218234322,362272.7173868958,255.08560777195515,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_College,Size_2,sex_male,Urbanity_Urban,33.0,81.0,1,32.84982164117415
34,184.5805942444122,411645.98771600006,284.374990028426,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,34.0,81.0,1,27.705100324563617
36,109.19309230319357,182482.11491840886,130.5312589488192,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,36.0,51.0,1,27.266800891354386
37,92.46281761690877,83391.16428246122,63.30737970675444,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,37.0,31.0,1,100.67338495996643
38,127.7325035875192,194651.39106956398,147.01837802117154,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,38.0,81.0,1,19.121665368385514
39,128.36436118916635,207001.97778280155,158.93126511284981,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,39.0,81.0,1,6.892062443072906
40,160.09368372886044,362711.1287191234,255.15453713373157,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,40.0,81.0,1,14.94146987117107
41,172.09980258394347,408680.1104444511,282.63665810030614,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_3,sex_female,Urbanity_Urban,41.0,81.0,1,81.31709183064008
42,126.40007103804821,218537.16950216566,164.69763205901668,Cooking_yes,Lighting_yes,TV_yes,age_76_85,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,42.0,81.0,1,31.170613165419617
43,150.50597519489392,344731.4659773489,241.818262936522,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,43.0,81.0,1,83.54454417757408
44,83.24910294836678,101167.85912437928,78.53264087492127,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,44.0,31.0,1,120.04132913301623
45,114.55669600477741,181860.3127339895,133.449126591701,Cooking_yes,Lighting_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,45.0,81.0,1,89.52749611428763
46,131.46453661263965,237454.96113767585,172.89474646745626,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,46.0,81.0,1,22.849282353650942
47,120.00292966208944,216203.2132226669,162.1577492616786,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,47.0,81.0,1,9.159624500937664
49,159.53086131119773,391493.32273643615,254.8803903476999,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_4,sex_female,Urbanity_Rural,49.0,51.0,1,18.171487002842508
50,160.36921181612956,364543.118185688,250.8496504112796,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,50.0,81.0,1,13.94146987117107
51,128.6130030172317,214178.9582983423,157.05469793481132,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,51.0,81.0,1,5.159624500937664
