,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Cooking,e_Refrigeration,Income,Electricity,Water,w,wf
0,0,sex_female,Urbanity_Urban,Size_7,age_56_65,Education_High_School,Cooking_yes,Refrigeration_yes,162600.0068896918,108.22931971029608,127.33087894664078,46.72198731501057,0.0
1,1,sex_male,Urbanity_Urban,Size_6,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,224800.12379079056,130.042707089369,168.5766389927265,46.72198731501057,30.41102713807806
2,2,sex_male,Urbanity_Urban,Size_6,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,226722.94569389624,133.8406125994883,162.82589324373242,46.72198731501057,30.41102713807806
3,3,sex_male,Urbanity_Urban,Size_8,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,249334.250125716,136.97937258505104,179.5056913793782,46.72198731501057,90.47438699292212
4,4,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,234327.78843211647,121.35921028221478,175.94751342975,46.72198731501057,0.0
5,5,sex_female,Urbanity_Urban,Size_6,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,236409.5998703587,128.3433535861706,178.02574804117333,46.72198731501057,10.50057720053433
6,6,sex_male,Urbanity_Urban,Size_8,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,159023.64272415303,114.56950552439342,122.11008503357624,46.72198731501057,100.32494728220321
7,7,sex_male,Urbanity_Urban,Size_7,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,230364.3012381361,132.5536460418446,171.14537314647004,46.72198731501057,75.59198579299441
8,8,sex_female,Urbanity_Urban,Size_7,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,246551.8492200569,137.4391748480187,184.00784024185398,46.72198731501057,61.704904616613995
9,9,sex_male,Urbanity_Urban,Size_9,age_36_45,Education_Elementary_School,Cooking_yes,Refrigeration_yes,137869.10732552106,111.93043705277626,103.70905308537651,46.72198731501057,69.18602293257608
