,Electricity,Income,Water,e_Cooking,e_Refrigeration,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
1,130.042707089369,224800.12379079056,168.5766389927265,Cooking_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,1.0,81.0,1,9.411027138078062
2,133.8406125994883,226722.94569389624,162.82589324373242,Cooking_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,2.0,81.0,1,8.411027138078062
3,136.97937258505104,249334.250125716,179.5056913793782,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,3.0,81.0,1,21.474386992922135
5,128.3433535861706,236409.5998703587,178.02574804117333,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_6,sex_female,Urbanity_Urban,5.0,81.0,1,0.5005772005343303
6,114.56950552439342,159023.64272415303,122.11008503357624,Cooking_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_8,sex_male,Urbanity_Urban,6.0,31.0,1,68.3249472822032
7,132.5536460418446,230364.3012381361,171.14537314647004,Cooking_yes,Refrigeration_yes,age_26_35,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,7.0,81.0,1,26.591985792994407
8,137.4391748480187,246551.8492200569,184.00784024185398,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,8.0,81.0,1,19.704904616614
9,111.93043705277626,137869.10732552106,103.70905308537651,Cooking_yes,Refrigeration_yes,age_36_45,Education_Elementary_School,Size_9,sex_male,Urbanity_Urban,9.0,31.0,1,40.18602293257608
10,99.32645327302096,118102.05247131787,93.31485350510994,Cooking_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,10.0,31.0,1,41.09753890575038
11,123.23249363711412,204389.97594487094,155.27469125060145,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,11.0,81.0,1,15.319537930428908
12,121.8809370459663,204894.0440038858,149.7122954497669,Cooking_yes,Refrigeration_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,12.0,81.0,1,3.1081855374679463
13,97.39520486952586,106387.36973906713,79.46396927664598,Cooking_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_1,sex_female,Urbanity_Urban,13.0,31.0,1,9.413376298349824
15,123.18371640291107,194021.33959187046,141.42733364926247,Cooking_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_1,sex_female,Urbanity_Urban,15.0,81.0,1,5.55432063482041
16,121.43199456289314,196686.14251142187,143.77976027034106,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,16.0,81.0,1,1.481761320860807
20,178.15830468394054,405178.24516984256,260.7197126889414,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Graduate,Size_6,sex_male,Urbanity_Rural,20.0,51.0,1,6.8909089014765
21,99.8396994190897,135424.84437037105,102.47691027597534,Cooking_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_8,sex_male,Urbanity_Urban,21.0,31.0,1,52.90309349669536
22,101.91257169076694,150178.58659572233,118.19366980918528,Cooking_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_6,sex_male,Urbanity_Urban,22.0,31.0,1,4.278578175855805
23,90.535879195575,104339.06817569981,80.97585031859725,Cooking_yes,Refrigeration_yes,age_26_35,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,23.0,31.0,1,7.816364880687985
26,176.112551701305,374343.07150870893,266.20733429685816,Cooking_yes,Refrigeration_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,26.0,81.0,1,12.493100855231468
27,161.11680372615209,369374.3540248053,254.90719483567244,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,27.0,81.0,1,34.623398559984494
28,137.75651092555415,245451.3361289668,190.90712421986046,Cooking_yes,Refrigeration_yes,age_76_85,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,28.0,81.0,1,6.193814847091392
29,153.51637808008059,334933.2981707977,224.94364379002914,Cooking_yes,Refrigeration_yes,age_36_45,Education_College,Size_4,sex_female,Urbanity_Rural,29.0,51.0,1,13.522650371141246
30,76.09466030373272,60664.108353204014,38.893540420677546,Cooking_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Rural,30.0,1.0,1,115.23814932441108
31,101.27850178638323,169280.98350050492,116.81325532728556,Cooking_yes,Refrigeration_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,31.0,21.0,1,13.932550317610666
32,163.69439290701592,368040.4224215949,259.11873221345814,Cooking_yes,Refrigeration_yes,age_66_75,Education_College,Size_2,sex_male,Urbanity_Urban,32.0,81.0,1,6.067722934393327
34,181.6857312656789,426469.98999418976,292.81762915408336,Cooking_yes,Refrigeration_yes,age_36_45,Education_Post_Graduate,Size_4,sex_female,Urbanity_Urban,34.0,81.0,1,4.788041368724517
35,152.72457583482262,318665.39327314764,215.00987832277661,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Rural,35.0,51.0,1,43.620113853645094
36,168.52976777634086,362320.6620926322,254.65327630597648,Cooking_yes,Refrigeration_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,36.0,81.0,1,1.665451368749351
37,128.6512637984126,221792.3833220313,165.20993526632637,Cooking_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,37.0,81.0,1,12.236836666275565
38,124.6001306676614,203266.99106213983,152.93062637279237,Cooking_yes,Refrigeration_yes,age_26_35,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,38.0,81.0,1,41.03426859329143
40,182.77064090211903,410174.979961736,296.3759086154205,Cooking_yes,Refrigeration_yes,age_76_85,Education_College,Size_6,sex_female,Urbanity_Urban,40.0,81.0,1,1.087380526591172
43,100.78355814829278,124149.590594473,93.10761479726163,Cooking_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_7,sex_male,Urbanity_Urban,43.0,31.0,1,35.0525564321793
44,107.32510868822438,140264.13768115733,109.63964485112736,Cooking_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_6,sex_male,Urbanity_Urban,44.0,31.0,1,14.270082801607469
46,166.1469496855886,362481.02882118296,259.8076161024551,Cooking_yes,Refrigeration_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Urban,46.0,81.0,1,29.614903185736154
47,182.7386771111063,402662.84896751115,281.0917559708246,Cooking_yes,Refrigeration_yes,age_36_45,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,47.0,81.0,1,21.87700947698002
49,156.58383052289832,362917.3153387545,256.271142572369,Cooking_no,Refrigeration_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,49.0,81.0,1,51.31667189385712
50,155.83249879233009,342842.27770484105,222.2946596816236,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_4,sex_female,Urbanity_Rural,50.0,51.0,1,10.53114574538958
51,122.81139078851595,206420.0312516598,156.7611547112079,Cooking_yes,Refrigeration_yes,age_26_35,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,51.0,81.0,1,10.036596310345868
52,167.83527320674426,371711.6814202815,263.57349106280566,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,52.0,81.0,1,4.625726277038925
53,120.24288071506255,207421.22661945608,154.74819313319847,Cooking_yes,Refrigeration_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,53.0,81.0,1,3.1081855374679463
54,162.49548177566984,355195.16477135755,253.38201313028188,Cooking_yes,Refrigeration_yes,age_36_45,Education_College,Size_2,sex_female,Urbanity_Urban,54.0,81.0,1,29.86830838746198
55,115.04847432660476,152452.60929187445,117.2292949501594,Cooking_yes,Refrigeration_yes,age_76_85,Education_High_School,Size_4,sex_female,Urbanity_Urban,55.0,31.0,1,1.0381082922703095
56,105.27736233567512,176622.3931525189,123.31471868923731,Cooking_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,56.0,21.0,1,30.884329851651906
57,100.79295593055572,132501.16414612302,101.71209588693807,Cooking_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,57.0,31.0,1,5.927516109286934
58,93.20066436963933,106506.61358991092,81.07338233752533,Cooking_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,58.0,31.0,1,62.08904353150206
60,163.6496122102276,344030.16070755624,241.55834623233943,Cooking_yes,Refrigeration_yes,age_36_45,Education_College,Size_1,sex_male,Urbanity_Urban,60.0,81.0,1,4.030531777893874
62,167.27888831151546,356236.79212453146,250.02921199062772,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,62.0,81.0,1,32.795749073502364
65,101.32435688449199,118116.67433153227,92.06691969313587,Cooking_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Urban,65.0,31.0,1,71.83563832977622
66,165.34912092934283,367213.7958012839,259.47135137544785,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,66.0,81.0,1,37.623398559984494
67,161.46939609372308,348763.212546428,239.43180007711064,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,67.0,81.0,1,0.0390271521422098
68,94.60011357840271,130775.38431445506,102.37992299947643,Cooking_no,Refrigeration_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,68.0,31.0,1,14.710339505615838
70,98.64190608962923,109748.12169164198,84.33671066659467,Cooking_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,70.0,31.0,1,7.592983856089196
71,128.34751263266782,221019.07291282198,164.7527205765703,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,71.0,81.0,1,2.1495151339654637
72,183.87263780040942,431946.98491561954,302.331711153137,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Graduate,Size_4,sex_female,Urbanity_Urban,72.0,81.0,1,1.7965367429728518
73,168.63720624710982,357604.54185368214,256.23396100259345,Cooking_yes,Refrigeration_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,73.0,81.0,1,46.533848497528226
75,159.8773245225666,347589.29487203684,242.861403950554,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,75.0,81.0,1,0.0390271521422098
76,116.25061772125495,203613.8095467916,153.89372473667757,Cooking_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,76.0,81.0,1,27.238483242220966
77,85.12663428960659,87905.8598366281,68.77199139212368,Cooking_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,77.0,31.0,1,39.66718974599422
78,82.15729490007786,74770.01749385818,49.923407157750795,Cooking_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Rural,78.0,1.0,1,97.91340831164476
79,97.74300826927592,118238.70615943676,92.2400189941072,Cooking_no,Refrigeration_yes,age_36_45,Education_Elementary_School,Size_7,sex_male,Urbanity_Urban,79.0,31.0,1,57.82688445425987
80,106.55033374002369,128121.97002340725,101.06852318354102,Cooking_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Urban,80.0,31.0,1,13.000075423246543
81,99.52396964313836,103424.93047056934,83.09273685769558,Cooking_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,81.0,31.0,1,0.5782216377387006
82,174.36793234918446,370297.11521893344,257.73595016510444,Cooking_yes,Refrigeration_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,82.0,81.0,1,1.6257262770389254
