,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_TV,e_Cooking,e_Refrigeration,Income,Electricity,Water,w,wf
0,0,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,102567.4277409234,97.02879976413065,79.61532867516122,47.021989528795814,17.42939309564904
1,1,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,362980.52729822655,172.19728398254136,254.04220478699867,47.021989528795814,133.6234037331689
2,2,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,352954.649920227,165.0072568433844,247.93858726001304,47.021989528795814,77.51378650726927
3,3,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Graduate,TV_yes,Cooking_yes,Refrigeration_yes,407362.13345882704,179.39701379562484,284.7291064091278,47.021989528795814,86.04820464460049
4,4,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,350092.6572234853,167.91476346288016,244.6188591217378,47.021989528795814,77.51378650726927
5,5,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,84604.50439280865,84.87922989526231,66.95876954596082,47.021989528795814,73.3707048678846
6,6,sex_female,Urbanity_Urban,Size_3,age_66_75,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,378515.9940314112,172.06907320240643,263.60123309291765,47.021989528795814,78.23859136263886
7,7,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,90345.5857857086,93.74752298927643,70.00169032841389,47.021989528795814,138.6270516300595
8,8,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,224340.84003481801,118.38843141208515,169.27088687933096,47.021989528795814,23.660788391092623
9,9,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,341914.8944726312,161.8004329517561,244.09143756584962,47.021989528795814,16.5417509601254
10,10,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,132494.1844579226,99.1381892436419,100.78107011466824,47.021989528795814,42.06786231731837
11,11,sex_male,Urbanity_Urban,Size_7,age_56_65,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,157299.01236074418,105.54957503783808,120.1596984867403,47.021989528795814,0.0
12,12,sex_male,Urbanity_Urban,Size_7,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,238228.1793694575,131.06629753213414,176.35198733873978,47.021989528795814,66.34009133175319
13,13,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,140319.27378078725,106.59378724850731,107.95113970067035,47.021989528795814,35.0149190023014
14,14,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,87907.25588854802,82.96271907607355,69.22744225232347,47.021989528795814,0.0
15,15,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,212646.73882762477,124.67522786708751,162.85293329859576,47.021989528795814,20.31024878837324
16,16,sex_female,Urbanity_Urban,Size_1,age_26_35,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,187053.7987218556,117.85645257500832,139.76528692989842,47.021989528795814,8.466824768493153
17,17,sex_female,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,230104.22349130173,133.61525184250817,179.34045584375477,47.021989528795814,0.0
18,18,sex_female,Urbanity_Urban,Size_6,age_66_75,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,406533.9846449576,175.1737609494278,290.1879308067428,47.021989528795814,0.0
19,19,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,363335.39969639323,165.54403134372126,253.67694280038242,47.021989528795814,0.0
20,20,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,362944.42554038786,164.41512190448825,259.27912491006305,47.021989528795814,128.66424663941018
21,21,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,354013.6488739728,170.7530438838851,249.6941723193201,47.021989528795814,70.4608431922523
22,22,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,81426.46617827762,87.07588118158205,53.927819480137,47.021989528795814,145.73580650051994
23,23,sex_female,Urbanity_Urban,Size_5,age_36_45,Education_Post_Graduate,TV_yes,Cooking_yes,Refrigeration_yes,431078.2063328368,183.14620908533573,301.49590699404166,47.021989528795814,46.02603228556553
24,24,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,186329.43854460656,115.94354999545429,131.32548928363562,47.021989528795814,13.184017354900707
25,25,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,363859.5732101732,163.360607032224,258.86061199623265,47.021989528795814,128.66424663941018
26,26,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,362129.08425516327,168.7147556973151,247.0754828800025,47.021989528795814,128.66424663941018
27,27,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,367353.4971112336,171.88276804606411,252.8265989518424,47.021989528795814,128.66424663941018
28,28,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,203249.6558929445,123.6831279303598,152.25180375058457,47.021989528795814,133.89846460606122
29,29,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,342284.1005578653,163.41200053649231,237.936813696156,47.021989528795814,16.5417509601254
30,30,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,317227.53966899106,153.3489533373045,213.51789450579074,47.021989528795814,77.99699779051919
31,31,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,95997.08543638984,88.32222327935852,63.47394027368056,47.021989528795814,26.631934187367747
32,32,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,126691.83787514633,104.6083932321871,96.78688888786648,47.021989528795814,33.20166621913481
33,33,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,323213.1575911921,145.09828760515362,212.9627842418593,47.021989528795814,136.2004012376771
34,34,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,193333.30980062802,121.22401615200559,142.20558387381766,47.021989528795814,7.670082296742468
35,35,sex_female,Urbanity_Urban,Size_7,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,410120.5643903131,180.4840565409114,297.52959796104494,47.021989528795814,0.0
36,36,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,385641.8686661842,172.4982180361181,267.3471547324527,47.021989528795814,0.0
37,37,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,368930.4928091328,166.36210540167502,257.7735919583577,47.021989528795814,128.66424663941018
38,38,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,203353.2332485708,128.0512676676433,156.62587058472138,47.021989528795814,133.89846460606122
39,39,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,95515.01534377162,96.88526956174915,72.21884700287494,47.021989528795814,131.57410831504248
40,40,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,373446.9538504961,169.49777636471305,256.2275515226314,47.021989528795814,16.613317641275003
41,41,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,382059.52778098703,173.39238952073498,269.3190340063074,47.021989528795814,0.0
42,42,sex_female,Urbanity_Urban,Size_4,age_66_75,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,388317.45508008,179.45099441732862,272.7881630861692,47.021989528795814,0.0
43,43,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,365765.6650416908,164.5949233090649,262.30497437195635,47.021989528795814,23.66626095629199
44,44,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,381534.45597173885,169.4569652736827,265.17481422562696,47.021989528795814,0.0
45,45,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,92054.5052968517,86.73671244750925,69.52294261005996,47.021989528795814,26.576122631924306
46,46,sex_male,Urbanity_Urban,Size_1,age_66_75,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,203353.1367481968,117.2099769802734,154.1495752888459,47.021989528795814,0.0
47,47,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,131427.98026402743,105.51812007816977,101.10327809940195,47.021989528795814,50.94086491975026
48,48,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,167381.52936597672,108.57941926572352,117.94389182656003,47.021989528795814,134.38167588931117
49,49,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,204364.51205677984,119.19223560319216,156.7734534174351,47.021989528795814,66.54833162262807
50,50,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,348194.70574114955,154.52257260414916,236.13122040113282,47.021989528795814,25.9627250227085
51,51,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,86166.13322761602,91.49362675589106,68.26803989524502,47.021989528795814,138.6270516300595
52,52,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,70403.04380961052,80.53426247656755,46.504213950516146,47.021989528795814,17.912604378898966
53,53,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,74073.45318280894,82.17617963608448,48.8242155364806,47.021989528795814,17.912604378898966
54,54,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,125641.93365772387,100.41323406185404,95.45058061200704,47.021989528795814,136.1058656809947
