,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,97.02879976413065,102567.4277409234,79.61532867516122,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,0.0,31.0,1,13.42939309564904
1,172.1972839825414,362980.52729822655,254.04220478699867,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Urban,1.0,81.0,1,95.62340373316891
2,165.0072568433844,352954.649920227,247.93858726001304,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,2.0,81.0,1,48.51378650726927
3,179.39701379562484,407362.13345882704,284.7291064091278,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,3.0,81.0,1,53.04820464460049
4,167.91476346288016,350092.6572234853,244.6188591217378,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,4.0,81.0,1,46.51378650726927
5,84.87922989526231,84604.50439280865,66.95876954596082,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,5.0,31.0,1,60.3707048678846
6,172.06907320240643,378515.9940314112,263.60123309291765,Cooking_yes,Refrigeration_yes,TV_yes,age_66_75,Education_College,Size_3,sex_female,Urbanity_Urban,6.0,81.0,1,52.23859136263886
7,93.74752298927643,90345.5857857086,70.00169032841389,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,7.0,31.0,1,117.6270516300595
8,118.38843141208515,224340.84003481801,169.27088687933096,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,8.0,81.0,1,14.660788391092623
9,161.8004329517561,341914.8944726312,244.09143756584962,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_1,sex_male,Urbanity_Urban,9.0,81.0,1,7.541750960125402
10,99.1381892436419,132494.1844579226,100.78107011466824,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_5,sex_male,Urbanity_Urban,10.0,31.0,1,35.067862317318365
12,131.06629753213414,238228.1793694575,176.35198733873978,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,12.0,81.0,1,40.340091331753186
13,106.59378724850731,140319.27378078725,107.95113970067035,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,13.0,31.0,1,32.0149190023014
15,124.67522786708751,212646.7388276248,162.85293329859576,Cooking_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,15.0,81.0,1,15.31024878837324
16,117.85645257500832,187053.7987218556,139.76528692989842,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_1,sex_female,Urbanity_Urban,16.0,81.0,1,5.466824768493153
20,164.41512190448825,362944.42554038786,259.27912491006305,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,20.0,81.0,1,68.66424663941018
21,170.75304388388508,354013.6488739728,249.6941723193201,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,21.0,81.0,1,33.4608431922523
22,87.07588118158205,81426.46617827762,53.927819480136996,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Rural,22.0,1.0,1,143.73580650051994
23,183.14620908533573,431078.2063328368,301.49590699404166,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_5,sex_female,Urbanity_Urban,23.0,81.0,1,31.026032285565528
24,115.94354999545428,186329.43854460656,131.32548928363562,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Rural,24.0,51.0,1,7.184017354900709
