,index,n_BuildingSqm,n_BuildingKwh,NonRElectricity,w,wf
0,0,312.5947515174914,631.0,65632.75811061822,0.114,0.0
1,1,312.5947515174914,631.0,65632.75811061822,0.114,0.0
2,2,637.2298598861562,296.0,65341.759927087274,0.114,0.0
3,3,406.72633871362433,243.0,29710.895069066504,0.114,0.0
4,4,406.72633871362433,243.0,29710.895069066504,0.114,0.0
5,5,312.5947515174914,631.0,65632.75811061822,0.114,0.0
6,6,703.625461563575,316.0,78745.14961067829,0.114,0.0
7,7,312.5947515174914,631.0,65632.75811061822,0.114,0.0
8,8,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
9,9,497.4279044195864,233.0,39935.241259193266,0.114,0.0
10,10,406.72633871362433,243.0,29710.895069066504,0.114,0.0
11,11,296.28054076293597,137.0,14102.799255324951,0.114,2.205201679391229
12,12,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
13,13,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
14,14,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
15,15,703.625461563575,316.0,78745.14961067829,0.114,0.0
16,16,406.72633871362433,243.0,29710.895069066504,0.114,0.0
17,17,312.5947515174914,631.0,65632.75811061822,0.114,0.0
18,18,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
19,19,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
20,20,296.28054076293597,137.0,14102.799255324951,0.114,2.205201679391229
21,21,406.72633871362433,243.0,29710.895069066504,0.114,0.0
22,22,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
23,23,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
24,24,703.625461563575,316.0,78745.14961067829,0.114,0.0
25,25,312.5947515174914,631.0,65632.75811061822,0.114,0.0
26,26,312.5947515174914,631.0,65632.75811061822,0.114,0.0
27,27,637.2298598861562,296.0,65341.759927087274,0.114,0.0
28,28,637.2298598861562,296.0,65341.759927087274,0.114,0.0
29,29,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
30,30,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
31,31,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
32,32,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
33,33,312.5947515174914,631.0,65632.75811061822,0.114,0.0
34,34,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
35,35,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
36,36,406.72633871362433,243.0,29710.895069066504,0.114,0.0
37,37,703.625461563575,316.0,78745.14961067829,0.114,0.0
38,38,703.625461563575,316.0,78745.14961067829,0.114,0.0
39,39,703.625461563575,316.0,78745.14961067829,0.114,0.0
40,40,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
41,41,312.5947515174914,631.0,65632.75811061822,0.114,0.0
42,42,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
43,43,637.2298598861562,296.0,65341.759927087274,0.114,0.0
44,44,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
45,45,637.2298598861562,296.0,65341.759927087274,0.114,0.0
46,46,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
47,47,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
48,48,406.72633871362433,243.0,29710.895069066504,0.114,0.0
49,49,406.72633871362433,243.0,29710.895069066504,0.114,0.0
50,50,406.72633871362433,243.0,29710.895069066504,0.114,0.0
51,51,637.2298598861562,296.0,65341.759927087274,0.114,0.0
52,52,406.72633871362433,243.0,29710.895069066504,0.114,0.0
53,53,637.2298598861562,296.0,65341.759927087274,0.114,0.0
54,54,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
55,55,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
56,56,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
57,57,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
58,58,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
59,59,637.2298598861562,296.0,65341.759927087274,0.114,0.0
60,60,497.4279044195864,233.0,39935.241259193266,0.114,0.0
61,61,406.72633871362433,243.0,29710.895069066504,0.114,0.0
62,62,406.72633871362433,243.0,29710.895069066504,0.114,0.0
63,63,406.72633871362433,243.0,29710.895069066504,0.114,0.0
64,64,406.72633871362433,243.0,29710.895069066504,0.114,0.0
65,65,406.72633871362433,243.0,29710.895069066504,0.114,0.0
66,66,637.2298598861562,296.0,65341.759927087274,0.114,0.0
67,67,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
68,68,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
69,69,497.4279044195864,233.0,39935.241259193266,0.114,0.0
70,70,637.2298598861562,296.0,65341.759927087274,0.114,0.0
71,71,637.2298598861562,296.0,65341.759927087274,0.114,0.0
72,72,703.625461563575,316.0,78745.14961067829,0.114,0.0
73,73,637.2298598861562,296.0,65341.759927087274,0.114,0.0
74,74,497.4279044195864,233.0,39935.241259193266,0.114,0.0
75,75,406.72633871362433,243.0,29710.895069066504,0.114,0.0
76,76,637.2298598861562,296.0,65341.759927087274,0.114,0.0
77,77,637.2298598861562,296.0,65341.759927087274,0.114,0.0
78,78,497.4279044195864,233.0,39935.241259193266,0.114,0.0
79,79,406.72633871362433,243.0,29710.895069066504,0.114,0.0
80,80,406.72633871362433,243.0,29710.895069066504,0.114,0.0
81,81,312.5947515174914,631.0,65632.75811061822,0.114,0.0
82,82,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
83,83,312.5947515174914,631.0,65632.75811061822,0.114,0.0
84,84,312.5947515174914,631.0,65632.75811061822,0.114,0.0
85,85,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
86,86,637.2298598861562,296.0,65341.759927087274,0.114,0.0
87,87,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
88,88,312.5947515174914,631.0,65632.75811061822,0.114,0.0
89,89,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
90,90,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
91,91,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
92,92,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
93,93,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
94,94,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
95,95,406.72633871362433,243.0,29710.895069066504,0.114,0.0
96,96,406.72633871362433,243.0,29710.895069066504,0.114,0.0
97,97,637.2298598861562,296.0,65341.759927087274,0.114,0.0
98,98,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
99,99,312.5947515174914,631.0,65632.75811061822,0.114,0.0
100,100,719.5871280224214,262.0,77620.75573468984,0.114,0.3911498827744545
101,101,837.2166583606537,293.0,104135.99305079236,0.114,0.09016738206399555
