,index,i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,i_Intercept,c_i_Education,Income,e_Intercept,Electricity,w_Intercept,c_w_Education,Water,w
0,0,0,993.236873443,1,6904.33796185,6,1680.41001253,50.436721239799994,111.67821157899999,3,1,-1.8276907917900003,1,22.0663290213,0,27.3702195648,0,58.7267479996,1,204.05716354900002,1,25.050274281100002,0.00142817034633,101.50682076,974.3127014539999,0.0528021030045,52.990576895,5.692943515830001,1,1147.66399223,18727.4606703,42494.6055255,3.2999838733,313.335595423,-601.591950028,101.70283943,3526.71067432,36.54369918699187
1,1,0,931.1163107189999,1,7111.5157729,5,1650.17894056,65.9320877898,112.308864939,2,1,-6.339411159369999,1,20.6960026014,0,27.418380867,0,58.5240815497,0,208.576040435,1,25.570613685599998,0.0015160240107300002,142.59318273899999,981.9001719360001,0.0534222093602,53.173435614300004,5.0219039282499995,1,1147.66399223,11959.091528,35873.9239386,3.2999838733,97.612919051,-601.591950028,260.327274277,3414.39883442,36.54369918699187
2,2,0,1142.0949183,0,7103.13395789,2,1678.36586256,66.263546005,110.35384256200001,0,1,-7.24502980947,1,19.8004351,0,29.3041483838,0,59.1618398258,1,210.730377678,1,24.774428399999998,0.00147287346796,120.089331415,994.04751691,0.052906358624099994,60.197708947200006,5.8504566141600005,2,1147.66399223,1.0,11817.8326408,3.2999838733,243.991938987,-601.591950028,1.0,531.713960723,36.54369918699187
3,3,0,1081.25767104,0,7221.26012239,4,1682.08271312,55.5355509654,111.883677174,2,1,10.9944845561,1,19.2685139348,0,31.764145942600003,0,59.0004968535,1,208.276408955,1,24.3868991603,0.0013988900694399998,111.195627538,1003.18443446,0.0529710542777,55.5637953966,6.76145994598,1,1147.66399223,11959.091528,26048.6080286,3.2999838733,278.278530413,-601.591950028,260.327274277,1896.64141328,36.54369918699187
4,4,0,1111.81636255,0,7106.44381292,4,1663.73804834,60.07302333770001,111.616123177,0,1,-8.06630526309,1,19.5979617095,0,33.9346548055,0,59.7912701805,1,200.631508312,1,25.3378805161,0.00147487710105,121.100371299,951.563393797,0.053787396602099996,33.552420254699996,7.029775060710001,2,1147.66399223,1.0,14508.734158000001,3.2999838733,236.86174840700002,-601.591950028,1.0,735.304610625,36.54369918699187
5,5,1,874.059229215,0,7032.45884995,4,1633.6223432,64.4338141958,116.00031401700001,0,1,-19.216115682,1,17.9647233445,0,31.137792162600004,1,56.4850084217,1,199.083169568,1,24.978374215,0.0014244055003399998,88.738039265,962.8204309560001,0.0541075645758,42.010462523499996,5.87195329709,0,1147.66399223,1.0,16031.5552743,3.2999838733,280.452205037,-601.591950028,1.0,900.968699297,36.54369918699187
6,6,1,902.771689853,0,7191.75684481,4,1651.39859184,77.36980612010001,123.540833352,3,1,21.2365770856,1,18.2749609506,0,29.7944616382,1,57.0627372738,0,211.449385842,1,23.3799369791,0.0014939610674300002,134.188109526,1041.84736459,0.051685540960800004,44.571157622799994,6.97893027646,1,1147.66399223,18727.4606703,36941.8210441,3.2999838733,155.063901583,-601.591950028,101.70283943,2465.30579544,36.54369918699187
7,7,0,794.4797341130001,0,7186.79191206,4,1684.17009641,37.0478635569,123.681535717,0,1,-6.23365707132,1,19.6934895895,0,29.6937942804,0,59.865004468,0,203.37801509,1,24.8507652204,0.00134902587255,75.19175927010001,985.164130988,0.05419607671019999,54.484526109799994,6.5974603397000005,1,1147.66399223,1.0,12467.4810376,3.2999838733,33.5787708768,-601.591950028,1.0,536.456523595,36.54369918699187
8,8,0,942.3897167639999,0,7044.04339825,4,1662.29740548,37.543944160100004,108.95384183,1,1,30.341199056300002,1,16.5940253002,0,27.9921933054,0,63.1617721283,1,203.697527785,1,24.137205076599997,0.00137237502902,140.18484950799999,1040.3441948,0.0519542437775,44.393530098199996,7.66267698541,3,1147.66399223,6023.86254599,17911.273113799998,3.2999838733,278.513719974,-601.591950028,214.401145313,1008.63708226,36.54369918699187
9,9,0,880.9089094789999,1,7059.110844,4,1650.31311488,73.8702329419,114.343137065,0,1,-12.2165881083,1,18.6473000258,0,28.6566030436,0,58.105077965,0,203.38466825700002,1,24.8538339067,0.00142106569993,89.69567824059999,982.251264693,0.053796885340300006,50.4395977447,6.37263235421,1,1147.66399223,1.0,23255.581466099997,3.2999838733,67.632238851,-601.591950028,1.0,2304.24339176,36.54369918699187
