,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,109967.53580732146,38.651455395907945,6859.683757111533,36.99485596707819,29.530388392019063
1,1,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,194054.06071293808,101.42127400912679,11497.323866525838,36.99485596707819,70.72487086695764
2,2,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,202556.06777279265,61.168719133725006,12072.875873037825,36.99485596707819,45.215816097931715
3,3,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,120596.14823185885,91.72114990851378,7565.527356539334,36.99485596707819,45.734684213469706
4,4,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,108918.1499883692,87.39280783100462,6886.7040368038815,36.99485596707819,26.6260938577976
5,5,sex_male,Urbanity_Rural,Size_5,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,65279.11067982558,30.015455290871234,3484.558125737808,36.99485596707819,42.38578664433356
6,6,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_College,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,320014.60487939947,95.4270662477589,16248.50784684584,36.99485596707819,52.63993726590057
7,7,sex_male,Urbanity_Rural,Size_3,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,334783.5661381861,112.2825342902182,17532.966277371073,36.99485596707819,30.79019547670711
8,8,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,75139.33368799559,20.192935580091305,3971.8003539132496,36.99485596707819,26.56711454413489
9,9,sex_female,Urbanity_Rural,Size_2,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,54340.44444013063,24.719445794013616,2862.286936872017,36.99485596707819,47.67163547875359
10,10,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,99846.4716253142,55.40485415462365,6308.693833573191,36.99485596707819,46.23629078063299
11,11,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,213404.5120445024,73.55797254142013,12719.466208617228,36.99485596707819,36.66732531855398
12,12,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,212306.21223695934,124.17601924472264,12837.74619401286,36.99485596707819,35.90969384381602
13,13,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,141138.19466056494,55.29384273130432,8950.838664152956,36.99485596707819,31.867325788823663
14,14,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_College,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,365765.9688033289,95.69820909303124,20771.605264374422,36.99485596707819,34.79432769855723
15,15,sex_male,Urbanity_Urban,Size_3,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,83425.66824203955,42.36358221201285,5197.277195183211,36.99485596707819,57.82738733211825
16,16,sex_female,Urbanity_Rural,Size_2,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,321277.54076474725,111.32139907364515,16811.910088806708,36.99485596707819,76.31247908379686
17,17,sex_female,Urbanity_Rural,Size_6,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,114754.25463824556,51.90612662368574,6404.77469723925,36.99485596707819,49.04778490445349
18,18,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,96258.7233308267,44.639288101758574,5389.047478855369,36.99485596707819,33.19715723624829
19,19,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,188512.18718246726,56.773984457863925,10097.619164221924,36.99485596707819,12.665060282646476
20,20,sex_male,Urbanity_Urban,Size_10,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,157141.5132165796,104.39936993424122,9130.277988017318,36.99485596707819,40.044636589771955
21,21,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,431804.3526864155,142.2369571693039,24408.75407448001,36.99485596707819,32.16661769218245
22,22,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,Lighting_no,TV_yes,Cooking_no,Refrigeration_yes,AC_no,386511.2023328391,129.60249162412165,21507.30127624107,36.99485596707819,13.77436588589228
23,23,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,103627.76122634644,85.23519235588051,6418.174223311802,36.99485596707819,50.64082461504023
24,24,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,438844.71513179794,129.49406417599553,24594.78478219517,36.99485596707819,19.84046880102701
25,25,sex_female,Urbanity_Urban,Size_6,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,146819.97653854097,47.45376042910226,9172.430010663657,36.99485596707819,47.783483203624264
26,26,sex_male,Urbanity_Urban,Size_7,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,243527.3956653952,83.01063825090766,14482.431231363218,36.99485596707819,67.81971513979994
27,27,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,388933.3734961788,124.55837168897945,21885.092620109906,36.99485596707819,16.98181636572377
28,28,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,102738.62120684594,46.527407655049494,6322.397293484348,36.99485596707819,12.35548269426494
29,29,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,186517.80124539507,69.99177618850507,10425.535594153698,36.99485596707819,31.92065764597232
30,30,sex_male,Urbanity_Rural,Size_5,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,338288.00189386995,142.6501831764554,18373.57460278768,36.99485596707819,50.288501695980344
31,31,sex_female,Urbanity_Rural,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,111202.99593917665,46.310741429818144,6252.9219110206095,36.99485596707819,35.27829054913641
32,32,sex_male,Urbanity_Rural,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,176147.33730941548,62.170641726185615,9748.831565439532,36.99485596707819,31.452095984148528
33,33,sex_female,Urbanity_Rural,Size_3,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,345007.1565326069,107.30483503689405,18609.207109766277,36.99485596707819,31.38357248428894
34,34,sex_female,Urbanity_Rural,Size_8,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,107798.05990356092,41.94063215731603,6139.827145942138,36.99485596707819,40.32056990093941
35,35,sex_male,Urbanity_Rural,Size_4,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,346503.4822655595,140.29390074394433,18526.510842078773,36.99485596707819,7.61132975933551
36,36,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,46680.48244894803,70.40334475722544,2222.4385704307765,36.99485596707819,44.76734094453214
37,37,sex_male,Urbanity_Rural,Size_3,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,48405.69704573781,29.94119836030508,2381.9362972879285,36.99485596707819,57.01077654371758
38,38,sex_male,Urbanity_Urban,Size_7,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,233773.7953939253,117.12122343936764,13981.393226994529,36.99485596707819,91.07681442230461
39,39,sex_male,Urbanity_Urban,Size_3,age_26_35,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,355398.4970100812,151.7308466081241,20210.471474552418,36.99485596707819,57.53404372672108
40,40,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,127920.53859682365,45.78193156143407,7743.240187608574,36.99485596707819,31.46429387359525
41,41,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,126895.244524646,84.86484064683918,7792.566331194644,36.99485596707819,28.62574990962737
42,42,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,112541.76662726523,79.85310869591984,6910.095259459282,36.99485596707819,47.98663969999099
43,43,sex_female,Urbanity_Rural,Size_2,age_46_55,Education_College,Lighting_no,TV_yes,Cooking_no,Refrigeration_no,AC_yes,324688.4209830938,132.62619147172666,17334.476306488665,36.99485596707819,44.17084139352494
44,44,sex_male,Urbanity_Rural,Size_1,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,313155.35880458244,86.16447042724397,16162.218012111447,36.99485596707819,15.50078089354107
45,45,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_yes,73733.81561847635,58.578230670368725,3701.100797125591,36.99485596707819,26.21742257899685
46,46,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,344999.89621662424,102.72272881148191,18226.18543517214,36.99485596707819,29.1123149027056
47,47,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,398924.11970673467,117.40787643200028,21559.595320809047,36.99485596707819,29.269094414551862
48,48,sex_male,Urbanity_Rural,Size_5,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,113029.3257791023,50.47981032682501,6251.13908075006,36.99485596707819,18.103605675040477
