,index,i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,i_Intercept,c_i_Education,Income,e_Intercept,Electricity,w_Intercept,c_w_Education,Water,w
0,0,1,1130.95998988,0,7079.09448391,7,1661.39496032,44.10061411979999,117.679538676,3,1,8.31103282082,0,18.9331752498,0,30.082912454499997,0,61.3049844991,0,201.29638735700001,1,25.3820194893,0.00137039313806,87.2475355421,1016.93964649,0.0511987948971,55.04738161109999,6.23937916112,3,1147.66399223,18727.4606703,268187.065618,3.2999838733,73.7242723736,-601.591950028,101.70283943,176.917317457,33.9149377593361
1,1,1,628.1342586019999,1,7039.13283969,5,1588.44847886,33.3938037067,113.786173999,1,1,-5.56156934398,1,17.556605445,0,27.9067294036,0,60.802998251400005,0,201.993944315,1,23.1883954798,0.0014789513176499999,68.01507606050001,995.155024751,0.05273655634869999,45.3273208306,6.3120698941299995,1,1147.66399223,6023.86254599,188460.35148800001,3.2999838733,61.6825210908,-601.591950028,214.401145313,137.872051298,33.9149377593361
2,2,0,692.161630251,1,7086.88414404,4,1615.64512762,78.4659059365,114.406798437,1,1,18.3798597805,1,21.0821909746,0,30.431266842800003,0,59.9223012201,0,204.800308952,1,26.898659411100002,0.00138428969588,68.2300733561,965.307520907,0.053681214774500004,47.17095307020001,6.87129939215,2,1147.66399223,6023.86254599,210561.848027,3.2999838733,70.22535708310001,-601.591950028,214.401145313,157.29549463799998,33.9149377593361
3,3,1,772.26043336,1,7042.88109629,4,1661.2598277999998,62.7458345677,111.698227122,1,1,0.44603430149400003,1,21.7920126268,0,30.436195640100003,1,58.135314408,0,202.878265885,1,24.523445624,0.00142394864329,117.651024325,974.615551225,0.052773365334000004,51.4181945433,6.33419669918,1,1147.66399223,6023.86254599,203062.522729,3.2999838733,77.2662055772,-601.591950028,214.401145313,150.001631318,33.9149377593361
4,4,0,691.291909947,1,7221.99591853,4,1702.03419371,54.0176665223,110.700163485,0,1,-18.7217405328,1,21.5556107905,0,29.3466532127,1,59.274413639799995,0,210.610692578,1,24.552943777600003,0.00142159824713,83.5608769888,1007.36176024,0.0511733057519,51.7791395445,5.56084347135,2,1147.66399223,1.0,150016.233618,3.2999838733,58.963441743699995,-601.591950028,1.0,107.158722369,33.9149377593361
5,5,1,1032.50806944,1,7106.70641402,2,1672.4156601,51.2375981368,116.242172321,0,1,10.5180860666,1,17.2884721994,0,30.609409471,1,58.877825206400004,1,208.868540221,1,25.0566536611,0.00150138802382,45.7131404558,975.177016778,0.054664328761200004,48.3311754201,7.2999267027100005,0,1147.66399223,1.0,131795.525284,3.2999838733,101.463878312,-601.591950028,1.0,100.976375485,33.9149377593361
6,6,0,1021.2137547,0,7243.54100143,7,1722.78461555,66.83136572,112.63732152799999,3,1,-14.0562331502,0,16.7674163582,0,31.2530194106,0,59.5683755804,0,201.90550571,1,25.8429899468,0.0013409383838599998,128.51368814,977.254025027,0.0511660592086,48.8584723692,4.46450143507,0,1147.66399223,18727.4606703,279791.664951,3.2999838733,70.8646947675,-601.591950028,101.70283943,182.87548368900002,33.9149377593361
7,7,0,700.587258957,1,6996.62684924,6,1722.09245332,56.782405505,116.706144201,0,1,45.0625453306,1,20.3013291675,0,33.2541873575,0,60.2728903342,0,207.12648290099997,1,25.9485277994,0.0014485225322899999,68.6121635842,978.854488581,0.0551430710927,49.9281297787,7.376587538,3,1147.66399223,1.0,177994.745454,3.2999838733,68.5340833513,-601.591950028,1.0,136.10961250100002,33.9149377593361
8,8,0,1061.19566731,1,7171.54472105,6,1681.39093906,55.073604223800004,109.57088946299999,2,1,24.7893769608,0,18.929329630199998,0,31.805026844,0,57.033591402700004,0,202.866456508,1,24.908762075300004,0.0013984070413599998,76.628863365,989.5963285839999,0.0527092327778,59.170639987799994,6.4816323941,1,1147.66399223,11959.091528,258087.36810500003,3.2999838733,80.4867547086,-601.591950028,260.327274277,189.917507462,33.9149377593361
9,9,0,1054.04599955,1,7278.00830497,8,1647.87372984,40.613205037,112.13290231,0,1,6.62061194777,1,18.1755427397,0,30.228320526399997,1,56.0949358425,0,205.737205203,1,23.9990582265,0.00147520938721,126.07719834,985.9330884230001,0.051327504861900006,48.2417832695,7.694503847939999,2,1147.66399223,1.0,185503.42333,3.2999838733,74.25198310520001,-601.591950028,1.0,132.284040861,33.9149377593361
