,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_female,Urbanity_Urban,Size_7,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,151047.15018500885,55.70197960825367,114.30096817621643,36.09948186528497,73.16796515796938
1,1,sex_female,Urbanity_Urban,Size_7,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,166093.08302643578,54.36705625666264,133.18488619064604,36.09948186528497,31.153461840640162
2,2,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,138421.0316027691,44.84150970838262,107.42120375453649,36.09948186528497,39.555155511313856
3,3,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,210188.0335374181,81.8332429268143,155.80898023105144,36.09948186528497,33.92740608523414
4,4,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,108722.55395901676,53.89740222511468,84.19940016188197,36.09948186528497,38.341114623658314
5,5,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,379502.02291773853,116.53997307413036,275.43456540893897,36.09948186528497,38.4696971423819
6,6,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,217484.35019494465,70.8021918832393,157.02014135647596,36.09948186528497,50.44919641912166
7,7,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,152136.31480382307,53.15527116042675,115.70101216315969,36.09948186528497,6.11278759521747
8,8,sex_female,Urbanity_Rural,Size_6,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,212388.65809763817,62.99122160684089,148.48633604076872,36.09948186528497,4.8210956249273
9,9,sex_male,Urbanity_Rural,Size_9,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,103671.75691681773,35.8555944740228,71.09741215159231,36.09948186528497,12.128971892903335
10,10,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,77347.20906104463,21.74758566301599,50.56175844083912,36.09948186528497,45.02521553947389
11,11,sex_male,Urbanity_Rural,Size_6,age_36_45,Education_Elementary_School,Lighting_no,TV_yes,Cooking_no,Refrigeration_no,AC_no,75850.1768205495,26.023965581420804,49.859554057908646,36.09948186528497,31.71399054317848
12,12,sex_male,Urbanity_Rural,Size_1,age_66_75,Education_Post_Secondary,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_yes,168459.09662934346,84.82135588903327,113.52011997776285,36.09948186528497,0.0
13,13,sex_male,Urbanity_Rural,Size_1,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,37853.640247889496,20.36831185852395,21.64846692576796,36.09948186528497,27.59659756272556
14,14,sex_male,Urbanity_Rural,Size_3,age_26_35,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,78467.7612008368,38.660600345477796,51.88553214638439,36.09948186528497,67.48025384635027
15,15,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,123100.19617212545,95.5909355620409,94.31000227377865,36.09948186528497,83.49837369538842
16,16,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,361077.9922724813,116.8897375617418,260.42162833552646,36.09948186528497,40.14539977127929
17,17,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,196346.97616565763,115.54580935206673,147.30602163596097,36.09948186528497,83.26374142347505
