,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_no,AC_no,199568.38034119,59.1340071696548,150.29320021131045,37.81987577639752,49.3652690871295
1,1,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,127056.21507269455,57.856708278412405,96.51798585313088,37.81987577639752,43.96206898759575
2,2,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,356521.6923570131,157.92135248870477,246.0326994087156,37.81987577639752,62.06166301336109
3,3,sex_male,Urbanity_Urban,Size_3,age_26_35,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,199888.72484240113,73.42697376580345,145.26608101498655,37.81987577639752,61.95488426137844
4,4,sex_male,Urbanity_Urban,Size_3,age_66_75,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_no,AC_no,133506.14814323292,46.67753755562689,103.27782894518609,37.81987577639752,24.98122764132303
5,5,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Elementary_School,Lighting_yes,Cooking_no,Refrigeration_no,AC_no,125665.96995139663,46.232965759499606,95.33349114439905,37.81987577639752,2.342170220447548
6,6,sex_male,Urbanity_Urban,Size_6,age_26_35,Education_College,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,376120.5423732201,166.2641443994965,273.0522545031276,37.81987577639752,30.807644447162104
7,7,sex_male,Urbanity_Urban,Size_6,age_26_35,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,220352.25818774625,119.6370554813957,166.01453314259197,37.81987577639752,28.486879470128468
8,8,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_High_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_yes,140314.11504280122,98.91535234807432,108.36413391494409,37.81987577639752,5.341864202128818
9,9,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Elementary_School,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,96155.90460608328,49.50594184975151,74.50888018267901,37.81987577639752,28.064226665906087
10,10,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,Cooking_no,Refrigeration_yes,AC_no,190279.65578048053,74.46176727837832,140.82845390498258,37.81987577639752,72.90415161849589
