,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Rural,Size_6,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,356041.5861343449,147.98829921841394,241.0290628877248,45.552879581151835,0.0
1,1,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,115040.21750960985,89.65579438176117,87.52086315923027,45.552879581151835,0.0
2,2,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,127461.46856746875,96.39093324130516,101.1858680998084,45.552879581151835,0.0
3,3,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,164446.9776657181,101.04579007864841,116.2069739914617,45.552879581151835,130.94701714254583
4,4,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,363100.99827432376,160.30339664123287,262.3136783906908,45.552879581151835,31.08953608338313
5,5,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,97420.73389780047,90.0118133146942,64.0996868707689,45.552879581151835,6.435489487153196
6,6,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,97164.1119210536,91.0813542750995,65.00716892243405,45.552879581151835,6.435489487153196
7,7,sex_male,Urbanity_Urban,Size_5,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,90682.00451465373,81.79904249517318,69.14901219496221,45.552879581151835,33.375760849374146
8,8,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,196257.11021914336,118.39714667322352,154.0528712924189,45.552879581151835,132.9632597997746
9,9,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,200126.54950454488,107.76984402138037,148.40996253496132,45.552879581151835,132.9632597997746
10,10,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,377751.6183940527,165.26944806496098,261.0865887427798,45.552879581151835,10.453080827156153
11,11,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,373083.2354426977,169.167093287531,256.82113216031445,45.552879581151835,10.453080827156153
12,12,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,207407.6517394254,112.85407319611721,156.20082099373013,45.552879581151835,25.94455722329509
13,13,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,353546.37413840217,162.303812901412,244.73061789526864,45.552879581151835,45.319139008695736
14,14,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,375311.42986745626,160.85410171683532,266.047408302856,45.552879581151835,10.453080827156153
15,15,sex_female,Urbanity_Urban,Size_5,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_yes,373029.55175620725,178.13425168329198,271.16407122195284,45.552879581151835,5.77969540581695
16,16,sex_male,Urbanity_Urban,Size_7,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_yes,382865.447516688,171.39311128277149,264.7872687142896,45.552879581151835,43.37772815797718
17,17,sex_female,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,215586.38797897185,128.75424905781992,157.59145925509938,45.552879581151835,0.0
18,18,sex_female,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,196683.83644622352,111.88705480995165,145.99989496319557,45.552879581151835,143.49043537086948
19,19,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,204913.9549725739,109.95844099108344,145.5834490248351,45.552879581151835,36.47173279438981
20,20,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,134702.66747970265,98.87588904478432,105.91461956529184,45.552879581151835,0.0
21,21,sex_female,Urbanity_Urban,Size_7,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,156846.12740245124,105.15669026853399,122.11204277332828,45.552879581151835,0.0
22,22,sex_female,Urbanity_Urban,Size_4,age_66_75,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_yes,435699.4891732025,176.81062417472268,299.2858934898741,45.552879581151835,0.0
23,23,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_yes,368272.43303649995,173.95439914836174,263.06273185244083,45.552879581151835,0.0
24,24,sex_female,Urbanity_Urban,Size_7,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_yes,391584.3884412049,176.44627404753732,279.09235916478616,45.552879581151835,31.592795435619923
