,index,i_Sex,i_FamilySize,i_Age,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,184855.555657,58.0676220785,129.808430329,2996.5833333333335,5442.712785783466
1,1,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,245807.247454,74.9726032663,173.08684025,2996.5833333333335,484.7645166260671
2,2,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,191694.899704,111.207077078,139.59159023799998,2996.5833333333335,3062.272697590468
3,3,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,184855.555657,58.0676220785,129.808430329,2996.5833333333335,5442.712785783466
4,4,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,245807.247454,74.9726032663,173.08684025,2996.5833333333335,484.7645166260671
5,5,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,191694.899704,111.207077078,139.59159023799998,2996.5833333333335,3062.272697590468
6,6,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,184855.555657,58.0676220785,129.808430329,2996.5833333333335,5442.712785783466
7,7,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,245807.247454,74.9726032663,173.08684025,2996.5833333333335,484.7645166260671
8,8,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,191694.899704,111.207077078,139.59159023799998,2996.5833333333335,3062.272697590468
9,9,sex_male,Size_4,age_46_55,Refrigeration_no,AC_no,184855.555657,58.0676220785,129.808430329,2996.5833333333335,5442.712785783466
10,10,sex_female,Size_5,age_66_75,Refrigeration_no,AC_no,245807.247454,74.9726032663,173.08684025,2996.5833333333335,484.7645166260671
11,11,sex_female,Size_4,age_46_55,Refrigeration_yes,AC_yes,191694.899704,111.207077078,139.59159023799998,2996.5833333333335,3062.272697590468
