,index,i_FamilySize,i_Age,e_TV,e_Refrigeration,Income,Electricity,Water,w,wf
0,0,Size_5,age_46_55,TV_yes,Refrigeration_yes,318168.73828499997,113.585481387,238.81362641099997,2724.5,4329.061884482564
1,1,Size_6,age_66_75,TV_no,Refrigeration_yes,367826.736804,123.001606439,271.696370837,2724.5,0.0
2,2,Size_5,age_46_55,TV_no,Refrigeration_no,312129.506759,93.1587571508,241.53159472599998,2724.5,3844.4381155174365
3,3,Size_5,age_46_55,TV_yes,Refrigeration_yes,318168.73828499997,113.585481387,238.81362641099997,2724.5,4329.061884482564
4,4,Size_6,age_66_75,TV_no,Refrigeration_yes,367826.736804,123.001606439,271.696370837,2724.5,0.0
5,5,Size_5,age_46_55,TV_no,Refrigeration_no,312129.506759,93.1587571508,241.53159472599998,2724.5,3844.4381155174365
6,6,Size_5,age_46_55,TV_yes,Refrigeration_yes,318168.73828499997,113.585481387,238.81362641099997,2724.5,4329.061884482564
7,7,Size_6,age_66_75,TV_no,Refrigeration_yes,367826.736804,123.001606439,271.696370837,2724.5,0.0
8,8,Size_5,age_46_55,TV_no,Refrigeration_no,312129.506759,93.1587571508,241.53159472599998,2724.5,3844.4381155174365
9,9,Size_5,age_46_55,TV_yes,Refrigeration_yes,318168.73828499997,113.585481387,238.81362641099997,2724.5,4329.061884482564
10,10,Size_6,age_66_75,TV_no,Refrigeration_yes,367826.736804,123.001606439,271.696370837,2724.5,0.0
11,11,Size_5,age_46_55,TV_no,Refrigeration_no,312129.506759,93.1587571508,241.53159472599998,2724.5,3844.4381155174365
