,index,i_Sex,i_FamilySize,i_Age,e_TV,e_Refrigeration,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_5,age_46_55,TV_yes,Refrigeration_yes,0,278868.871439,95.5659266776,209.07297518400003,2768.0833333333335,975.3819070292085
1,1,sex_male,Size_6,age_66_75,TV_no,Refrigeration_yes,2,322170.347382,102.78929888299999,237.688124597,2768.0833333333335,945.971526885102
2,2,sex_male,Size_5,age_46_55,TV_no,Refrigeration_no,2,273607.656902,76.6827044933,211.406120442,2768.0833333333335,1947.7898571262065
3,3,sex_male,Size_5,age_56_65,TV_yes,Refrigeration_no,3,291604.264744,92.1147439075,213.15824985700002,2768.0833333333335,4680.068474659881
4,4,sex_female,Size_3,age_36_45,TV_no,Refrigeration_yes,0,222693.057217,82.7454341757,169.024816106,2768.0833333333335,3525.8974538588354
5,5,sex_male,Size_7,age_26_35,TV_yes,Refrigeration_yes,3,293502.86784699996,103.42717025799999,218.54477172400001,2768.0833333333335,4533.390780440767
6,6,sex_male,Size_5,age_46_55,TV_yes,Refrigeration_yes,0,278868.871439,95.5659266776,209.07297518400003,2768.0833333333335,975.3819070292085
7,7,sex_male,Size_6,age_66_75,TV_no,Refrigeration_yes,2,322170.347382,102.78929888299999,237.688124597,2768.0833333333335,945.971526885102
8,8,sex_male,Size_5,age_46_55,TV_no,Refrigeration_no,2,273607.656902,76.6827044933,211.406120442,2768.0833333333335,1947.7898571262065
9,9,sex_male,Size_5,age_56_65,TV_yes,Refrigeration_no,3,291604.264744,92.1147439075,213.15824985700002,2768.0833333333335,4680.068474659881
10,10,sex_female,Size_3,age_36_45,TV_no,Refrigeration_yes,0,222693.057217,82.7454341757,169.024816106,2768.0833333333335,3525.8974538588354
11,11,sex_male,Size_7,age_26_35,TV_yes,Refrigeration_yes,3,293502.86784699996,103.42717025799999,218.54477172400001,2768.0833333333335,4533.390780440767
