,index,i_Sex,i_FamilySize,i_Age,e_Refrigeration,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_46_55,Refrigeration_yes,AC_no,2,139568.498543,57.93131088810001,96.07156528510001,3142.6666666666665,9058.467476596583
1,1,sex_female,Size_4,age_66_75,Refrigeration_yes,AC_no,2,192133.720393,71.5479727079,133.646136639,3142.6666666666665,2318.694279103025
2,2,sex_female,Size_3,age_46_55,Refrigeration_yes,AC_no,2,145905.26411199998,57.0805364299,104.22913101399999,3142.6666666666665,0.0
3,3,sex_male,Size_3,age_56_65,Refrigeration_yes,AC_yes,3,152368.238396,104.979622451,102.333292335,3142.6666666666665,2401.6058635950803
4,4,sex_female,Size_3,age_36_45,Refrigeration_no,AC_yes,3,223110.442415,114.04569319,169.343975566,3142.6666666666665,4293.412144122074
5,5,sex_male,Size_5,age_26_35,Refrigeration_no,AC_yes,3,158599.966595,95.68925491350001,109.257569031,3142.6666666666665,783.8202365832379
6,6,sex_male,Size_3,age_46_55,Refrigeration_yes,AC_no,2,139568.498543,57.93131088810001,96.07156528510001,3142.6666666666665,9058.467476596583
7,7,sex_female,Size_4,age_66_75,Refrigeration_yes,AC_no,2,192133.720393,71.5479727079,133.646136639,3142.6666666666665,2318.694279103025
8,8,sex_female,Size_3,age_46_55,Refrigeration_yes,AC_no,2,145905.26411199998,57.0805364299,104.22913101399999,3142.6666666666665,0.0
9,9,sex_male,Size_3,age_56_65,Refrigeration_yes,AC_yes,3,152368.238396,104.979622451,102.333292335,3142.6666666666665,2401.6058635950803
10,10,sex_female,Size_3,age_36_45,Refrigeration_no,AC_yes,3,223110.442415,114.04569319,169.343975566,3142.6666666666665,4293.412144122074
11,11,sex_male,Size_5,age_26_35,Refrigeration_no,AC_yes,3,158599.966595,95.68925491350001,109.257569031,3142.6666666666665,783.8202365832379
