,index,i_Sex,i_FamilySize,i_Age,e_Cooking,e_AC,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,Cooking_no,AC_yes,3,409335.517749,167.513735821,311.24468406299997,3402.25,4854.3967785588575
1,1,sex_male,Size_5,age_46_55,Cooking_no,AC_yes,3,332674.279193,148.46818189799998,245.31779206,3402.25,3459.7107821985046
2,2,sex_male,Size_4,age_46_55,Cooking_yes,AC_yes,3,410820.977953,177.720961992,303.681163013,3402.25,1895.3649230550884
3,3,sex_female,Size_3,age_46_55,Cooking_no,AC_no,1,400628.083478,125.528380771,306.350171214,3402.25,2707.913944950087
4,4,sex_female,Size_2,age_36_45,Cooking_no,AC_yes,1,360462.13769899996,159.220626,271.493773031,3402.25,5169.672059934321
5,5,sex_male,Size_4,age_36_45,Cooking_no,AC_yes,4,407857.05388099997,177.217085875,308.033079836,3402.25,2326.4415113031437
6,6,sex_male,Size_3,age_56_65,Cooking_no,AC_yes,3,409335.517749,167.513735821,311.24468406299997,3402.25,4854.3967785588575
7,7,sex_male,Size_5,age_46_55,Cooking_no,AC_yes,3,332674.279193,148.46818189799998,245.31779206,3402.25,3459.7107821985046
8,8,sex_male,Size_4,age_46_55,Cooking_yes,AC_yes,3,410820.977953,177.720961992,303.681163013,3402.25,1895.3649230550884
9,9,sex_female,Size_3,age_46_55,Cooking_no,AC_no,1,400628.083478,125.528380771,306.350171214,3402.25,2707.913944950087
10,10,sex_female,Size_2,age_36_45,Cooking_no,AC_yes,1,360462.13769899996,159.220626,271.493773031,3402.25,5169.672059934321
11,11,sex_male,Size_4,age_36_45,Cooking_no,AC_yes,4,407857.05388099997,177.217085875,308.033079836,3402.25,2326.4415113031437
