,index,i_Sex,i_FamilySize,i_Age,e_Cooking,w_Education,Income,Electricity,Water,w,wf
0,0,sex_male,Size_3,age_56_65,Cooking_no,2,497295.00180699996,192.133261062,370.93956122199995,3625.25,4905.495629370628
1,1,sex_male,Size_5,age_46_55,Cooking_no,3,420477.037179,171.706674371,306.27604456,3625.25,3885.1681690098694
2,2,sex_male,Size_4,age_46_55,Cooking_no,3,500167.142092,197.528462625,362.335304724,3625.25,235.32658873001265
3,3,sex_female,Size_3,age_46_55,Cooking_yes,1,488203.031217,192.624995229,366.890664656,3625.25,5713.652868896089
4,4,sex_female,Size_2,age_36_45,Cooking_yes,1,451211.31127600005,190.02957434299998,333.05351732099996,3625.25,3011.485644707337
5,5,sex_male,Size_4,age_36_45,Cooking_yes,4,500049.81225,208.528371771,369.567263744,3625.25,4000.3710992860624
6,6,sex_male,Size_3,age_56_65,Cooking_no,2,497295.00180699996,192.133261062,370.93956122199995,3625.25,4905.495629370628
7,7,sex_male,Size_5,age_46_55,Cooking_no,3,420477.037179,171.706674371,306.27604456,3625.25,3885.1681690098694
8,8,sex_male,Size_4,age_46_55,Cooking_no,3,500167.142092,197.528462625,362.335304724,3625.25,235.32658873001265
9,9,sex_female,Size_3,age_46_55,Cooking_yes,1,488203.031217,192.624995229,366.890664656,3625.25,5713.652868896089
10,10,sex_female,Size_2,age_36_45,Cooking_yes,1,451211.31127600005,190.02957434299998,333.05351732099996,3625.25,3011.485644707337
11,11,sex_male,Size_4,age_36_45,Cooking_yes,4,500049.81225,208.528371771,369.567263744,3625.25,4000.3710992860624
