,index,i_FamilySize,i_Age,e_Cooking,w_Education,Income,Electricity,Water,w,wf
0,0,Size_3,age_56_65,Cooking_yes,2,496856.23284099996,197.858166311,370.606113858,4419.9,0.0
1,1,Size_3,age_46_55,Cooking_yes,3,376726.857744,166.22219320600001,273.66233821099996,4419.9,5130.523882040944
2,2,Size_2,age_46_55,Cooking_no,2,456858.15620100003,185.305483669,331.03319639999995,4419.9,2680.4789845205823
3,3,Size_2,age_56_65,Cooking_yes,2,462394.066547,183.765783978,347.12202092300004,4419.9,5795.694442453814
4,4,Size_3,age_36_45,Cooking_yes,2,469438.87889799994,193.177002717,333.52656357,4419.9,8492.80269098466
5,5,Size_3,age_56_65,Cooking_yes,2,496856.23284099996,197.858166311,370.606113858,4419.9,0.0
6,6,Size_3,age_46_55,Cooking_yes,3,376726.857744,166.22219320600001,273.66233821099996,4419.9,5130.523882040944
7,7,Size_2,age_46_55,Cooking_no,2,456858.15620100003,185.305483669,331.03319639999995,4419.9,2680.4789845205823
8,8,Size_2,age_56_65,Cooking_yes,2,462394.066547,183.765783978,347.12202092300004,4419.9,5795.694442453814
9,9,Size_3,age_36_45,Cooking_yes,2,469438.87889799994,193.177002717,333.52656357,4419.9,8492.80269098466
