,index,n_BuildingSqm,n_BuildingKwh,c_n_BuildingSqm,c_n_BuildingKwh,NonRElectricity,w
0,0,4,6,837.2166583610001,293.0,104624.120488,0.117
1,1,4,6,837.2166583610001,293.0,104624.120488,0.117
2,2,8,8,406.726338714,243.0,29850.162028099996,0.117
3,3,8,8,406.726338714,243.0,29850.162028099996,0.117
4,4,8,6,406.726338714,243.0,29850.162028099996,0.117
5,5,8,6,406.726338714,243.0,29850.162028099996,0.117
6,6,8,1,406.726338714,243.0,29850.162028099996,0.117
7,7,6,6,637.229859886,296.0,65648.0431331,0.117
8,8,7,8,296.280540763,137.0,14168.9047685,0.117
9,9,4,4,837.2166583610001,293.0,104624.120488,0.117
10,10,4,4,837.2166583610001,293.0,104624.120488,0.117
11,11,4,4,837.2166583610001,293.0,104624.120488,0.117
12,12,6,4,637.229859886,296.0,65648.0431331,0.117
13,13,1,4,312.594751517,631.0,65940.4053426,0.117
14,14,8,4,406.726338714,243.0,29850.162028099996,0.117
15,15,0,4,719.587128022,262.0,77984.59555089999,0.117
16,16,6,4,637.229859886,296.0,65648.0431331,0.117
17,17,4,4,837.2166583610001,293.0,104624.120488,0.117
18,18,4,4,837.2166583610001,293.0,104624.120488,0.117
19,19,4,4,837.2166583610001,293.0,104624.120488,0.117
20,20,4,8,837.2166583610001,293.0,104624.120488,0.117
21,21,4,8,837.2166583610001,293.0,104624.120488,0.117
22,22,4,3,837.2166583610001,293.0,104624.120488,0.117
23,23,4,4,837.2166583610001,293.0,104624.120488,0.117
24,24,4,4,837.2166583610001,293.0,104624.120488,0.117
25,25,8,8,406.726338714,243.0,29850.162028099996,0.117
26,26,8,8,406.726338714,243.0,29850.162028099996,0.117
27,27,8,0,406.726338714,243.0,29850.162028099996,0.117
28,28,3,6,703.6254615639999,316.0,79114.259915,0.117
29,29,6,8,637.229859886,296.0,65648.0431331,0.117
30,30,8,8,406.726338714,243.0,29850.162028099996,0.117
31,31,1,8,312.594751517,631.0,65940.4053426,0.117
32,32,1,8,312.594751517,631.0,65940.4053426,0.117
33,33,8,8,406.726338714,243.0,29850.162028099996,0.117
34,34,6,4,637.229859886,296.0,65648.0431331,0.117
35,35,4,6,837.2166583610001,293.0,104624.120488,0.117
36,36,4,5,837.2166583610001,293.0,104624.120488,0.117
37,37,4,6,837.2166583610001,293.0,104624.120488,0.117
38,38,4,6,837.2166583610001,293.0,104624.120488,0.117
39,39,4,4,837.2166583610001,293.0,104624.120488,0.117
40,40,8,8,406.726338714,243.0,29850.162028099996,0.117
41,41,8,4,406.726338714,243.0,29850.162028099996,0.117
42,42,4,4,837.2166583610001,293.0,104624.120488,0.117
43,43,4,4,837.2166583610001,293.0,104624.120488,0.117
44,44,8,8,406.726338714,243.0,29850.162028099996,0.117
45,45,8,4,406.726338714,243.0,29850.162028099996,0.117
46,46,6,1,637.229859886,296.0,65648.0431331,0.117
47,47,8,4,406.726338714,243.0,29850.162028099996,0.117
48,48,8,8,406.726338714,243.0,29850.162028099996,0.117
49,49,6,5,637.229859886,296.0,65648.0431331,0.117
50,50,1,6,312.594751517,631.0,65940.4053426,0.117
51,51,5,6,497.42790442,233.0,40122.4338562,0.117
52,52,1,4,312.594751517,631.0,65940.4053426,0.117
53,53,1,8,312.594751517,631.0,65940.4053426,0.117
54,54,3,8,703.6254615639999,316.0,79114.259915,0.117
55,55,6,0,637.229859886,296.0,65648.0431331,0.117
56,56,4,1,837.2166583610001,293.0,104624.120488,0.117
57,57,3,4,703.6254615639999,316.0,79114.259915,0.117
58,58,6,8,637.229859886,296.0,65648.0431331,0.117
59,59,8,8,406.726338714,243.0,29850.162028099996,0.117
60,60,8,8,406.726338714,243.0,29850.162028099996,0.117
61,61,6,8,637.229859886,296.0,65648.0431331,0.117
62,62,0,8,719.587128022,262.0,77984.59555089999,0.117
63,63,1,5,312.594751517,631.0,65940.4053426,0.117
64,64,6,0,637.229859886,296.0,65648.0431331,0.117
65,65,1,7,312.594751517,631.0,65940.4053426,0.117
66,66,8,3,406.726338714,243.0,29850.162028099996,0.117
67,67,8,8,406.726338714,243.0,29850.162028099996,0.117
68,68,1,6,312.594751517,631.0,65940.4053426,0.117
69,69,6,6,637.229859886,296.0,65648.0431331,0.117
70,70,0,7,719.587128022,262.0,77984.59555089999,0.117
71,71,1,0,312.594751517,631.0,65940.4053426,0.117
72,72,1,4,312.594751517,631.0,65940.4053426,0.117
73,73,4,4,837.2166583610001,293.0,104624.120488,0.117
74,74,4,5,837.2166583610001,293.0,104624.120488,0.117
75,75,6,6,637.229859886,296.0,65648.0431331,0.117
76,76,8,6,406.726338714,243.0,29850.162028099996,0.117
77,77,7,8,296.280540763,137.0,14168.9047685,0.117
78,78,1,0,312.594751517,631.0,65940.4053426,0.117
79,79,0,3,719.587128022,262.0,77984.59555089999,0.117
80,80,3,4,703.6254615639999,316.0,79114.259915,0.117
81,81,6,4,637.229859886,296.0,65648.0431331,0.117
82,82,6,4,637.229859886,296.0,65648.0431331,0.117
83,83,0,4,719.587128022,262.0,77984.59555089999,0.117
84,84,0,3,719.587128022,262.0,77984.59555089999,0.117
85,85,7,1,296.280540763,137.0,14168.9047685,0.117
86,86,8,0,406.726338714,243.0,29850.162028099996,0.117
87,87,8,8,406.726338714,243.0,29850.162028099996,0.117
88,88,8,4,406.726338714,243.0,29850.162028099996,0.117
89,89,4,4,837.2166583610001,293.0,104624.120488,0.117
90,90,4,4,837.2166583610001,293.0,104624.120488,0.117
91,91,4,4,837.2166583610001,293.0,104624.120488,0.117
92,92,8,4,406.726338714,243.0,29850.162028099996,0.117
93,93,8,6,406.726338714,243.0,29850.162028099996,0.117
94,94,8,4,406.726338714,243.0,29850.162028099996,0.117
95,95,8,4,406.726338714,243.0,29850.162028099996,0.117
96,96,1,4,312.594751517,631.0,65940.4053426,0.117
97,97,7,6,296.280540763,137.0,14168.9047685,0.117
98,98,4,4,837.2166583610001,293.0,104624.120488,0.117
99,99,1,4,312.594751517,631.0,65940.4053426,0.117
100,100,4,4,837.2166583610001,293.0,104624.120488,0.117
101,101,4,4,837.2166583610001,293.0,104624.120488,0.117
102,102,8,4,406.726338714,243.0,29850.162028099996,0.117
103,103,6,4,637.229859886,296.0,65648.0431331,0.117
104,104,8,4,406.726338714,243.0,29850.162028099996,0.117
105,105,6,4,637.229859886,296.0,65648.0431331,0.117
106,106,0,4,719.587128022,262.0,77984.59555089999,0.117
107,107,4,8,837.2166583610001,293.0,104624.120488,0.117
108,108,4,8,837.2166583610001,293.0,104624.120488,0.117
109,109,4,5,837.2166583610001,293.0,104624.120488,0.117
110,110,1,6,312.594751517,631.0,65940.4053426,0.117
111,111,4,7,837.2166583610001,293.0,104624.120488,0.117
112,112,4,0,837.2166583610001,293.0,104624.120488,0.117
113,113,6,2,637.229859886,296.0,65648.0431331,0.117
114,114,1,6,312.594751517,631.0,65940.4053426,0.117
115,115,8,6,406.726338714,243.0,29850.162028099996,0.117
116,116,6,8,637.229859886,296.0,65648.0431331,0.117
117,117,6,8,637.229859886,296.0,65648.0431331,0.117
118,118,6,8,637.229859886,296.0,65648.0431331,0.117
119,119,1,8,312.594751517,631.0,65940.4053426,0.117
120,120,8,8,406.726338714,243.0,29850.162028099996,0.117
121,121,4,0,837.2166583610001,293.0,104624.120488,0.117
122,122,4,1,837.2166583610001,293.0,104624.120488,0.117
123,123,4,0,837.2166583610001,293.0,104624.120488,0.117
124,124,4,8,837.2166583610001,293.0,104624.120488,0.117
125,125,4,1,837.2166583610001,293.0,104624.120488,0.117
126,126,4,4,837.2166583610001,293.0,104624.120488,0.117
127,127,4,2,837.2166583610001,293.0,104624.120488,0.117
128,128,4,8,837.2166583610001,293.0,104624.120488,0.117
129,129,4,6,837.2166583610001,293.0,104624.120488,0.117
130,130,3,6,703.6254615639999,316.0,79114.259915,0.117
131,131,4,4,837.2166583610001,293.0,104624.120488,0.117
132,132,8,4,406.726338714,243.0,29850.162028099996,0.117
133,133,8,8,406.726338714,243.0,29850.162028099996,0.117
134,134,4,8,837.2166583610001,293.0,104624.120488,0.117
135,135,3,4,703.6254615639999,316.0,79114.259915,0.117
136,136,0,1,719.587128022,262.0,77984.59555089999,0.117
137,137,5,3,497.42790442,233.0,40122.4338562,0.117
138,138,8,1,406.726338714,243.0,29850.162028099996,0.117
139,139,8,8,406.726338714,243.0,29850.162028099996,0.117
140,140,4,4,837.2166583610001,293.0,104624.120488,0.117
141,141,4,4,837.2166583610001,293.0,104624.120488,0.117
142,142,6,4,637.229859886,296.0,65648.0431331,0.117
143,143,4,4,837.2166583610001,293.0,104624.120488,0.117
144,144,1,6,312.594751517,631.0,65940.4053426,0.117
145,145,6,6,637.229859886,296.0,65648.0431331,0.117
146,146,6,1,637.229859886,296.0,65648.0431331,0.117
147,147,6,4,637.229859886,296.0,65648.0431331,0.117
148,148,3,4,703.6254615639999,316.0,79114.259915,0.117
149,149,1,3,312.594751517,631.0,65940.4053426,0.117
150,150,1,1,312.594751517,631.0,65940.4053426,0.117
151,151,2,3,1165.99458393,592.0,227392.473629,0.117
