,index,n_BuildingSqm,n_BuildingKwh,c_n_BuildingSqm,c_n_BuildingKwh,NonRElectricity,w
0,0,1,4,312.5947515174914,631.0,65632.75811061822,0.117
1,1,1,4,312.5947515174914,631.0,65632.75811061822,0.117
2,2,6,4,637.2298598861562,296.0,65341.759927087274,0.117
3,3,8,4,406.72633871362433,243.0,29710.895069066504,0.117
4,4,8,8,406.72633871362433,243.0,29710.895069066504,0.117
5,5,1,8,312.5947515174914,631.0,65632.75811061822,0.117
6,6,3,6,703.625461563575,316.0,78745.14961067829,0.117
7,7,1,6,312.5947515174914,631.0,65632.75811061822,0.117
8,8,4,6,837.2166583606537,293.0,104135.99305079236,0.117
9,9,5,4,497.4279044195864,233.0,39935.241259193266,0.117
10,10,8,4,406.72633871362433,243.0,29710.895069066504,0.117
11,11,7,4,296.28054076293597,137.0,14102.799255324951,0.117
12,12,4,4,837.2166583606537,293.0,104135.99305079236,0.117
13,13,4,1,837.2166583606537,293.0,104135.99305079236,0.117
14,14,4,6,837.2166583606537,293.0,104135.99305079236,0.117
15,15,3,7,703.625461563575,316.0,78745.14961067829,0.117
16,16,8,6,406.72633871362433,243.0,29710.895069066504,0.117
17,17,1,4,312.5947515174914,631.0,65632.75811061822,0.117
18,18,0,4,719.5871280224214,262.0,77620.75573468984,0.117
19,19,4,6,837.2166583606537,293.0,104135.99305079236,0.117
20,20,7,4,296.28054076293597,137.0,14102.799255324951,0.117
21,21,8,4,406.72633871362433,243.0,29710.895069066504,0.117
22,22,4,0,837.2166583606537,293.0,104135.99305079236,0.117
23,23,4,0,837.2166583606537,293.0,104135.99305079236,0.117
24,24,3,3,703.625461563575,316.0,78745.14961067829,0.117
25,25,1,6,312.5947515174914,631.0,65632.75811061822,0.117
26,26,1,6,312.5947515174914,631.0,65632.75811061822,0.117
27,27,6,8,637.2298598861562,296.0,65341.759927087274,0.117
28,28,6,4,637.2298598861562,296.0,65341.759927087274,0.117
29,29,4,8,837.2166583606537,293.0,104135.99305079236,0.117
30,30,4,4,837.2166583606537,293.0,104135.99305079236,0.117
31,31,4,4,837.2166583606537,293.0,104135.99305079236,0.117
32,32,4,7,837.2166583606537,293.0,104135.99305079236,0.117
33,33,1,8,312.5947515174914,631.0,65632.75811061822,0.117
34,34,0,0,719.5871280224214,262.0,77620.75573468984,0.117
35,35,0,8,719.5871280224214,262.0,77620.75573468984,0.117
36,36,8,8,406.72633871362433,243.0,29710.895069066504,0.117
37,37,3,1,703.625461563575,316.0,78745.14961067829,0.117
38,38,3,6,703.625461563575,316.0,78745.14961067829,0.117
39,39,3,5,703.625461563575,316.0,78745.14961067829,0.117
40,40,0,1,719.5871280224214,262.0,77620.75573468984,0.117
41,41,1,8,312.5947515174914,631.0,65632.75811061822,0.117
42,42,0,8,719.5871280224214,262.0,77620.75573468984,0.117
43,43,6,8,637.2298598861562,296.0,65341.759927087274,0.117
