n_BuildingSqm,n_BuildingKwh,c_n_BuildingSqm,c_n_BuildingKwh,NonRElectricity__0
4,4,837.2166583606536,293.0,104135.99305079237
1,4,312.5947515174914,631.0,65632.75811061823
1,1,312.5947515174914,631.0,65632.75811061823
1,3,312.5947515174914,631.0,65632.75811061823
6,1,637.2298598861562,296.0,65341.759927087274
6,1,637.2298598861562,296.0,65341.759927087274
6,1,637.2298598861562,296.0,65341.759927087274
6,6,637.2298598861562,296.0,65341.759927087274
8,0,406.7263387136243,243.0,29710.895069066504
4,0,837.2166583606536,293.0,104135.99305079237
4,7,837.2166583606536,293.0,104135.99305079237
1,0,312.5947515174914,631.0,65632.75811061823
4,5,837.2166583606536,293.0,104135.99305079237
4,7,837.2166583606536,293.0,104135.99305079237
8,4,406.7263387136243,243.0,29710.895069066504
4,4,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
6,6,637.2298598861562,296.0,65341.759927087274
6,6,637.2298598861562,296.0,65341.759927087274
4,6,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
4,4,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
4,2,837.2166583606536,293.0,104135.99305079237
4,8,837.2166583606536,293.0,104135.99305079237
0,8,719.5871280224214,262.0,77620.75573468984
6,8,637.2298598861562,296.0,65341.759927087274
6,8,637.2298598861562,296.0,65341.759927087274
6,6,637.2298598861562,296.0,65341.759927087274
5,6,497.4279044195864,233.0,39935.24125919327
0,6,719.5871280224214,262.0,77620.75573468984
1,8,312.5947515174914,631.0,65632.75811061823
1,8,312.5947515174914,631.0,65632.75811061823
6,8,637.2298598861562,296.0,65341.759927087274
6,4,637.2298598861562,296.0,65341.759927087274
6,4,637.2298598861562,296.0,65341.759927087274
6,8,637.2298598861562,296.0,65341.759927087274
6,4,637.2298598861562,296.0,65341.759927087274
4,4,837.2166583606536,293.0,104135.99305079237
4,8,837.2166583606536,293.0,104135.99305079237
4,1,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
8,6,406.7263387136243,243.0,29710.895069066504
8,6,406.7263387136243,243.0,29710.895069066504
8,8,406.7263387136243,243.0,29710.895069066504
4,8,837.2166583606536,293.0,104135.99305079237
4,8,837.2166583606536,293.0,104135.99305079237
7,6,296.28054076293597,137.0,14102.799255324953
2,6,1165.9945839264515,592.0,226331.5662108051
6,6,637.2298598861562,296.0,65341.759927087274
6,6,637.2298598861562,296.0,65341.759927087274
8,6,406.7263387136243,243.0,29710.895069066504
4,4,837.2166583606536,293.0,104135.99305079237
4,5,837.2166583606536,293.0,104135.99305079237
4,8,837.2166583606536,293.0,104135.99305079237
4,8,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
4,8,837.2166583606536,293.0,104135.99305079237
4,8,837.2166583606536,293.0,104135.99305079237
4,6,837.2166583606536,293.0,104135.99305079237
4,8,837.2166583606536,293.0,104135.99305079237
