,AC_no,AC_yes,Cooking_no,Cooking_yes,Education_College,Education_Elementary_School,Education_High_School,Education_Post_Graduate,Education_Post_Secondary,Lighting_no,Lighting_yes,Refrigeration_no,Refrigeration_yes,Size_1,Size_10,Size_2,Size_3,Size_4,Size_5,Size_6,Size_7,Size_8,Size_9,TV_no,TV_yes,Urbanity_Rural,Urbanity_Urban,age_0_18,age_19_25,age_26_35,age_36_45,age_46_55,age_56_65,age_66_75,age_76_85,age_86_100,pop,sex_female,sex_male
2010,29424.6,3269.4,32255,439,5349.927272727273,10699.854545454546,9510.981818181817,1188.8727272727272,5944.363636363636,2677,30017,21582,11112,594.4363636363636,1783.3090909090909,2972.181818181818,3566.6181818181817,6538.8,6538.8,2377.7454545454543,4161.054545454545,2972.181818181818,1188.8727272727272,9153,23541,17231.447468158614,15462.552531841387,0.0,594.4363636363636,3566.6181818181817,10105.418181818182,8322.10909090909,5944.363636363636,2972.181818181818,594.4363636363636,594.4363636363636,32694.0,6538.8,26155.2
2011,29891.6,3324.4,32762,455,5440.92727272727,10869.8545454545,9648.981818181821,,6049.363636363641,2712,30505,21928,11289,600.436363636364,1811.30909090909,3005.1818181818203,3625.61818181818,6658.8,6640.8,2416.7454545454502,4223.05454545455,3029.1818181818203,1205.8727272727301,9299,23918,,,0.0,603.436363636364,3632.61818181818,10273.418181818199,8451.10909090909,6036.363636363641,3018.1818181818203,601.436363636364,600.436363636364,,6633.8,26583.2
2012,30353.6,3393.4,33295,453,5511.92727272727,11057.8545454545,9822.981818181821,,6133.363636363641,2767,30981,22281,11467,613.436363636364,1846.30909090909,3084.1818181818203,3686.61818181818,6730.8,6732.8,2458.7454545454502,4303.05454545455,3072.1818181818203,1219.8727272727301,9443,24305,,,0.0,610.436363636364,3678.61818181818,10429.418181818199,8599.10909090909,6141.363636363641,3059.1818181818203,616.436363636364,613.436363636364,,6762.8,26985.2
2013,30848.6,3438.4,33832,456,5596.92727272727,11212.8545454545,10013.981818181801,,6218.363636363641,2799,31489,22629,11659,626.436363636364,1860.30909090909,3114.1818181818203,3762.61818181818,6823.8,6860.8,2501.7454545454502,4366.05454545455,3120.1818181818203,1251.8727272727301,9610,24678,,,0.0,617.436363636364,3751.61818181818,10623.418181818199,8705.10909090909,6223.363636363641,3126.1818181818203,620.436363636364,620.436363636364,,6852.8,27435.2
2014,31341.6,3493.4,34375,461,5664.92727272727,11441.8545454545,10119.981818181801,,6333.363636363641,2844,31992,23011,11825,635.436363636364,1908.30909090909,3144.1818181818203,3796.61818181818,6966.8,6972.8,2546.7454545454502,4421.05454545455,3169.1818181818203,1274.8727272727301,9744,25092,,,0.0,632.436363636364,3780.61818181818,10770.418181818199,8859.10909090909,6336.363636363641,3182.1818181818203,638.436363636364,636.436363636364,,6956.8,27879.2
2015,31888.6,3503.4,34922,471,5781.92727272727,11594.8545454545,10318.981818181801,,6408.363636363641,2895,32498,23376,12017,642.436363636364,1921.30909090909,3215.1818181818203,3869.61818181818,7097.8,7051.8,2570.7454545454502,4524.05454545455,3211.1818181818203,1288.8727272727301,9896,25497,,,0.0,641.436363636364,3868.61818181818,10975.418181818199,8985.10909090909,6419.363636363641,3223.1818181818203,642.436363636364,637.436363636364,,7065.8,28327.2
2016,32377.6,3580.4,35466,493,5872.92727272727,11790.8545454545,10420.981818181801,,6575.363636363641,2961,32998,23741,12218,642.436363636364,1943.30909090909,3276.1818181818203,3924.61818181818,7183.8,7216.8,2597.7454545454502,4582.05454545455,3273.1818181818203,1318.8727272727301,10083,25876,,,0.0,645.436363636364,3918.61818181818,11088.4181818182,9163.10909090909,6562.363636363641,3267.1818181818203,664.436363636364,649.436363636364,,7218.8,28740.2
2017,32863.6,3669.4,36051,483,5958.92727272727,11986.8545454545,10613.981818181801,,6662.363636363641,2967,33567,24099,12435,677.436363636364,1984.30909090909,3326.1818181818203,3947.61818181818,7355.8,7302.8,2626.7454545454502,4637.05454545455,3340.1818181818203,1335.8727272727301,10206,26328,,,0.0,665.436363636364,3979.61818181818,11290.4181818182,9266.10909090909,6681.363636363641,3320.1818181818203,665.436363636364,665.436363636364,,7314.8,29219.2
2018,33428.6,3688.4,36623,495,6046.92727272727,12169.8545454545,10805.981818181801,,6762.363636363641,2997,34121,24503,12615,680.436363636364,2022.30909090909,3390.1818181818203,4035.61818181818,7449.8,7396.8,2691.7454545454502,4711.05454545455,3376.1818181818203,1363.8727272727301,10417,26701,,,0.0,670.436363636364,4052.61818181818,11448.4181818182,9395.10909090909,6798.363636363641,3391.1818181818203,681.436363636364,680.436363636364,,7417.8,29700.2
2019,33901.6,3809.4,37220,492,6191.92727272727,12294.8545454545,10964.981818181801,,6876.363636363641,3089,34623,24907,12805,669.436363636364,2058.30909090909,3453.1818181818203,4118.61818181818,7573.8,7525.8,2719.7454545454502,4788.05454545455,3432.1818181818203,1372.8727272727301,10585,27127,,,0.0,691.436363636364,4112.61818181818,11679.4181818182,9611.10909090909,6855.363636363641,3389.1818181818203,684.436363636364,688.436363636364,,7589.8,30122.2
