,Family_Size,HH_head_Sex,HH_head_Age,Education,Electricity_expenditure,Water_expenditure,Total_Family_Income,Urbanity
0,5.5,1,52,2.0,1500,0,23939.666666666668,0
1,7.5,1,70,1.0,1608,0,16078.166666666666,0
2,3.0,1,49,2.0,8880,0,20925.0,0
3,2.0,2,51,1.0,900,2190,9932.333333333334,0
4,6.0,1,36,1.0,3360,0,13589.5,0
5,5.0,1,35,2.0,2880,0,8576.666666666666,0
6,5.5,1,49,2.0,3072,0,23025.833333333332,0
7,5.5,2,61,1.0,0,0,16660.333333333332,0
9,3.5,1,41,4.0,17202,300,47233.833333333336,0
11,3.0,2,75,1.0,4212,3024,16521.333333333332,0
12,4.5,1,74,1.0,6210,4086,20254.333333333332,0
13,6.5,2,55,2.0,3900,2940,16368.0,0
14,4.5,1,60,1.0,6000,0,16761.5,0
15,8.0,2,50,3.0,3750,0,17079.0,0
16,5.5,2,58,2.0,3750,0,30948.666666666668,0
17,4.5,1,51,1.0,6000,0,13173.333333333334,0
18,5.0,1,62,1.0,3600,5046,31578.833333333332,0
20,1.0,1,45,2.0,1980,480,11123.666666666666,0
22,3.0,2,59,2.0,14454,4200,24583.333333333332,0
23,6.0,1,79,2.0,6600,2910,16772.666666666668,0
25,3.0,2,73,1.0,9600,3000,22534.333333333332,0
26,8.0,2,81,1.0,5700,0,29853.0,0
27,5.5,2,64,4.0,7200,0,29074.166666666668,0
28,1.0,2,59,4.0,1200,1200,47916.666666666664,0
29,2.5,2,56,3.0,19896,4200,17291.666666666668,0
31,2.0,2,91,1.0,5400,900,16478.333333333332,0
32,2.0,1,44,2.0,13200,7500,42833.333333333336,0
33,7.0,1,49,3.0,3300,3360,22710.333333333332,0
34,5.0,1,38,1.0,3600,2220,22106.666666666668,0
35,2.0,2,64,1.0,4824,2670,25424.666666666668,0
36,5.0,1,80,3.0,19200,10800,43720.0,0
37,3.5,1,57,2.0,13686,3510,11046.833333333334,0
38,4.0,1,39,3.0,4800,2220,27466.666666666668,0
39,1.5,2,90,1.0,900,0,4793.333333333333,0
40,4.0,2,38,3.0,4422,2220,13116.666666666666,0
41,4.0,1,53,1.0,0,0,7431.166666666667,0
42,7.0,1,44,1.0,0,0,11336.166666666666,0
43,5.0,1,33,3.0,0,0,6389.333333333333,0
44,6.0,1,50,2.0,2400,0,10792.5,0
45,10.0,1,59,2.0,4380,0,19750.666666666668,0
46,9.0,1,55,1.0,2730,0,13883.833333333334,0
47,2.0,1,52,2.0,6648,0,6176.666666666667,0
48,2.5,2,79,1.0,2400,0,9740.166666666666,0
49,3.0,1,74,1.0,4290,0,9765.666666666666,0
50,1.0,2,77,1.0,0,300,3627.5,0
51,2.0,1,54,2.0,3600,150,8880.333333333334,0
52,5.0,1,46,2.0,0,300,10965.0,0
53,5.0,1,57,2.0,4170,0,24214.0,0
54,6.0,1,40,1.0,0,1800,5870.0,0
55,6.5,1,50,1.0,600,0,8919.666666666666,0
56,5.5,2,62,1.0,2250,0,20496.333333333332,0
57,3.0,1,31,2.0,2580,0,11018.166666666666,0
58,5.0,1,44,2.0,2400,0,15737.166666666666,0
59,3.0,1,70,1.0,2100,0,13025.666666666666,0
