,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Urban,Size_6,age_66_75,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_yes,239562.071328,110.233033489,173.72572194400001,36.30051282051282,4.353588745093727
3,3,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_yes,Refrigeration_no,AC_no,285447.065502,90.40485778899999,204.986644203,36.30051282051282,57.589479158919936
4,4,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,145077.097943,50.6992315771,109.03348130200001,36.30051282051282,55.5688547489773
5,5,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,194628.921079,99.7367744109,136.125609471,36.30051282051282,26.48333133346794
6,6,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,77896.60889310001,63.6358106105,49.116737131499995,36.30051282051282,68.6923312709045
7,7,sex_male,Urbanity_Rural,Size_3,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,242239.112048,118.36827458,159.965431825,36.30051282051282,34.2292239283843
8,8,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,207001.804787,108.099395428,154.513546257,36.30051282051282,22.19630939331591
9,9,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,159596.002694,96.08689507860001,118.86204501200001,36.30051282051282,20.696696133638294
10,10,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,170836.675498,95.9068489575,128.178362655,36.30051282051282,19.227844538220644
12,12,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,214161.786945,82.1972686016,159.425193094,36.30051282051282,18.021124915264377
13,13,sex_male,Urbanity_Rural,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,175349.134287,63.564098791099994,119.190985322,36.30051282051282,27.48858932844481
14,14,sex_female,Urbanity_Rural,Size_2,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,128401.592461,40.1714192542,87.3270956148,36.30051282051282,38.746077295395395
15,15,sex_female,Urbanity_Rural,Size_4,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,226997.341662,110.79394729799999,153.01646657,36.30051282051282,63.59295273782835
16,16,sex_female,Urbanity_Rural,Size_4,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,123762.366274,37.283712294000004,84.764658222,36.30051282051282,16.70804557579225
17,17,sex_female,Urbanity_Rural,Size_5,age_26_35,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_no,142056.32170899998,48.59380922840001,98.3946369605,36.30051282051282,47.98882385834555
19,19,sex_male,Urbanity_Rural,Size_6,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_yes,Refrigeration_yes,AC_yes,269456.626798,133.059249758,184.871294165,36.30051282051282,28.7639041098408
20,20,sex_female,Urbanity_Urban,Size_3,age_26_35,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,262748.216972,93.1989022523,192.385003698,36.30051282051282,54.015567029853926
21,21,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,206736.49525,111.80456283299999,156.926909706,36.30051282051282,34.344578089078105
22,22,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,298148.669614,101.330901322,212.501360358,36.30051282051282,40.53037808145153
23,23,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,236127.419357,84.9065267437,171.40155039,36.30051282051282,57.24872049477294
25,25,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,111144.362327,52.1910130383,81.265096301,36.30051282051282,12.704655726219993
27,27,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_High_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_yes,AC_no,164892.272321,59.4379362578,125.993058839,36.30051282051282,3.230331543405076
28,28,sex_male,Urbanity_Urban,Size_7,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,183760.928253,68.65632830770001,134.50958593299998,36.30051282051282,43.92345922556693
29,29,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,127357.130681,85.5582587766,91.32440528219999,36.30051282051282,66.7151395253781
30,30,sex_male,Urbanity_Urban,Size_2,age_26_35,Education_Elementary_School,Lighting_yes,TV_no,Cooking_no,Refrigeration_no,AC_no,106371.409451,39.0757048747,78.71570197289998,36.30051282051282,78.98683469948034
31,31,sex_female,Urbanity_Rural,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,209390.503609,71.4770742323,141.847139763,36.30051282051282,56.75215865066447
