,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
0,0,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,62363.299279900006,76.6046753128,37.7393008183,38.7584789311408,71.55090352998978
1,1,sex_male,Urbanity_Rural,Size_2,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,209911.938666,64.3644998826,143.402135563,38.7584789311408,22.9706205614259
2,2,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,104258.289767,52.002926376400005,69.946787291,38.7584789311408,3.787172635201061
3,3,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,144700.591032,64.5340077348,106.38744715799999,38.7584789311408,38.12767031217131
4,4,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_yes,236767.831153,124.473871819,173.468384299,38.7584789311408,7.969302001835974
5,5,sex_female,Urbanity_Urban,Size_5,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_no,AC_yes,154252.05925299998,92.4927036178,112.56948346,38.7584789311408,58.88235356608675
6,6,sex_male,Urbanity_Rural,Size_7,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,220871.182827,79.3857739736,154.89365364,38.7584789311408,53.92685504211701
7,7,sex_male,Urbanity_Rural,Size_8,age_26_35,Education_College,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,261700.552242,86.070026162,179.10789468,38.7584789311408,84.93616044594597
8,8,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,175169.627001,74.3391739881,133.128127242,38.7584789311408,0.0
9,9,sex_female,Urbanity_Urban,Size_7,age_66_75,Education_High_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,251880.208113,91.5799863304,182.17997973099997,38.7584789311408,30.36735570252714
10,10,sex_female,Urbanity_Urban,Size_4,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,Refrigeration_yes,AC_no,141774.754947,59.4023387882,105.21204638200001,38.7584789311408,53.75356200545606
