,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,124.564605517,247556.422703,178.50170972700005,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,0.0,81.0,1,11.043610537737734
1,139.318287311,266540.657004,182.904076675,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_4,sex_female,Urbanity_Urban,1.0,81.0,1,32.8402139230341
3,112.256249197,187979.344878,140.46277402299998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,3.0,61.0,1,15.169165455448791
5,97.9167626185,136359.992035,92.0391277525,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Rural,5.0,1.0,1,24.529313360638962
6,79.9568587903,78335.5394986,51.0340294184,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_female,Urbanity_Rural,6.0,1.0,1,64.11326125028255
7,93.620409261,111768.113915,84.1383039687,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_1,sex_male,Urbanity_Urban,7.0,31.0,1,5.026976432056829
8,99.5649587663,137514.385136,101.59081679399999,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_High_School,Size_1,sex_male,Urbanity_Urban,8.0,31.0,1,17.488158854368077
9,108.90541360600001,139651.416841,102.65074520200001,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,9.0,31.0,1,65.17742932806853
10,74.6371842515,209393.227583,153.460612211,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,10.0,81.0,1,38.635765761025
11,71.9048946911,195399.106191,142.505023163,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,11.0,81.0,1,4.523969558505588
12,93.9016202933,252416.942766,189.018175947,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_1,sex_female,Urbanity_Urban,12.0,81.0,1,7.504758102437261
13,62.201809886599996,132505.775839,97.71916794270001,AC_no,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,13.0,31.0,1,62.3358608376071
