,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_Refrigeration,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,118.772435929,219924.707302,156.432374784,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_Post_Secondary,Size_7,sex_male,Urbanity_Rural,0.0,1.0,1,5.525051997533928
3,145.667176097,290906.55443200003,209.260757665,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_College,Size_6,sex_male,Urbanity_Urban,3.0,1.0,1,19.388731515784976
5,126.17921228,238408.598121,167.799910339,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_9,sex_male,Urbanity_Rural,5.0,1.0,1,31.904551760959396
6,76.6268881464,93622.3119502,61.4482004914,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Rural,6.0,101.0,1,12.831997869526443
7,112.189259091,206919.044212,153.841032331,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_6,sex_female,Urbanity_Urban,7.0,1.0,1,22.734999036773033
9,133.570458362,271391.848621,200.236524848,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,9.0,1.0,1,28.981957009970962
10,112.708236862,203024.443948,148.26171278299998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_High_School,Size_7,sex_male,Urbanity_Urban,10.0,1.0,1,63.29472007544183
11,111.98336406700001,208531.205843,156.186703331,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,11.0,1.0,1,97.03716766860079
12,99.7383671851,161049.491112,114.35673972299999,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,12.0,1.0,1,92.05605067620569
13,104.23959634299999,163035.69302,109.867172254,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,13.0,1.0,1,33.611179828315485
14,117.21739272200001,192550.687352,131.316222253,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Rural,14.0,1.0,1,8.100100268022793
15,126.90707209,250397.22121100003,181.229441435,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,15.0,1.0,1,38.812487882766476
16,104.907740805,174042.171741,131.557957356,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,16.0,1.0,1,42.077541172604676
17,78.8681013633,66748.7518724,42.738893035,AC_yes,Cooking_yes,Lighting_yes,Refrigeration_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,17.0,101.0,1,11.088941782231473
18,121.67633823,212506.586942,161.287750271,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,18.0,1.0,1,53.654038398012105
19,128.107732841,270606.509005,194.781980578,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_College,Size_2,sex_female,Urbanity_Urban,19.0,1.0,1,71.5119107973734
20,94.2601768201,141228.493026,97.00277285860001,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,20.0,1.0,1,142.75207267746427
24,124.858877463,228611.247787,169.629865268,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_66_75,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,24.0,1.0,1,55.90239835944317
26,113.23225657100001,210515.178458,144.690627813,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_86_100,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,26.0,1.0,1,392.9999908168811
28,96.3382462059,156013.409004,107.91335401200001,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_6,sex_male,Urbanity_Rural,28.0,1.0,1,5.8900841721223545
30,88.2661706823,209188.283287,153.709245098,AC_no,Cooking_yes,Lighting_yes,Refrigeration_yes,age_46_55,Education_High_School,Size_7,sex_male,Urbanity_Urban,30.0,1.0,1,49.441132380660676
32,109.527216085,180183.720653,130.221319326,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Elementary_School,Size_8,sex_male,Urbanity_Urban,32.0,101.0,1,10.59773066557554
33,132.859260689,255430.674219,185.35553537799998,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,33.0,1.0,1,43.30772426199457
36,123.756517199,232507.664724,170.540861288,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,36.0,1.0,1,28.14295883771937
38,122.91971326299999,233899.483741,156.063172058,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Rural,38.0,1.0,1,6.513470136606751
39,101.66878887200001,134957.06232599998,97.6732984114,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_36_45,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,39.0,101.0,1,5.729317774494589
40,96.22825914549999,120536.065718,81.5613079574,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_26_35,Education_High_School,Size_4,sex_female,Urbanity_Rural,40.0,1.0,1,32.51239527681665
42,128.634156684,243276.294653,173.298792072,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,42.0,1.0,1,6.945946928371675
43,134.62126414,262526.961218,188.10358721900002,AC_yes,Cooking_no,Lighting_yes,Refrigeration_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,43.0,1.0,1,34.53332994657076
