,Electricity,Income,Water,e_AC,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,120.868588852,235643.656965,170.6719118,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,0.0,1.0,1,24.128565498128413
1,110.15165597200001,190985.244213,143.753438971,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Urban,1.0,1.0,1,42.052871912895775
2,134.745189164,248217.247904,183.986308531,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,2.0,1.0,1,12.813419082881275
3,141.123229691,296692.481862,207.961560514,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_6,sex_female,Urbanity_Urban,3.0,1.0,1,14.474571773594553
7,126.48150063799999,199050.038097,144.558975708,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,7.0,1.0,1,25.57600794149856
8,138.025647196,257495.310309,188.192208965,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,8.0,1.0,1,121.9257526033538
9,85.98995456549999,120016.580757,77.7116254634,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Rural,9.0,1.0,1,115.881794769
10,135.043238423,260493.396025,191.009800488,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,10.0,1.0,1,118.9257526033538
11,128.80487987799998,229851.528037,172.296314643,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,11.0,1.0,1,46.4517598507364
12,96.9613660351,136719.86999200002,98.76389179040001,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,12.0,101.0,1,3.8338821520456463
13,135.393009003,251178.64158400003,178.555883858,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,13.0,1.0,1,72.84885895595973
14,89.5811045726,141420.742233,93.9648358323,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Rural,14.0,1.0,1,45.05846646742457
17,119.211202265,167225.159313,123.284848002,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,17.0,1.0,1,65.79930656707718
18,118.79151292899999,172925.53789200002,123.467181077,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_7,sex_male,Urbanity_Urban,18.0,101.0,1,10.762108539834571
19,132.66844759100002,287540.134536,210.446994509,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,19.0,1.0,1,48.3606556058697
22,119.399743944,213955.488629,158.130263659,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,22.0,1.0,1,112.53025590006308
23,80.9333794213,101466.495725,66.3166918511,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_male,Urbanity_Rural,23.0,101.0,1,4.009474984578965
24,125.02881598100001,217615.341325,145.016050554,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,24.0,1.0,1,95.77960733818482
25,68.17704403970001,59766.7707545,35.150312793000005,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,25.0,101.0,1,11.649418154366742
26,104.90047740700001,123602.33211,84.310625923,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Rural,26.0,1.0,1,72.64816794647659
27,112.70018490700001,201245.088734,137.564556273,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_1,sex_female,Urbanity_Rural,27.0,1.0,1,22.270086930313074
28,92.78092821450001,115883.406034,86.2060226047,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,28.0,101.0,1,11.643823599837958
30,95.8745565059,135038.575354,97.5467744467,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,30.0,101.0,1,11.833882152045646
31,101.60445640399999,161258.916607,110.69575218,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,31.0,1.0,1,80.87560135140698
32,120.855486579,221300.094701,161.47780336,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,32.0,1.0,1,98.7951606245745
33,145.063455809,281828.486664,196.285503169,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,33.0,1.0,1,51.84725655402708
34,138.752867645,310871.997962,228.74112162400002,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,34.0,1.0,1,25.50557511324071
36,144.470376482,275374.466639,193.32921798,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_College,Size_2,sex_female,Urbanity_Urban,36.0,1.0,1,51.521281031858045
38,110.523746871,200329.880834,139.9196744,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_female,Urbanity_Rural,38.0,1.0,1,31.078925006489836
40,129.314046127,245571.79140500003,171.416080043,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_1,sex_female,Urbanity_Urban,40.0,1.0,1,23.58294310706373
41,111.363467004,172159.512714,117.61698224,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,41.0,1.0,1,90.38411063489414
42,98.4634063167,162143.134226,112.72786279399999,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,42.0,1.0,1,115.53585045459187
44,138.894683055,296487.617758,211.925296395,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_College,Size_7,sex_male,Urbanity_Urban,44.0,1.0,1,66.09795857117889
45,89.2762674734,87744.3685981,55.6870602834,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Rural,45.0,101.0,1,6.839476706574445
46,134.990053979,259884.803676,182.78523171,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,46.0,1.0,1,120.9257526033538
47,93.9522326161,145519.972793,108.160082498,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,47.0,101.0,1,2.167287025599588
49,106.009849964,167886.715972,117.53895335899999,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,49.0,1.0,1,89.38411063489414
50,104.017294867,168660.06514000002,125.00018915700001,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Urban,50.0,1.0,1,78.05921793615697
51,136.354729308,274595.209463,195.689331177,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,51.0,1.0,1,46.2591574769077
53,100.496195434,156808.59635799998,113.576668216,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,53.0,1.0,1,94.95104638677496
54,127.391542705,258661.96506,187.268361586,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,54.0,1.0,1,119.9257526033538
56,95.6674891767,123544.855324,90.5146587808,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,56.0,101.0,1,6.908728324349369
57,100.325716995,144750.348478,107.041899386,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,57.0,101.0,1,3.2305700091278027
58,146.197010433,265203.466865,190.85717812,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,58.0,1.0,1,18.662191357251018
59,117.979563915,201356.481265,150.479634167,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,59.0,1.0,1,84.42744375276226
60,122.138751146,229788.44657800003,171.144712924,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,60.0,1.0,1,43.12578432856736
61,135.391926871,267303.04658,192.54920940099998,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,61.0,1.0,1,32.07883590146016
63,133.54203587700002,261900.440851,193.27511485099998,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,63.0,1.0,1,103.19065732786517
64,115.835625422,196878.854286,146.889555028,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_5,sex_male,Urbanity_Urban,64.0,1.0,1,41.31110321698715
65,116.49372742,195039.33357,147.562924498,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,65.0,1.0,1,11.025728847622993
67,128.389639443,235162.400423,180.048846994,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,67.0,1.0,1,44.608493025865776
68,135.87598847200002,271811.662458,196.370243868,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,68.0,1.0,1,51.00398972915646
69,101.542203075,173301.28238299998,118.70204250100001,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,69.0,1.0,1,100.80075517910328
70,97.4691830678,132350.409005,88.4574211814,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_19_25,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,70.0,1.0,1,49.97697401682765
71,130.181307395,246052.963675,179.084815401,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,71.0,1.0,1,102.00059877565751
72,142.388460799,282810.421868,205.467691045,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,72.0,1.0,1,19.107417657209954
73,123.921295661,239791.648589,161.254961845,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_College,Size_6,sex_male,Urbanity_Rural,73.0,1.0,1,32.22533979878293
74,103.89356772100001,151523.959137,110.79996954,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,74.0,101.0,1,0.8629700684346169
75,122.01673399799999,196235.095621,142.185308983,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_female,Urbanity_Urban,75.0,1.0,1,25.317776637407178
76,144.29667258799998,276933.044591,193.946184605,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,76.0,1.0,1,47.2591574769077
77,124.087301649,201725.345158,151.067026607,AC_yes,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,77.0,1.0,1,81.18845752815766
81,142.145740756,286811.821369,204.596081783,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,81.0,1.0,1,46.3606556058697
83,132.747220961,286122.699792,201.715122005,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,83.0,1.0,1,49.3606556058697
84,97.6705156497,158907.471346,115.816449138,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,84.0,1.0,1,91.95104638677496
85,102.541634475,124962.150158,94.71079478809999,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,85.0,101.0,1,6.908728324349369
87,114.288986621,204594.008798,150.692549763,AC_yes,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,87.0,1.0,1,93.60510207236679
