,Electricity,Income,Water,e_Cooking,e_Lighting,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
1,135.807944266,267561.60305700003,207.60917348099997,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,1.0,1.0,1,20.053654516408372
2,97.1832692169,162513.448537,112.175070873,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_4,sex_female,Urbanity_Rural,2.0,1.0,1,19.021573181165923
3,86.13282509860001,144455.89411,98.3908865827,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,3.0,1.0,1,76.86330149013399
5,102.84240784299999,186960.123824,133.721175395,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,5.0,1.0,1,11.895846673550086
6,131.118912941,233545.980318,176.514405345,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,6.0,1.0,1,16.92583905154666
7,120.261767851,209781.711163,159.593582594,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,7.0,1.0,1,3.691115537838721
10,123.60835651200001,270348.432293,189.90782378400002,Cooking_no,Lighting_yes,age_46_55,Education_Post_Graduate,Size_5,sex_male,Urbanity_Urban,10.0,1.0,1,22.640372344765744
11,105.246800826,160439.495273,113.531490416,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,11.0,101.0,1,0.07650832779687544
12,111.82320249899999,187684.841373,140.50504061799998,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,12.0,1.0,1,66.82076224428332
13,114.51940295899999,188231.362534,142.958909987,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,13.0,1.0,1,59.820762244283316
14,122.975251719,242436.758533,171.53096833200001,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,14.0,1.0,1,85.53443600553922
17,126.274328918,212476.86097,157.874072074,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,17.0,1.0,1,75.50667578047592
18,125.163408366,219284.507196,147.79997732299998,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_8,sex_male,Urbanity_Rural,18.0,1.0,1,4.886489312227667
19,126.10017831799999,235084.203834,159.84032821600002,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Graduate,Size_7,sex_female,Urbanity_Rural,19.0,1.0,1,25.915591290027535
20,131.148960354,248330.376382,183.82254162599997,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,20.0,1.0,1,17.420968261503816
21,129.450048399,256381.627299,190.930915498,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,21.0,1.0,1,101.1695535023792
22,92.2998371318,114346.441122,85.7847678062,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,22.0,101.0,1,0.37877536773187614
23,147.714013529,276490.49402,202.05257591900002,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,23.0,1.0,1,12.816908671199172
24,142.228363544,266551.099574,191.727575599,Cooking_yes,Lighting_yes,age_26_35,Education_College,Size_5,sex_male,Urbanity_Urban,24.0,1.0,1,23.013608872155036
26,124.97839441,222504.299541,164.289672218,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,26.0,1.0,1,8.103234909943245
27,111.832875983,177047.058084,131.838405646,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,27.0,1.0,1,24.520883876593132
28,105.975160262,195964.223772,129.805935309,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,28.0,1.0,1,91.89884719833105
31,111.92445947,200584.397989,131.83626548700002,Cooking_no,Lighting_yes,age_36_45,Education_Post_Graduate,Size_4,sex_male,Urbanity_Rural,31.0,1.0,1,36.34413414553195
32,114.60507449200001,218258.209918,148.961738169,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,32.0,1.0,1,27.343274613568802
33,120.23996117,217854.706981,162.453861386,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_7,sex_male,Urbanity_Urban,33.0,1.0,1,20.856333029469774
35,120.671839243,221536.968623,148.945045762,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Rural,35.0,1.0,1,28.128092582702998
37,136.739515386,256269.666431,186.336632421,Cooking_no,Lighting_yes,age_26_35,Education_College,Size_4,sex_male,Urbanity_Urban,37.0,1.0,1,32.56996719252117
38,112.528053877,199648.407537,146.895017455,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,38.0,1.0,1,65.0614761703348
40,125.34779702700001,212460.801311,157.986023913,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,40.0,1.0,1,19.659593230309447
42,117.978311054,216620.454686,143.466606394,Cooking_no,Lighting_yes,age_26_35,Education_College,Size_5,sex_male,Urbanity_Rural,42.0,1.0,1,29.5655067097103
45,106.024737871,168175.80371500002,125.68774736399999,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,45.0,1.0,1,83.89124450908916
46,122.152618983,233071.474505,161.073286355,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Rural,46.0,1.0,1,13.786916293202598
47,126.174875739,243996.651744,183.16084004900003,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,47.0,1.0,1,9.317811380399707
48,111.2317601,204199.238606,137.98522811700002,Cooking_no,Lighting_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Rural,48.0,1.0,1,14.134082995046569
49,100.20907282799999,160793.544941,122.871295915,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_2,sex_female,Urbanity_Urban,49.0,1.0,1,19.27773870860621
50,123.046499439,240060.100567,172.42002535900002,Cooking_no,Lighting_yes,age_46_55,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,50.0,1.0,1,95.41112696039386
51,105.864158117,197172.472267,146.878294251,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_5,sex_female,Urbanity_Urban,51.0,1.0,1,22.51246222231423
52,88.2977943211,134497.996398,100.15651119700001,Cooking_no,Lighting_yes,age_56_65,Education_Elementary_School,Size_3,sex_female,Urbanity_Urban,52.0,101.0,1,0.03550456092887799
53,131.688038488,222977.07932600004,162.40339652,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,53.0,1.0,1,11.685125125495148
54,115.80742814700001,199621.678423,150.24682806799999,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,54.0,1.0,1,86.45587974112318
63,144.519153107,307270.34419000003,221.05597933099997,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_8,sex_male,Urbanity_Urban,63.0,1.0,1,23.971331740980567
64,115.02986099299999,209075.450668,147.43015573899999,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_7,sex_male,Urbanity_Rural,64.0,1.0,1,13.63168980955875
65,142.490934726,293674.036239,214.362909889,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,65.0,1.0,1,12.232168965604222
66,118.468705878,202284.635944,149.941875288,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,66.0,1.0,1,11.691115537838721
69,116.22184857799999,201031.979114,144.182917488,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,69.0,1.0,1,24.09700735731675
71,130.192992833,223703.16620700003,166.40389228700002,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,71.0,1.0,1,3.318416940809053
72,130.60578693899998,225278.838072,169.496773307,Cooking_yes,Lighting_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,72.0,1.0,1,12.136315147979811
73,98.4448706287,150852.76047100002,103.84089560700001,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,73.0,1.0,1,78.42588736312663
74,129.28854064,234345.982059,170.312267044,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,74.0,1.0,1,85.29372207948772
75,113.384771309,163145.882141,121.801638307,Cooking_no,Lighting_yes,age_56_65,Education_High_School,Size_2,sex_male,Urbanity_Urban,75.0,1.0,1,15.88576637975316
78,120.462692891,206765.114982,143.742684527,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,78.0,1.0,1,73.55767090883072
79,118.50809603799999,224727.256195,163.059195201,Cooking_no,Lighting_yes,age_66_75,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,79.0,1.0,1,27.297246087812184
